Yaw (deg),Pitch (deg),Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.941394940403570919e-04,-2.342220466031406324e-05,-4.287497982850196551e-04
1.410923306978433195e-04,3.590627149637027151e-04,3.658084970793935072e-04
7.401280937896279998e-05,1.732843447806441963e-04,5.483395330102221638e-05
9.683321574067825120e-04,1.322868547171815391e-04,9.008171945280629743e-04
5.191594351650898834e-04,5.500354008092095404e-04,1.062067456665674765e-03
2.709447375478306569e-05,-4.514265916465512473e-04,7.961534791593240538e-04
-6.188390115990781860e-04,-5.069572178913421675e-04,1.098027090075948120e-03
6.886339963017881045e-05,3.829908212764796482e-05,8.215009270983125809e-04
3.113388627576152748e-04,2.898801022043360413e-04,4.595183230553837820e-04
2.806128506309742577e-04,1.295187677708305705e-04,2.145937732236782923e-04
-3.713170912583591281e-04,3.978203200479237737e-04,7.223497523268455206e-04
-8.946104032987469389e-04,-9.525469348391577961e-05,9.194464387219647688e-04
-1.266792576295215850e-03,-3.739769073832434516e-04,1.188964872577732111e-03
-1.101805995802889989e-03,-9.504515463438408798e-04,1.285606603606487828e-03
-8.216283789759297679e-04,-8.651322015933859836e-04,1.242272298057819305e-03
-6.902452885848046286e-04,-8.557075083720490317e-04,1.250775167790032279e-03
-1.388641769809493632e-03,-1.264013519353463476e-03,1.282615633861154290e-03
-1.700541359982647932e-03,-1.524291612367711544e-03,8.415620351367653681e-04
-2.037637464594474132e-03,-1.426245505985898826e-03,-1.421066103269393454e-05
-2.367589075393097386e-03,-8.300554919050763579e-04,-2.452994018240004892e-04
-1.519832152634282858e-03,-7.664433426261549939e-04,1.907592101854992486e-04
-1.017670640289031463e-03,-6.717074246876157066e-04,7.257677828644097922e-04
-1.531279013617362419e-03,-1.922755162876595679e-04,1.527647753656952200e-03
-1.732794364821032716e-03,1.265433348889288009e-04,1.422370188143094695e-03
-2.175121472212735840e-03,2.864940225816833071e-04,1.101430096381515863e-03
-2.032614998418836617e-03,6.545328823081592463e-04,1.069746069780739455e-03
-2.695733304402298577e-03,1.152237953140093077e-03,1.445014566469485359e-03
-2.352760325554734827e-03,8.487387850462310701e-04,1.618139994018111955e-03
-2.041181285336842247e-03,3.556685306089940905e-04,2.377200126615505726e-03
-1.950282534191459093e-03,-7.702986450969738757e-04,1.274139161293231463e-03
-1.893999467143568996e-03,-8.158784964080363373e-04,1.439645388386260900e-03
-1.490513699618269301e-03,-1.671835305266281642e-04,7.939183544281308439e-04
-2.062831143042013343e-03,-1.238884409842614916e-03,1.747691685337530000e-04
-2.051191320008190037e-03,-7.009400330925905651e-04,2.929494190900086038e-04
-1.735792622173148178e-03,6.239504209080866382e-05,-1.298422924290894287e-04
-2.557658122491784491e-03,-3.873768403280639008e-04,-1.321842479473119133e-04
-2.693342282930403543e-03,-2.934653117372729007e-04,-1.090977343392652611e-04
-2.751160532910755345e-03,-9.628826492760121604e-04,-3.385512425213862519e-04
-2.169959972235553734e-03,-4.236852071685287850e-04,-1.219989570884917252e-05
-2.554362722357296934e-03,-1.447060767776678185e-03,7.822538832975120711e-04
-2.077899761684323925e-03,-1.097301998262919338e-03,1.502512177841940294e-03
-1.606194421777805414e-03,-1.479197088342998736e-03,1.933903631408153464e-03
-2.436513686706244346e-03,-1.142833679825049770e-03,2.312648394856731560e-03
