ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.581309119281170412e-03,-1.803923215753985696e-05,-2.151866270624158608e-03
3.581309112506148463e-03,-1.803923215703540480e-05,-2.151866281899695536e-03
3.581309105731126947e-03,-1.803923215653094924e-05,-2.151866293175232463e-03
3.581309098956104563e-03,-1.803923215602649708e-05,-2.151866304450768957e-03
3.581309092181082614e-03,-1.803923215552204152e-05,-2.151866315726306319e-03
3.581309085406061098e-03,-1.803923215501758597e-05,-2.151866327001841946e-03
3.581309078631039148e-03,-1.803923215451313719e-05,-2.151866338277378873e-03
3.581309071856017198e-03,-1.803923215400867825e-05,-2.151866349552915367e-03
3.581309065080994815e-03,-1.803923215350422269e-05,-2.151866360828451862e-03
3.581309058305973299e-03,-1.803923215299976714e-05,-2.151866372103988356e-03
3.581309051530951349e-03,-1.803923215249531836e-05,-2.151866383379524850e-03
3.581309044755928966e-03,-1.803923215199085942e-05,-2.151866394655061344e-03
3.581309037980907016e-03,-1.803923215148640387e-05,-2.151866405930597838e-03
3.581309031205884633e-03,-1.803923215098195509e-05,-2.151866417206133898e-03
3.581309024430862249e-03,-1.803923215047749954e-05,-2.151866428481670826e-03
3.581309017655840300e-03,-1.803923214997304398e-05,-2.151866439757206886e-03
3.581309010880817916e-03,-1.803923214946858843e-05,-2.151866451032743380e-03
3.581309004105795099e-03,-1.803923214896413965e-05,-2.151866462308279875e-03
3.581308997330772716e-03,-1.803923214845968071e-05,-2.151866473583815935e-03
3.581308990555750766e-03,-1.803923214795522854e-05,-2.151866484859352429e-03
3.581308983780727515e-03,-1.803923214745077638e-05,-2.151866496134888923e-03
3.581308977005705132e-03,-1.803923214694631743e-05,-2.151866507410425417e-03
3.581308970230683616e-03,-1.803923214644186866e-05,-2.151866518685961478e-03
3.581308963455660799e-03,-1.803923214593740971e-05,-2.151866529961497972e-03
3.581308956680638415e-03,-1.803923214543295755e-05,-2.151866541237034032e-03
3.581308949905615165e-03,-1.803923214492849861e-05,-2.151866552512570092e-03
3.581308943130592348e-03,-1.803923214442404983e-05,-2.151866563788106586e-03
3.581308936355569964e-03,-1.803923214391959427e-05,-2.151866575063642647e-03
3.581308929580547581e-03,-1.803923214341513533e-05,-2.151866586339178707e-03
3.581308922805524330e-03,-1.803923214291068994e-05,-2.151866597614715201e-03
3.581308916030501513e-03,-1.803923214240623439e-05,-2.151866608890250828e-03
3.581308909255479130e-03,-1.803923214190177884e-05,-2.151866620165786888e-03
3.581308902480455879e-03,-1.803923214139731651e-05,-2.151866631441323383e-03
3.581308895705433495e-03,-1.803923214089286773e-05,-2.151866642716859443e-03
3.581308888930409811e-03,-1.803923214038841217e-05,-2.151866653992395070e-03
3.581308882155387428e-03,-1.803923213988395662e-05,-2.151866665267930696e-03
3.581308875380364177e-03,-1.803923213937950445e-05,-2.151866676543467190e-03
3.581308868605341793e-03,-1.803923213887504890e-05,-2.151866687819003251e-03
3.581308861830318543e-03,-1.803923213837060351e-05,-2.151866699094538878e-03
3.581308855055294858e-03,-1.803923213786614118e-05,-2.151866710370074938e-03
3.581308848280271608e-03,-1.803923213736168563e-05,-2.151866721645610565e-03
3.581308841505249224e-03,-1.803923213685723346e-05,-2.151866732921146191e-03
3.581308834730225106e-03,-1.803923213635278129e-05,-2.151866744196682252e-03
3.581308827955202723e-03,-1.803923213584832574e-05,-2.151866755472217878e-03
3.581308821180179472e-03,-1.803923213534387019e-05,-2.151866766747753939e-03
3.581308814405156221e-03,-1.803923213483941802e-05,-2.151866778023289566e-03
3.581308807630132537e-03,-1.803923213433496247e-05,-2.151866789298825626e-03
3.581308800855108419e-03,-1.803923213383051030e-05,-2.151866800574361253e-03
3.581308794080085168e-03,-1.803923213332605136e-05,-2.151866811849896879e-03
3.581308787305061917e-03,-1.803923213282159919e-05,-2.151866823125432506e-03
3.581308780530038666e-03,-1.803923213231714703e-05,-2.151866834400968567e-03
3.581308773755014548e-03,-1.803923213181269147e-05,-2.151866845676503760e-03
3.581308766979991298e-03,-1.803923213130823931e-05,-2.151866856952039386e-03
3.581308760204968047e-03,-1.803923213080378037e-05,-2.151866868227575447e-03
3.581308753429943929e-03,-1.803923213029932820e-05,-2.151866879503110640e-03
3.581308746654920678e-03,-1.803923212979487265e-05,-2.151866890778645833e-03
3.581308739879897427e-03,-1.803923212929041709e-05,-2.151866902054181893e-03
3.581308733104873309e-03,-1.803923212878596493e-05,-2.151866913329717086e-03
3.581308726329849191e-03,-1.803923212828150937e-05,-2.151866924605252279e-03
3.581308719554825073e-03,-1.803923212777706059e-05,-2.151866935880788773e-03
3.581308712779801822e-03,-1.803923212727260165e-05,-2.151866947156323966e-03
3.581308706004777704e-03,-1.803923212676814610e-05,-2.151866958431859159e-03
3.581308699229753586e-03,-1.803923212626369054e-05,-2.151866969707394786e-03
3.581308692454730335e-03,-1.803923212575923499e-05,-2.151866980982929979e-03
3.581308685679706217e-03,-1.803923212525478283e-05,-2.151866992258465172e-03
3.581308678904682099e-03,-1.803923212475033066e-05,-2.151867003533999931e-03
3.581308672129657981e-03,-1.803923212424587849e-05,-2.151867014809535125e-03
3.581308665354633863e-03,-1.803923212374141616e-05,-2.151867026085070751e-03
3.581308658579610178e-03,-1.803923212323696739e-05,-2.151867037360605944e-03
3.581308651804586060e-03,-1.803923212273251183e-05,-2.151867048636141137e-03
3.581308645029561075e-03,-1.803923212222805628e-05,-2.151867059911676330e-03
3.581308638254536957e-03,-1.803923212172360072e-05,-2.151867071187211523e-03
3.581308631479512838e-03,-1.803923212121914517e-05,-2.151867082462747150e-03
3.581308624704488720e-03,-1.803923212071469639e-05,-2.151867093738281909e-03
3.581308617929464602e-03,-1.803923212021024084e-05,-2.151867105013817536e-03
3.581308611154440050e-03,-1.803923211970578528e-05,-2.151867116289352296e-03
3.581308604379415065e-03,-1.803923211920132973e-05,-2.151867127564887489e-03
3.581308597604390947e-03,-1.803923211869687756e-05,-2.151867138840422682e-03
3.581308590829366829e-03,-1.803923211819242201e-05,-2.151867150115957875e-03
3.581308584054341843e-03,-1.803923211768796984e-05,-2.151867161391493068e-03
3.581308577279317725e-03,-1.803923211718351429e-05,-2.151867172667027393e-03
3.581308570504293173e-03,-1.803923211667905874e-05,-2.151867183942562586e-03
3.581308563729268188e-03,-1.803923211617460996e-05,-2.151867195218097779e-03
3.581308556954243202e-03,-1.803923211567015102e-05,-2.151867206493632972e-03
3.581308550179218651e-03,-1.803923211516569546e-05,-2.151867217769167732e-03
3.581308543404194532e-03,-1.803923211466123991e-05,-2.151867229044702925e-03
3.581308536629169547e-03,-1.803923211415678774e-05,-2.151867240320237684e-03
3.581308529854144562e-03,-1.803923211365233558e-05,-2.151867251595772444e-03
3.581308523079120010e-03,-1.803923211314787664e-05,-2.151867262871307203e-03
3.581308516304094157e-03,-1.803923211264342447e-05,-2.151867274146842396e-03
3.581308509529069605e-03,-1.803923211213896892e-05,-2.151867285422376722e-03
3.581308502754045487e-03,-1.803923211163451675e-05,-2.151867296697911481e-03
