accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-9.104803749743406102e-03,-5.851888387607296488e-03,-9.793202047328581017e+00
-6.599381644699720342e-03,6.864593304189996539e-03,-9.788826042592154053e+00
6.108140121921619252e-03,2.568145544586097548e-03,-9.795151207588007836e+00
8.337855696953502750e-05,-1.807493039325799205e-03,-9.791805058304710485e+00
2.740234908249496691e-03,-5.103781410751948456e-04,-9.800284279667087262e+00
1.432336406084578273e-03,-3.686835590688945525e-03,-9.798312037664508978e+00
4.842096636198021616e-04,7.188150184244560502e-03,-9.796759327536067374e+00
-1.336543850817329174e-04,6.697208094814988176e-04,-9.787303236766945247e+00
-2.693570656235510109e-03,-2.379834100368229295e-03,-9.797814250347329335e+00
1.834194433748777926e-03,-1.088289159898751975e-02,-9.791377860749319595e+00
-4.083785784163555636e-03,3.462740663637035258e-03,-9.788502877901086308e+00
-8.790758217575937380e-03,1.826774332477106803e-03,-9.791131317167506509e+00
5.241896396922753575e-03,1.045820912458323131e-03,-9.794841897924987606e+00
6.034871665703931895e-03,-3.464830709421667151e-03,-9.797710250107588337e+00
-1.766430017337338419e-03,5.652222115831984778e-03,-9.786192422201505536e+00
-6.833363269829295476e-04,3.845104440224984734e-03,-9.792707346308743510e+00
-3.452484204456120025e-03,-4.551605557935051692e-03,-9.794015498189665436e+00
3.678464505590255638e-03,5.578592138842948696e-03,-9.794603753607562524e+00
4.985722854950893658e-03,2.237093384756730710e-03,-9.794256954264325188e+00
5.417810515543592526e-03,-2.048177877344811205e-04,-9.796008399326380456e+00
2.992458266401994572e-03,-1.318306106064856108e-03,-9.797421869993851118e+00
-6.825624279829412867e-03,-1.146472973668191805e-03,-9.788630580181173713e+00
-5.626261156477559665e-03,-2.790287580956023542e-03,-9.793399541029998545e+00
8.616863675206410528e-03,-3.782712208174001832e-04,-9.785744561455091528e+00
1.535078213237105974e-03,-9.938886174671743290e-03,-9.800592587681220991e+00
-2.531874569750834983e-03,7.142694398215713655e-03,-9.795956411284372223e+00
7.365181616016561704e-03,5.522016173035952137e-03,-9.800541689938000900e+00
3.406152126211971394e-03,-1.884784612607318197e-06,-9.789458099200613717e+00
4.170085313845738051e-03,-1.769314153293302227e-03,-9.794573649675992755e+00
5.605506442891290166e-03,-8.300876854809862218e-03,-9.791466707743675002e+00
-1.699677642771438421e-03,2.560255734466250835e-03,-9.791118561247438734e+00
1.526000729798840513e-03,2.434394000667125090e-03,-9.794372068833581579e+00
1.359082934683032706e-02,-1.029529263742950604e-03,-9.794032268206738223e+00
7.804362741216493149e-03,3.904931280130881106e-03,-9.790894237912532105e+00
-1.544691061738551066e-03,3.714251951658670281e-03,-9.791314066889071910e+00
3.799124610295369440e-03,1.042379886057195199e-02,-9.788945626699341318e+00
1.029480567467306804e-02,3.852128079198395040e-03,-9.797717832127229798e+00
-5.919457923946285297e-03,3.932449543802006868e-04,-9.795659887322239356e+00
3.050065186108970490e-03,-4.183586510208620567e-03,-9.789652379122271597e+00
3.202643725552947393e-03,5.620726448764773540e-04,-9.795830498642438044e+00
-3.939848317427436034e-03,-4.287424965350673280e-03,-9.797465029004724713e+00
5.458123874140968432e-03,1.387925032130202501e-03,-9.791640752313918838e+00
1.771899922013392024e-03,-1.331131267774758034e-03,-9.789475651267023792e+00
-3.992945872984871372e-03,1.542453001329040880e-03,-9.796608662320180017e+00
6.019903099555707054e-04,1.762941897859532673e-03,-9.791220248974452645e+00
-3.333876597842747903e-03,-7.942887376900945387e-03,-9.794496947537000509e+00
2.070604314751205328e-03,2.188087425014093382e-03,-9.798642402509944560e+00
1.134526320080077961e-03,-1.271161075684061267e-03,-9.795586632474783784e+00
8.051146401790269802e-03,-4.626227980409815949e-04,-9.789389051519531648e+00
-1.004588024811286758e-03,-8.504931767783467308e-03,-9.793719801134091796e+00
2.386051510754971881e-03,-6.977151817984222036e-03,-9.792852458091889645e+00
-7.820611374133154461e-04,2.853114035986091188e-03,-9.796412783862177065e+00
3.016870116408861338e-03,-9.332802546009684366e-04,-9.792382545089939327e+00
3.621636097205646002e-03,-3.527930818227098357e-03,-9.795690206523696375e+00
-3.674826703813470355e-04,3.933288021310300808e-03,-9.779703681392897252e+00
-1.418189386531069560e-02,-1.939446464759931764e-03,-9.793225807890152623e+00
-1.000099148165939540e-02,1.605609898433024837e-03,-9.790035493741012118e+00
-3.811982081854022909e-03,-4.424470986878562277e-04,-9.790008518208880517e+00
-6.925476458295679039e-03,3.536320026629721346e-03,-9.787208760937250673e+00
-2.017581500537449224e-03,-3.587471354915412226e-03,-9.786853653150833665e+00
3.881415202481355072e-03,-4.948675532827797978e-03,-9.795901682433882485e+00
4.302823923125231528e-03,-1.804019950649859419e-03,-9.799235907817257285e+00
6.692053229564284139e-03,-9.683194405236303717e-03,-9.788597698465578034e+00
1.110944657870502512e-02,2.280816004460085259e-03,-9.787638940271630617e+00
1.666428555869402771e-03,-3.256672826095169219e-03,-9.796035106952516003e+00
-2.017277856677088688e-03,-4.608244787867923084e-04,-9.801734584150516127e+00
6.680878062639816197e-04,8.659735678502211015e-03,-9.791789165322304811e+00
7.549162699124478682e-04,2.081667961760691205e-03,-9.795004801098878389e+00
-8.504020317879543156e-03,1.796549881299849133e-02,-9.789992733475399334e+00
-4.713942657246334225e-03,-1.416972688219195458e-03,-9.793681339749902293e+00
6.430251021436567474e-03,4.916436475425943996e-03,-9.795604941875412308e+00
5.565868139434235716e-03,-3.349418289726812260e-03,-9.785305598289404827e+00
2.323483972278671521e-03,-4.893048043483709357e-03,-9.797077625111500154e+00
-1.634625271131615867e-03,-4.212107076786705123e-03,-9.796679650288782071e+00
8.078947628232290359e-03,1.514768665935502809e-03,-9.790455966819914480e+00
5.656689282779547509e-03,7.734127652101648216e-03,-9.798513235978758118e+00
-5.826327320070876122e-03,-3.884331520481400582e-03,-9.792277938218965971e+00
-1.305978318459416997e-03,2.286453292696200967e-03,-9.796718281185771815e+00
-2.327263405500219328e-03,-2.441988247053467065e-03,-9.799928182251564479e+00
