accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.720715259824132093e-03,-6.503608732659392488e-03,-9.788965019056128369e+00
-1.143299327600993433e-02,-5.992269555973694754e-04,-9.797537941307272291e+00
1.178326021533655441e-03,-7.866590671380008790e-04,-9.791924625119106551e+00
-1.359268926903676490e-03,1.143113689736799648e-03,-9.795626343383583290e+00
2.968195485633306867e-03,5.386219630910741435e-03,-9.793412602794022703e+00
-4.455399531856097869e-03,-1.729388197167200966e-04,-9.797761169596263642e+00
-2.570203652508889439e-03,4.251911177457722273e-04,-9.786398429430059664e+00
2.481804897850749692e-03,-6.905938873507337129e-03,-9.794836978751126466e+00
5.546604143766873741e-04,-2.010739698139409667e-03,-9.794181327474470677e+00
2.970891424542447447e-03,-1.352646579584017164e-03,-9.799235080233133388e+00
-1.174434899388685080e-03,-7.204541413911740889e-03,-9.782502637878176088e+00
-9.306622908371080249e-03,-1.109132714307143252e-03,-9.798857362376100610e+00
-4.309939061194199492e-03,-1.070839658753707131e-02,-9.794887264479731570e+00
5.308093347130971376e-03,7.168989915413246251e-04,-9.801733979686375164e+00
6.558925742452642940e-03,7.716314356575792489e-03,-9.794549200168141567e+00
3.604729908482844167e-03,-1.069925670257816999e-02,-9.794055908066123806e+00
-1.259016387335038347e-03,1.509983356396060131e-03,-9.795529858544764323e+00
-3.311679726494896892e-03,-6.694413931741515292e-03,-9.792616027857931726e+00
-3.067061232527401680e-04,2.340235026868854769e-03,-9.793016001711823293e+00
-4.331897332383995679e-03,2.908638689920199812e-03,-9.789155298035590036e+00
2.989851024362395748e-03,-9.551932149244206144e-04,-9.799767607235560618e+00
2.125734374077702950e-04,-3.416159906519618261e-03,-9.793393559850979813e+00
3.926584236184692787e-03,-6.683093324403713287e-03,-9.793283404693926997e+00
6.117680823760557503e-03,-4.817879025598600234e-03,-9.792515021547766096e+00
3.714179649879821143e-03,-5.110039542969872436e-04,-9.795827151960688539e+00
4.683470301036425296e-03,1.083740696115460984e-03,-9.786627710487033838e+00
2.151122144695567263e-03,-4.438334846268324890e-03,-9.795626207180365697e+00
-3.135552397794443436e-03,-9.746720950222040325e-03,-9.791568655393168896e+00
8.221535816711542446e-03,-3.264597295954496745e-03,-9.796267285647280332e+00
7.940310246995639989e-03,-3.648617391760489333e-03,-9.793681406576846271e+00
1.532614847239723542e-03,7.987267855471026634e-03,-9.790805561400999224e+00
4.447909122875015608e-03,-1.888055147328267236e-03,-9.801895166780138169e+00
-8.659216909183540048e-03,4.936223871544700992e-03,-9.796089586060647392e+00
-1.272189467677549424e-03,6.565810705564071627e-03,-9.797567998791054222e+00
-6.192358445053215872e-03,-5.124282486669181052e-04,-9.795853320912479845e+00
7.404648583690284476e-04,3.850288850861922040e-03,-9.781680156442591922e+00
-2.299325098321954364e-05,-3.705915195624940456e-03,-9.797175630841676863e+00
3.943874038978249438e-03,-9.094422959552606218e-04,-9.793823676231458109e+00
-3.926930401589508526e-03,-1.401000123876679432e-03,-9.795625404596808750e+00
6.397849935591282990e-03,3.472097921698522570e-03,-9.790688082395131886e+00
6.155370821280682636e-03,1.330380389614391461e-03,-9.796882571532504969e+00
-9.964670987883544190e-03,1.241465490942133274e-03,-9.797462398497380320e+00
5.602873630617834395e-03,-3.064362506269112732e-03,-9.799818412162300874e+00
-3.947804552119662776e-04,-3.669403427508521973e-03,-9.804599755223337709e+00
7.472085371240159979e-03,-3.890476797817643898e-03,-9.790405569858949164e+00
5.154638416104066583e-03,-6.974082441220646328e-03,-9.794856154722502595e+00
-1.586173847726261767e-03,-1.340257167214194828e-04,-9.789986836068973020e+00
5.503116581409398661e-03,7.777934609799145443e-04,-9.797655128924882106e+00
-3.077034919122909485e-03,3.828838437721361100e-03,-9.799048401872132885e+00
3.189049038299766360e-04,-6.440298253814321673e-03,-9.790696294342229322e+00
3.447726053324118908e-03,5.624876982545259571e-03,-9.795497884264252164e+00
3.337037713601299742e-03,-7.800517978468937685e-03,-9.791764953750636380e+00
-2.666116966051278962e-03,-8.576754637112636321e-04,-9.792419013892988744e+00
4.994391412306918576e-03,1.309148586315827699e-03,-9.794079230755265542e+00
-3.836028047616351841e-04,3.499380065039734734e-03,-9.781418818657593661e+00
4.035917343488808554e-03,4.833693782252736562e-03,-9.788625275060834241e+00
-2.680137295804912220e-03,-6.389570000921227302e-03,-9.787691171750180885e+00
-9.718970383062599605e-04,2.599477932592975278e-03,-9.791833358294782741e+00
-7.233111487163784541e-03,-7.796636447316067451e-04,-9.797228927468966120e+00
-8.556901680314020833e-03,3.335937561040086107e-03,-9.786122556401023687e+00
8.519540860998929196e-03,-1.741472486647221854e-03,-9.792254913234367919e+00
-5.808363613843883257e-03,3.760318584654883441e-03,-9.797892943664377796e+00
-5.156798112593818581e-03,-8.758883997187988726e-04,-9.799530687806191409e+00
4.328671489637922302e-04,-4.090231365319259814e-03,-9.789956889172897192e+00
-8.197658893834164698e-03,-4.166464389232057866e-05,-9.806558017714856135e+00
-5.343654300230475662e-03,3.180922187128673324e-04,-9.791699947889563660e+00
6.525095870002925675e-04,-2.712964449432546735e-03,-9.800933375374107470e+00
2.815374256234107978e-03,-5.820880607574540006e-04,-9.799358067493944446e+00
2.932622868765786487e-03,1.297208889048483485e-03,-9.786684704648509481e+00
2.693469934110682019e-03,-3.840082950290318853e-04,-9.799325761265839319e+00
5.084215934207989181e-03,-1.204359586198642694e-03,-9.796469043265146226e+00
1.286624560060517378e-03,-9.573256173859645904e-03,-9.794398478690004239e+00
-8.240077786193655699e-04,-9.255976483570289891e-04,-9.789598651311083088e+00
-2.469249647892778239e-03,-2.175252712142290365e-03,-9.787859697567393269e+00
-7.203194379542227077e-03,8.681248623940974324e-03,-9.801168663714216578e+00
2.850229975927710303e-03,-1.581617387679406812e-03,-9.786962939486571145e+00
-3.610619474718036823e-03,-2.779968791451599853e-03,-9.801705439968920075e+00
5.920731442427064860e-03,-5.926833670440393581e-03,-9.796197026866970248e+00
4.200421419525651387e-03,4.320839064051969821e-04,-9.792966969996415472e+00
-8.407860047252125463e-03,7.995656257778155016e-03,-9.795275976601283574e+00
4.622327451196578223e-03,-3.710727017227345020e-03,-9.794431409558471913e+00
-9.486368653941871804e-04,-1.251296062736734368e-04,-9.790435542237107214e+00
6.113996083297049827e-03,-5.676093642964125628e-03,-9.790972284981968699e+00
1.749096640105608606e-03,-7.337578159072708980e-03,-9.794418990897037602e+00
9.823665470099197938e-03,2.618950487373660190e-03,-9.794105162525454489e+00
8.272453094103776345e-04,9.869994773521481232e-03,-9.789646461327290439e+00
6.123018529961924208e-03,5.356256534344160276e-03,-9.806855384986668867e+00
6.803630545523992046e-03,3.561339017261473238e-03,-9.794573581320159761e+00
-7.485682608623762078e-03,3.993375655859628288e-03,-9.795465245849365843e+00
-4.960039646950444026e-03,6.040222371374515814e-03,-9.785237362167489295e+00
-3.231052795063901750e-03,-5.182298836551999660e-03,-9.796471075984930721e+00
-8.980038927513884356e-03,1.040953174484061158e-03,-9.789129627986362436e+00
4.838072421762195166e-03,4.478997217084135576e-03,-9.795380978201572830e+00
3.423253416425946910e-03,-1.349660774768367613e-02,-9.792063591828327418e+00
-9.575772681248975390e-04,-7.770691148681655239e-03,-9.790594726065712905e+00
2.736856554891387797e-03,-8.328763777320046099e-04,-9.800480191473784686e+00
7.486940086024084428e-04,-3.981486115265399015e-03,-9.778502001837388491e+00
8.154021091868978582e-03,2.563961415590541599e-03,-9.796940532848903871e+00
2.308599547703999496e-03,-9.601933206809914675e-03,-9.791322246333828971e+00
2.906335327407798697e-03,8.771893309557465823e-03,-9.795901399510375640e+00
