gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
5.302507537728237685e-02,2.290732982501598666e-02,1.467869715563878234e-02
6.602673968098143886e-02,-2.747922527543597213e-02,3.834856006603134387e-02
2.898957238223389202e-02,-9.350311202698762328e-03,3.567851886746670892e-02
7.616266828621455487e-02,-3.082691042704522461e-02,-4.964722620323205882e-02
4.486496026728043623e-02,2.715645828539914666e-02,1.421521370236372012e-02
1.066134597082619637e-02,9.264561041396197905e-02,-3.200448093645863468e-02
7.441631940831802683e-02,-6.101725392872735243e-02,4.152407934194107114e-02
2.181781112803011374e-02,-1.108132060390883654e-02,-4.311947009426220223e-02
-3.805908419073246451e-02,4.154938879197553336e-02,-2.050454768405504322e-02
4.307121883337137504e-03,-3.057275496358118072e-02,4.262625904830744800e-02
-5.126840206599398569e-02,-3.282045315086047632e-02,1.421608368806874002e-02
7.117741170249118621e-02,8.293159019416480870e-02,-2.017342279256422594e-02
3.245575728673787130e-02,-8.404605081085685797e-03,-4.051171945087078674e-02
4.630599375844499099e-02,2.354232348989409793e-03,2.513506462863474098e-03
-2.735049435146630348e-02,6.861509942615094497e-03,2.783582263728014844e-02
-8.556838982241724012e-02,1.651375995595167137e-02,-5.820035799795898745e-02
-2.682375549107619134e-02,-4.450892166814815996e-03,-3.879022590608920823e-02
3.186079218638010013e-04,1.307478821068188898e-02,-3.134449629359197659e-03
1.655301967427666096e-02,-7.854066302684712189e-03,-2.241581987581370283e-02
2.879941043877766102e-02,-3.991211232140898929e-02,-1.107218860510114124e-02
1.719356949897503026e-02,-4.495362520393252938e-03,-2.404249105712126522e-02
2.438960991745561975e-03,-2.218069877737837564e-02,-2.546850642500321157e-02
2.720171674833075925e-02,1.220195666335655432e-01,-7.638414480046576416e-02
3.835933263373263874e-02,6.241669983095278484e-02,2.235580957264580310e-02
6.204490098747073024e-02,4.002834663632300733e-04,1.982702051679119393e-02
6.674283828246604933e-02,-6.781629342069678268e-02,-1.351089525630150105e-02
-3.274184409332675516e-02,-9.772847174406721141e-03,-3.906186819156345913e-02
3.756355753132719494e-02,1.974763770505975902e-02,3.990166363249305487e-02
2.680335901714055689e-03,1.302425797273031732e-02,-4.132284191557202002e-02
-2.284171568547886319e-02,6.589766515581269024e-02,-6.336579509981429825e-02
-2.081210134321504965e-02,2.624287073294800932e-02,8.211482893334610955e-02
3.977225798935768442e-02,4.173038169580384205e-02,-2.043302704142611198e-02
-2.195089065111626228e-02,9.897751184933877011e-03,6.859280598902593729e-02
-4.249793801473506633e-02,3.376899738464617107e-02,4.799836126669033975e-02
-5.975947273983424346e-02,5.900195957419242937e-02,1.084923659577016058e-02
-1.395934466785457746e-02,-3.194816937831269216e-02,9.949308529321708450e-03
2.568198964179095600e-02,4.264807457016595027e-02,9.213674181861541274e-03
-3.997372248123999550e-02,3.800361406732510189e-02,-3.576813310663552042e-02
3.605821612272423760e-02,-1.328290970452921695e-02,-3.810675266302236686e-02
3.462866964684782611e-02,7.270753242354754953e-02,3.419663282903654539e-02
7.271199579430435989e-02,-4.505930068665407566e-03,5.139352354408976281e-02
2.346470008260388013e-02,7.173288640244449357e-03,3.787573326181561170e-03
4.840200793711210009e-02,3.001695628387641979e-02,4.265339431756291072e-02
-3.496455202785672678e-02,-4.632719025521864881e-05,-7.211157986206699622e-02
6.469562508275378265e-03,-2.356667050046217307e-02,5.952319847209365522e-02
-1.876306060890731500e-02,5.540420938472762763e-02,6.607620735118915900e-02
-8.132253635767755159e-03,-1.552989479100393318e-02,-1.661462612254459292e-02
2.453401843588702905e-02,-8.273497068658895726e-03,-3.495816767002274394e-02
4.465262535878020828e-02,-1.268321019060340490e-02,8.415287231025911363e-02
-2.968114311072864858e-02,-5.394085611686169623e-02,5.160503940507187720e-02
5.608848694369700932e-02,1.771109160924813283e-02,-1.698817544688740674e-02
-4.386973580125425043e-02,-1.717027256473397517e-02,4.837842666261426422e-03
3.154699142463783523e-02,-2.336139325882386625e-02,-7.276540027038116282e-03
-4.722168318060387948e-02,4.430935042228882625e-02,4.107336170036149370e-02
-4.276936486373733234e-03,-2.587953439388198176e-02,1.679483796188026637e-02
-7.238029647267206490e-02,3.346804815508042791e-02,-1.173356185384316804e-02
5.997259198633982102e-02,-4.076343995408984039e-02,-1.848299602079747292e-02
6.078070872976146753e-03,-1.578015341278877874e-03,8.734035080556763753e-03
1.216285796127445154e-02,-6.628298056832485075e-02,4.346622791094635618e-02
2.339969718023650856e-03,-1.090947902285113388e-02,7.348165729304701084e-03
-2.634684121419764852e-02,-5.044801650784384861e-02,5.313270629657027705e-02
9.482578649944683330e-03,3.487331779044219870e-02,-5.433431981903481811e-02
5.675799572746675209e-02,1.072150982697746002e-01,7.978034643832149220e-03
4.660291076624307159e-03,-8.903419465183541950e-03,4.426522319150807960e-02
-6.523348635937976925e-02,1.853774375405363092e-02,-1.667581694924842595e-02
-2.822989793178764389e-02,7.111721950196904334e-03,8.434249446102254355e-02
-5.280775035364539821e-02,1.013645126011182562e-02,-3.485167092260129523e-02
-1.566832754830075128e-02,5.578774741779976565e-02,-2.009228878461013189e-03
4.367308451482127159e-03,2.151317814279432583e-02,-2.242215730033335006e-02
-2.050269362113587776e-02,8.419164031689531369e-02,3.745339986810778538e-02
-5.447712916367540396e-03,-1.194820431050148089e-02,-6.087009612715749834e-02
-2.956427640928071046e-02,9.007955837431587398e-03,-3.649541254088514014e-02
1.206396235051851035e-01,2.294259266603985645e-02,-2.674074648683015098e-03
-8.123226835489803788e-02,1.465357460441546900e-03,-8.521803155974314037e-02
-3.115154522020704628e-02,7.577794522406069468e-03,9.036385649533214270e-02
2.178735652506251855e-02,4.621727934630599083e-02,-7.285861852421700530e-04
-1.133827139807469866e-02,5.249158970903074380e-03,-1.647219456610180335e-02
7.561030186620534832e-02,-2.812470902352237970e-02,2.140698987468805936e-02
-1.415136537506135606e-02,-1.054299675333764813e-02,-3.021800575458670826e-02
4.786894123350634266e-03,5.045662795786383381e-02,6.533691107579080171e-02
1.104053615260856607e-03,-8.126917393756026564e-02,-4.457067566492482757e-02
-3.074046679038480376e-02,-1.731808702853942627e-03,-4.551801661643520291e-02
1.287655716489297802e-02,7.702251911886100200e-02,9.026957485512510093e-02
2.282763054626685620e-02,1.092793895811450255e-02,3.990050595189447574e-02
2.032873083819988075e-02,2.751821708520097581e-02,2.567734004965857575e-02
5.752930032012427974e-02,-3.077729544842312814e-02,-5.319320862336388706e-02
1.220879551168728080e-02,-1.636426544304296279e-02,7.378054256881178864e-03
-1.153339487694016695e-02,3.359417451960806413e-03,2.842768542490585471e-02
-2.992631283983869517e-02,-6.185091760507583497e-02,-6.625247368162696937e-02
-4.851914845002524429e-02,2.051946254832716018e-02,8.432948960332127195e-03
-4.752706419358932594e-02,-2.515641607141401101e-02,2.449722784709887011e-02
4.473699578621833858e-03,-7.607609109550085569e-02,-4.620115932603466313e-02
-3.915258631499512337e-02,-3.353014411151609801e-04,8.802619879173738393e-03
-1.429627803790600032e-02,-1.361269921401075944e-02,5.168232767749451201e-02
1.118932104776634417e-03,-3.111697710648865176e-02,2.365419436711695481e-02
-4.378082613935938006e-02,6.126163021433305572e-02,6.815734638583430260e-02
-9.027430330788087376e-03,1.925456390486955660e-02,-9.452380290087623871e-03
4.893648612924890451e-02,-2.791748857516145044e-02,-1.628007678829366742e-02
-1.835944960180521668e-02,7.093944096376904318e-02,-2.929282909026140885e-02
-4.844330333453630150e-02,-2.645535509257169668e-02,-3.165888380135456481e-02
