q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999617447122e-01,-7.257489038250041390e-06,-4.543530393424114715e-06,1.787710666074282452e-06
9.999999999562276809e-01,-7.993886156918740210e-06,-3.565422335100922295e-06,-3.306080089790845943e-06
9.999999999214294055e-01,-4.409080849133679740e-06,-6.756750035352291549e-06,-9.594140439855926812e-06
9.999999999273426754e-01,-5.712348271631189268e-06,-5.149368046540072983e-06,-9.282663228881008383e-06
9.999999999455623234e-01,-5.668710314394962540e-06,-2.072936715668809566e-06,-8.511399961537736021e-06
9.999999999250657190e-01,-2.363945707769944300e-06,1.657828395516149920e-06,-1.189671117313579520e-05
9.999999998884341323e-01,-4.886672901621678142e-06,-1.313299906416032372e-06,-1.405444498140586353e-05
9.999999998566688753e-01,8.332896253558790486e-08,-4.433835875199940031e-06,-1.634002298504960997e-05
9.999999998884333552e-01,3.915347860402466001e-06,-5.544832059521031333e-06,-1.330632620703297993e-05
9.999999998230291176e-01,8.522588011313164349e-06,-9.139404178244651725e-06,-1.406337424553291879e-05
9.999999999178301735e-01,4.979549613476139888e-06,-7.981442940437770189e-06,-8.708627265042186529e-06
9.999999998953558178e-01,2.423713955776064811e-06,-6.890009288517626828e-06,-1.248766503078463995e-05
9.999999999244233440e-01,-5.403517570252324353e-07,-5.088234540570496364e-06,-1.117905555468595413e-05
9.999999999284567842e-01,-4.954138625979987856e-06,-4.539715667604010831e-06,-9.896150262767020099e-06
9.999999999508867310e-01,-1.179478927882966199e-06,-8.641795425679343531e-08,-9.840110933424054958e-06
9.999999999771834736e-01,1.047612735361317643e-06,-6.222028924933618552e-06,-2.412822269806481458e-06
9.999999999338460288e-01,-7.265095484014030507e-06,-8.424740534104006187e-06,2.924062442287484263e-06
9.999999999203342815e-01,-5.620516004149277536e-06,-1.065833822285861531e-05,3.760443873165654911e-06
9.999999998699924397e-01,-7.522680275006459167e-06,-1.340409677144143160e-05,4.873870547845264375e-06
9.999999998193380701e-01,-1.351731249707175731e-05,-1.226594534338414850e-05,5.305919255102927591e-06
9.999999998732035378e-01,-1.184627073593505218e-05,-8.915533711295043192e-06,5.811379311975656572e-06
9.999999997416922914e-01,-1.707781923412471066e-05,-1.193702238815961374e-05,9.081353838927039060e-06
9.999999997800985696e-01,-1.585489960798402398e-05,-1.340338633198668574e-05,2.962156021885409273e-06
9.999999996291009108e-01,-1.768863987892113092e-05,-1.661572227889054559e-05,1.236236000293252903e-05
9.999999995942784325e-01,-1.745449410313070038e-05,-1.789990576137117869e-05,1.365199397566675360e-05
9.999999994741975984e-01,-1.717256466868837168e-05,-1.887127270615935056e-05,2.001456710763681969e-05
9.999999993529946618e-01,-1.671665712154992022e-05,-1.594569209992166830e-05,2.757351736859401981e-05
9.999999994309365370e-01,-1.686869665192659452e-05,-1.996519160027478246e-05,2.132991213570036007e-05
9.999999994405037729e-01,-2.284944108528771421e-05,-1.246970072801550781e-05,2.100957120184404506e-05
9.999999996031401217e-01,-1.624090116251832274e-05,-9.658402188329228609e-06,2.089660581162758278e-05
9.999999996339596908e-01,-1.326889968560773571e-05,-1.036685030214869593e-05,2.117888403347341835e-05
9.999999995101033212e-01,-1.257147958980450026e-05,-1.427943599105624281e-05,2.485656640031764608e-05
9.999999995284292176e-01,-1.053862217711631845e-05,-1.336775171538527253e-05,2.556134211578659879e-05
9.999999995998002378e-01,-1.109825899107597558e-05,-1.396661607190698318e-05,2.195818513341520905e-05
9.999999997121429285e-01,-9.119302493191357154e-06,-1.187810138968103280e-05,1.874735418262751365e-05
9.999999997874610136e-01,-1.070228955894925673e-05,-6.531131207625098717e-06,1.636714028145006193e-05
9.999999997627416759e-01,-9.667489717511380947e-06,-9.455570286605428383e-06,1.707771577923040794e-05
9.999999998659884204e-01,-1.018277772025830419e-05,2.147939821987244575e-06,1.263805902890709117e-05
9.999999999355010383e-01,-8.354372371538326545e-06,5.085797149503786829e-07,7.677492669823553361e-06
9.999999998775732646e-01,-1.182925899814042546e-05,-1.448750769654517853e-06,1.014018435030836245e-05
9.999999999070314782e-01,-1.068146654858210256e-05,-1.302245635938555756e-06,8.375402647380662816e-06
9.999999999365576375e-01,-1.016699313916656481e-05,1.289067696052000830e-06,4.674964024762156084e-06
9.999999999593742750e-01,-8.781600936518597537e-06,-9.655010968908398652e-07,1.789633369382644180e-06
9.999999999827349217e-01,-5.545528456373851952e-06,1.871915496823469248e-06,5.226744914951846658e-07
9.999999999894332303e-01,-4.048148790275727436e-06,1.994362677882781492e-06,-8.766341845284297817e-07
9.999999999976429965e-01,1.143054487982186033e-06,-1.554421678629553814e-06,9.955486255112836249e-07
9.999999999710625920e-01,-2.886854780753140319e-06,-4.931946504931451935e-06,-5.021627832102246695e-06
9.999999999718314214e-01,-5.286091803415331704e-06,-5.039116169135748313e-06,-1.732568826106100550e-06
9.999999999587458888e-01,-6.303938325530994697e-06,-2.863598108773721304e-06,-5.879510103797055575e-06
9.999999998708171134e-01,-6.382064760659767009e-06,-3.644080156575779104e-06,-1.429530220379339692e-05
9.999999999040108944e-01,-7.706570493652075234e-06,-9.403275094458836162e-07,-1.147617205941126403e-05
9.999999997429898091e-01,-1.253439537371313637e-05,4.798250221606718718e-06,-1.827255236712251133e-05
9.999999996959010318e-01,-1.320531052424586494e-05,1.277639337254543977e-08,-2.082828529117405111e-05
9.999999997668129748e-01,-1.368647829984966500e-05,-1.990371521032290127e-06,-1.658592615535489325e-05
9.999999997868688206e-01,-9.137651028071794941e-06,-4.394825314847502172e-06,-1.798474757259776145e-05
9.999999998186480665e-01,-3.583761735434853266e-06,-2.295751732004111005e-06,-1.856313872170715768e-05
9.999999998622556285e-01,-2.789194962733412428e-06,-3.066201646890916251e-07,-1.635894708840823929e-05
9.999999999024572483e-01,-5.846849142525803576e-06,2.584012033148951675e-06,-1.241865590355326585e-05
9.999999998415568525e-01,-8.701728122396913071e-06,1.969583701170807387e-06,-1.540412414539701308e-05
9.999999999100194215e-01,-4.707959684383846894e-06,4.126907134228107746e-06,-1.186443944172005476e-05
9.999999999169904008e-01,-4.589126416099951511e-06,2.718135854055827632e-06,-1.172906363560003007e-05
9.999999999222140001e-01,-9.769674740907038549e-06,4.945831010029791189e-07,-7.738281128735336652e-06
9.999999999521891336e-01,-6.314875784741267884e-06,5.191344002343444664e-06,-5.366005539190200225e-06
9.999999999241224735e-01,-7.440947607947258746e-06,1.535239451357465263e-06,-9.696926617590122515e-06
9.999999999490057911e-01,-9.141618717954031725e-06,3.061819535063872092e-06,-3.007422382769211667e-06
9.999999998063603401e-01,-1.003002922844547860e-05,-6.026266478934578208e-07,-1.692083489771408489e-05
