accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.965195414258813368e-03,1.023714365195363754e-02,-9.786590974791790742e+00
-6.207982525099236572e-03,-1.636794270597471956e-03,-9.794825984694366383e+00
3.599716653260994111e-03,-3.665591580616129989e-03,-9.778044883581470614e+00
-9.906523035047154827e-03,-6.517079535541580107e-03,-9.786186467328853666e+00
1.280610013604218528e-02,-3.869712959674707735e-03,-9.786558898526671157e+00
9.510542946140294125e-05,4.287057826900083496e-03,-9.795693146353169567e+00
6.123170679952582782e-03,-4.710053926724646310e-03,-9.789900604699885989e+00
9.665481720300853974e-04,-4.157795683106406989e-04,-9.795401737906798800e+00
4.558311750317197916e-03,3.184013888758071339e-03,-9.797057608604273327e+00
-1.384433055013328112e-03,3.525293952998766796e-03,-9.793062055801069477e+00
-7.746769011575519760e-03,-2.466971848127433396e-03,-9.795047070861167882e+00
8.068684733397476008e-03,6.272897346416035982e-03,-9.793228127618039736e+00
4.466572002570399005e-03,-8.623850202210861515e-03,-9.797509359067650081e+00
-8.305327982916662494e-03,5.071225715969373583e-03,-9.794647053190287167e+00
1.271387349629776644e-03,5.114621962877744302e-03,-9.796050288618035395e+00
1.344824873023539201e-03,3.281908232048659415e-03,-9.799402545235892603e+00
3.371373525508164753e-03,1.037786737442568125e-03,-9.796494533589518383e+00
-6.747499183961703194e-03,-1.050362951809099632e-03,-9.805620815370925669e+00
3.455842826914841924e-03,4.930537007963231230e-04,-9.795467483063319492e+00
-4.676029662750577566e-04,6.279984082335936853e-04,-9.797023359413906007e+00
-1.491803308404580398e-03,1.196868325374834301e-03,-9.789581313333245660e+00
-1.007119089915186304e-02,3.942055636242702485e-03,-9.787501320734117272e+00
-4.719469337830922533e-03,-3.709940755486383201e-03,-9.792912098238485186e+00
5.851909820616474703e-04,-1.869069167519294989e-03,-9.797002217306092220e+00
5.523571218235811056e-03,-1.264856661810737255e-03,-9.790505078143370454e+00
3.650415478914392255e-03,5.415722888529221971e-03,-9.792127322657508515e+00
8.581472875877540346e-03,-3.538243660630177242e-03,-9.792101734319931694e+00
-2.090551465880427073e-03,1.058742851386360604e-03,-9.793523055558486234e+00
4.791800632145610736e-03,-7.066687482698853426e-03,-9.794449305801865790e+00
-5.178582047018833422e-03,-8.463418968141744186e-03,-9.796081787066279745e+00
7.008268696003604366e-03,9.750292627314810154e-03,-9.799992790322026082e+00
-4.567523752839986080e-03,2.531908191968068426e-03,-9.797879034480002858e+00
-9.332869522386123655e-04,4.516989623840249324e-03,-9.792064251430716126e+00
4.533336779861067006e-03,-7.244267531173362003e-04,-9.790636536585308747e+00
-2.778632166727164365e-04,-6.999517258953695531e-03,-9.786439671569743481e+00
3.480087322905890592e-03,3.618313562247828328e-03,-9.782812863408373971e+00
3.362904928221025110e-03,5.973192518928113152e-04,-9.809027893618361915e+00
5.000168794930040343e-03,-4.552317962526216885e-03,-9.790787250795146335e+00
8.399599107534390027e-03,5.589777780100099736e-03,-9.794049833468408295e+00
3.478935766104162587e-03,6.050779041174461463e-04,-9.799041296326139516e+00
-4.858608433474133695e-03,1.720128305272182554e-03,-9.799115675260225089e+00
6.006104945414766829e-04,-8.488580036471293343e-04,-9.800264604289543158e+00
5.345373331350640987e-03,7.240935590439979454e-03,-9.794664420634079605e+00
-2.098790395283714298e-03,-5.911811315210253187e-03,-9.794959815965702532e+00
-9.137201201399417286e-03,-1.557180059494479851e-02,-9.785365048347024697e+00
2.041187560400858827e-03,-1.991686852882657618e-03,-9.784419499776369378e+00
1.237942815054404082e-03,2.015999240220351079e-03,-9.793835114842869061e+00
-9.455644252721096682e-03,-4.186892815749509826e-03,-9.791048218708903406e+00
-4.643421911885242887e-04,4.138160357383602523e-04,-9.793501013743338035e+00
2.324702500205764501e-03,5.162294283359535052e-04,-9.794641457058677503e+00
