gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.589298434492833541e-03,8.574460339844543200e-02,-2.896819327793168433e-02
-3.526761165764152189e-02,-3.865344112924180842e-02,-8.062125456102101073e-02
6.935754411944379527e-02,-2.926230266364618707e-02,8.115963285484266779e-03
2.273434907772411626e-02,-4.418211968869677209e-02,-5.783848634274668665e-03
2.834992630672894184e-02,-3.957121971465167587e-02,-9.490622560387779183e-02
-4.046506234721847228e-02,9.015440605050460687e-02,-4.480384462245983607e-02
1.255862763961743990e-02,-5.013964874309759234e-02,7.715625513609626618e-02
-7.395653546095723896e-05,5.187775176319480222e-03,-2.585213886784971243e-02
4.527450647823198088e-02,-3.188837463900819069e-02,5.167773892961805698e-02
1.769163611843937653e-02,-5.357302688296213672e-02,-2.492299687115411347e-02
-3.439068975956420526e-02,-1.153822810874229575e-02,4.338425810773635649e-02
-7.529433765479455476e-02,-1.762726113234764150e-02,3.169536480155144692e-02
-8.351305546359636192e-03,8.920882752251804021e-03,-3.065721857039557796e-02
1.093357353200834353e-01,-2.610520355749331237e-02,1.542132759517504670e-02
3.035815191559961684e-02,4.109860124982299412e-02,-6.045485115907071882e-02
-4.026812532343330975e-02,-5.699526109382649537e-03,1.000995827038241165e-01
6.294086918467937941e-02,-1.944717600087637888e-02,1.851523748800181640e-02
-2.222868007085619310e-02,-4.670513755668838363e-02,-2.627774045202547690e-02
1.747635468692677191e-02,-1.567324307375095316e-02,-8.612483571528231630e-03
-3.435809273679604758e-02,-7.355779121348728078e-02,1.597841055229504842e-02
9.715300851883674343e-03,-5.739329933148363400e-02,1.612840452572440741e-02
3.943426199340435007e-02,-2.055450827988514195e-02,1.291139969130928045e-01
-8.856462170628132125e-02,-2.256027717781013478e-02,5.475183351657137570e-02
-1.799765778840899111e-02,2.523052209190455863e-02,4.310498307338767043e-02
3.260054909744727197e-02,1.060637597145735155e-02,-3.594555086476040190e-02
2.228537447475826758e-02,8.025913842790362643e-03,-2.519531312041304455e-02
1.544506506307679120e-02,-4.532690207345842215e-02,7.708828583583159089e-02
-1.225309942781803094e-02,4.426390490183102107e-03,-1.782050317323919178e-02
2.546767435248753833e-02,1.508693717434812266e-03,-4.811358042817351355e-02
1.510471792549876631e-02,-1.860963340827669413e-02,1.567905710427038718e-02
-3.506663740402808649e-02,-3.358224092094595076e-02,-3.314759206435707178e-02
1.292395356107466260e-02,-3.968430003264924316e-02,-5.836758073928970114e-02
2.846060245957751991e-02,-1.015493071555853971e-01,1.414804775269044509e-02
