gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.616471765985521766e-02,7.984167666046742412e-03,-7.462630620523845459e-02
2.477234254603638552e-03,2.507869364068883791e-02,3.020509035935109378e-04
-9.247293188672640885e-02,-5.530602395883132960e-02,-8.975126094480363748e-02
-3.605972259483238712e-02,3.573427598089553431e-02,-6.097332756729774775e-03
6.191352076325019882e-02,-6.606587119684870224e-02,-1.624377837590564380e-02
6.835227850613226352e-02,1.197183653441122845e-04,-4.036896892644321194e-02
3.304815882278976102e-02,-4.303770348647494720e-02,2.713095121552389077e-02
8.253783434473158098e-02,5.164976358587653610e-02,3.683966604768115077e-02
-3.445796040722545750e-02,2.261774828039365623e-02,-1.501296157945649842e-02
1.204674905222005883e-02,1.919502815009480404e-02,-9.312768120494355206e-02
1.683931032884807694e-02,7.888898324217964719e-02,-1.678293677774332290e-03
-2.069117761304435643e-02,4.022461489836880177e-02,2.608624279678815189e-02
-1.863682424670418114e-02,-7.154702632792109274e-02,-2.291233462302446375e-04
-3.811059447402555950e-02,6.867572670250137248e-04,1.941899707732114982e-02
-3.486219315925166706e-02,6.538768812089124083e-02,-1.503076265142574107e-02
3.758236715319196453e-02,-5.117087027805388572e-02,-7.606806735652416052e-02
4.962877362440207274e-02,4.653990700981693041e-03,-1.160143291730204342e-02
-1.819816411008581478e-02,1.255707880561073280e-03,-3.810380895835280973e-02
4.092077309730534490e-02,-3.435787178164086825e-02,7.027588260645108165e-02
-8.784484389495004347e-03,8.093781529994668877e-02,-8.716042890832666201e-02
1.507263886214746905e-02,-8.032151390371659871e-03,-2.063190739291895920e-02
2.048592647489042365e-02,3.854625784791942261e-02,1.300374144824047520e-02
1.555858217766524672e-02,-3.523078378437495984e-03,2.762987412131245532e-02
1.586695438478288520e-02,-7.976927688990215551e-03,2.509461285961172086e-02
-3.161329522045307205e-03,1.794736139498162575e-02,7.170254375775017563e-02
-1.844187267834512811e-02,3.083158635731556366e-02,1.854930156487743717e-02
-9.276170023765774320e-03,-9.589177356755866329e-05,4.618660716150520956e-02
-7.560151689478920856e-02,5.090681351273518979e-02,-2.857788269538999448e-02
-3.645435103101075935e-02,1.138411648774339223e-02,-8.290532444374051207e-03
-4.288851733017023937e-02,5.285810205682748425e-02,-1.914501548024251376e-02
8.791729771787382131e-02,-7.815984385008129323e-03,1.180280255463491204e-02
-8.593455104726477334e-02,1.664598990777381568e-03,-1.877215797795468016e-02
8.187403165032877683e-02,-6.549253933768474367e-02,-1.453057521915174710e-03
6.817026464457577768e-03,6.689705033403625656e-02,6.684646188143161458e-03
4.903406376271141065e-02,-3.364993853553104042e-02,4.704581031650236465e-03
-4.443297857116658423e-02,4.717018507855050280e-02,2.944068821239100367e-02
-6.693877964501021571e-02,-1.537271942463585075e-02,-2.602843759870409820e-02
-1.925921051610521122e-03,1.185905460545715571e-02,-1.257820412414132477e-02
-2.680345074651026976e-02,-7.599779080057486114e-04,1.197153769398456337e-02
7.551979892327966015e-02,-4.588528552552356699e-02,-7.632697142864370426e-03
1.121372441260560897e-03,-1.492631634288429628e-03,4.103152413148054845e-02
-1.222160972811075184e-02,-1.234613413745485125e-02,5.624069781006358487e-02
-1.088934571494594959e-02,-3.515917842560018630e-02,8.700654115027857839e-04
8.972468329745349885e-03,1.109311390909473345e-02,-1.118021924807414448e-02
-8.344990484556606691e-03,-1.782405136482429625e-02,-8.109901548923345582e-02
1.100971166249349598e-02,4.864054018194963885e-02,4.869620669796036888e-02
-1.270254204755024395e-02,4.863975827259587464e-02,-5.651125408112853132e-02
6.644441627563402175e-02,-7.775522301600893554e-03,7.443498389932849679e-02
9.166195009336958535e-03,-7.713589741760548679e-03,-7.800342546665499366e-02
-9.834231456421810291e-02,-3.720970288798674391e-02,-2.270529827282914345e-02
5.066219464079590312e-02,1.115011177223283571e-02,2.022748775678659752e-02
-3.587303076531024593e-02,-1.209868743364459452e-02,-1.613740005701933683e-02
4.168787312018469582e-02,-1.861814577885332819e-02,-4.810076308378968823e-02
3.889595393605948387e-02,2.762423947766554089e-02,1.855413072673879268e-02
4.792796751389807874e-02,2.746220625452897024e-02,-2.799678900567025355e-02
-1.777578099166466155e-02,-9.603242827755731695e-03,6.357255256658340958e-02
4.588499014277850480e-02,-2.243961451944521956e-02,-2.808352511760341119e-02
3.064220191254923148e-02,-4.686624935977994066e-02,1.567842743025385857e-02
8.039069905288835638e-02,-4.651286644947997401e-02,-7.163256522745654713e-03
-4.367507653410452120e-03,-1.004027532166810836e-02,-8.264677218213140053e-02
7.018810945694743675e-02,5.022830631064434392e-02,-1.918656427521015645e-02
-2.923227460927850171e-02,-2.120485003054212170e-02,-2.177113694164900526e-02
4.693166439101469078e-02,-4.595882320432730095e-02,6.281574224376502980e-02
9.663713076761363749e-03,-7.927048566594838142e-02,-3.941100978503684488e-02
2.562261178637613521e-03,-1.266167312439211712e-01,2.458303164912999800e-02
3.200265787597288830e-02,4.877126856379925685e-02,-6.268751917931668360e-02
-1.693587121870541654e-02,9.169802218006192426e-03,-6.444786980349455352e-02
2.010159032671957405e-02,-1.910083733065814221e-02,-5.707994219032428568e-02
-6.851345562267026346e-03,4.349137343470599326e-02,-1.703016332688381262e-02
-3.349959467788882726e-03,-8.375687958861901053e-03,2.662244046312453941e-02
1.082907381367833287e-02,2.193399301141739713e-02,-4.853608803378060138e-02
4.647776932148969115e-02,-1.817455695859070391e-03,4.538199583504567980e-02
-2.151388761773071964e-02,-7.570203919287883665e-02,1.883260268659014622e-03
-7.773646523455417234e-02,-2.086508599902681463e-02,-7.631889788041218425e-02
-1.800164252557508171e-02,2.665598048287699806e-02,-7.352546811730212295e-03
8.780407081539047271e-04,8.695666182941408362e-02,-6.131601344420205268e-02
7.676381665840299739e-02,4.882730699241251415e-02,4.277655403516073679e-02
-2.725936842912844368e-02,-2.556646103566145509e-02,3.202054160272146954e-02
-1.577981448108528584e-02,8.471513231555460530e-03,-4.342792369559118210e-02
9.381015715416984868e-02,5.372017984232963644e-02,-2.765441241517186191e-02
3.989996654185475750e-02,-7.235119267263581677e-02,1.391322706076589776e-02
-1.638665585587661608e-02,-2.748217794400346220e-02,5.726321825745908645e-02
5.122527188567989331e-02,-2.250121640685692412e-02,-1.886594296363571996e-02
3.553295946608103772e-02,-2.226044950130669220e-02,2.500105864166509220e-02
-3.999029147298772957e-02,6.868758842537538850e-03,-1.878632390000558455e-02
-5.609699809833074841e-03,4.116052275901324609e-03,-2.327146329902645555e-02
1.256359515447828534e-01,-4.205650012566652593e-03,4.743680121496804403e-02
7.892933029268727613e-03,-3.902278202975407312e-02,5.270398023943906329e-02
6.435891234711123288e-02,-6.965751296445749086e-02,-1.718424184658073894e-02
-6.983903249722968505e-03,-2.470663778449256470e-02,2.069255259269371997e-02
-2.566243442029179922e-02,3.825823732713393849e-02,-3.072515569430267837e-02
-2.473238828389172708e-02,-4.345732261405944180e-02,7.547348963756203566e-02
7.138425053298505692e-03,-9.062274945217237143e-02,-3.528626089977082627e-03
3.476936277646337781e-02,3.601259621122173109e-03,-5.251929032197223679e-02
-3.263248047643957372e-02,2.257197162963586398e-02,4.876962962369798746e-03
