gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
2.951514170758529065e-02,5.591779620205605816e-02,5.983801898494015697e-02
-1.450966336566089296e-02,3.367241492621267374e-02,4.270336617747557545e-02
-1.043880796241383919e-02,-4.684750828991572982e-03,1.874199297092209865e-02
9.136902066949356693e-02,6.630822493114478522e-02,-4.433455883106391521e-02
-8.670705313567522721e-02,3.488598708389195613e-02,3.988819991496668493e-02
1.719017750438729328e-02,5.705431809648785907e-02,-8.325613951074989361e-02
-1.001345436826403673e-01,-3.091084228640906748e-02,-4.561220693451029096e-02
-2.389234357926979177e-02,-4.584238146520493856e-02,-3.521800798846751179e-02
5.142781187795266579e-02,-4.035707962392095366e-02,-5.847529460734587209e-02
2.143613616538401004e-02,-5.297757455043443191e-03,3.821629204237112637e-02
-2.995901347706165369e-02,-4.341513180695349278e-02,-8.455094792907612289e-02
-2.310894505338604785e-02,9.491011944542946180e-03,-3.147979514773950604e-02
-5.417535355982755658e-03,4.063292616729585749e-02,-1.461378282919969206e-02
-9.673860033417740201e-02,-4.709325604175253893e-02,5.037125274262013036e-02
1.643653747942789428e-02,6.071013639427823294e-02,1.927048027670371418e-03
-1.587321791810321001e-02,2.995076019509238310e-02,-3.314371501929716524e-02
-4.853850086074110864e-02,3.413127038491239190e-02,-5.541190201350190692e-02
-1.195587030416525587e-02,-3.076271125818237293e-02,-3.720523681740849770e-02
-2.655798941633112642e-02,1.262899680112670835e-02,-4.013012780494186471e-02
-2.979982012544912535e-03,2.800660018000863602e-02,-2.300453540195946875e-02
-6.681363323089121488e-03,-7.835484132746181000e-04,-3.675792742290714780e-03
-6.010158447931351205e-02,2.848022283442896291e-02,-2.198969935551268323e-02
1.113609792708586486e-03,-1.172236694339614388e-02,1.442383129106259397e-02
5.637501716255692574e-02,-4.958877026663102011e-02,-2.678417272556888121e-02
2.605335501381562252e-02,7.689106935938724331e-03,3.194702545829668922e-02
-4.537521135748108503e-02,-1.934676946224520022e-02,-2.921141264379405536e-02
2.193714741260293505e-02,2.708137312522195320e-02,7.320005377990805584e-02
2.091198516678480918e-02,8.331793698418117622e-02,2.431974509247969429e-02
3.640289018900746965e-02,3.443697953612438051e-02,4.270791633182753622e-02
7.148690846534554340e-03,-3.088312346942896289e-02,-2.063925231305993244e-02
-5.765437133197957864e-02,-5.341861305531871856e-02,4.286912142279356019e-02
-7.223611684251682319e-02,3.369183798384808165e-02,8.366014686437107202e-04
7.851089175736458703e-02,7.500191018337473703e-02,-2.001175703211260579e-02
5.732206771136825335e-02,-5.656683425112301461e-02,6.026128035609322475e-02
4.629161870546757984e-02,-1.114452407752299611e-02,-7.240091483626175280e-03
3.883111078086091267e-02,2.027830136084680934e-02,-2.112280921026696637e-02
-4.046329846442337647e-03,1.437745939410457014e-03,3.198351536373345017e-02
-4.880181814622611136e-02,-5.642541220049411554e-02,1.800958231245622723e-02
6.478072648138204215e-02,-1.976349249481202525e-02,3.933853040896855696e-02
4.941474963635373446e-02,-5.657562133692746638e-03,-4.555850108492728867e-02
4.242915295898432720e-02,9.018769497079913086e-03,-5.747293714656260405e-02
3.271956213105774169e-02,4.862004925409753320e-02,4.636781831295620770e-02
7.813121288089210081e-02,-5.610165227986739500e-02,2.085629219782229871e-02
-4.260317600370237823e-02,-1.963632681777371589e-02,1.868603780350333241e-02
-7.185680400663824012e-03,4.760337564616337613e-02,2.334683612543415887e-02
2.456953613432355521e-02,2.342914250971790333e-02,1.057140494173231492e-02
-1.971448936372605792e-02,-1.843912659529691606e-02,-3.589767339754615372e-02
1.110340555525653715e-02,8.700125131581022686e-02,-1.372660498558612649e-02
3.330286520258882860e-02,-2.595532860054581073e-02,-2.203134795340732505e-02
-1.913727616560871939e-02,3.894113807307789110e-02,-5.043166114360511914e-04
4.212925224229294857e-02,-1.253135751717657058e-02,-3.666657983282589628e-02
-2.874029983432931090e-02,1.359444870181885333e-03,-6.243484051921707918e-03
7.576552179383277616e-03,-1.586711023182859129e-02,3.085663168353491620e-04
1.173614936328091184e-02,-7.985697692114521185e-02,9.778334887196583891e-02
9.092686147498507329e-03,5.466274071331713585e-02,-4.342985410033291943e-02
-1.562312050965041117e-02,-5.862186202198117063e-02,-2.896244129074964507e-02
6.119472570859339072e-02,1.707608954005802870e-02,-3.792564728446784494e-02
1.861416828434130435e-02,-8.898965792981572767e-03,2.042504682765015206e-02
-2.194282511381609024e-03,-3.595785226737719525e-02,1.759838931949388174e-02
-7.397099301118817416e-02,-2.932112800947314982e-02,-3.607086919180158002e-02
-1.311930807784935076e-03,-2.599577389129089852e-02,-3.858068508579262645e-02
-2.457866573952824721e-02,5.632314793729621336e-03,3.742814696095802390e-02
-5.964302456828327222e-03,3.600037635537615965e-02,-1.478208041373286867e-02
1.765438938038202746e-02,1.265947570183854204e-02,1.559707946200142303e-02
3.480188991118896707e-02,-6.994724496378112999e-02,3.903369310533312542e-02
7.393024342186715371e-03,7.718269002986387350e-02,-2.768562454452888275e-02
-5.943286200659898127e-02,4.523554756622748946e-02,5.892629536696053494e-02
-4.063207115768915391e-03,-1.027854129485694309e-02,-2.289468973254113124e-02
6.307323382646450038e-02,-1.149737686310580154e-01,-3.438605163895837834e-03
2.197963797703230207e-02,1.211569112750490312e-01,-5.847743607066826360e-02
2.219970857617842297e-02,-2.574233144447773264e-02,-3.471781156925681650e-02
6.574055743200009350e-02,-3.089295868012760168e-02,2.141302131017251611e-03
7.943567131955973915e-02,2.742797495830889137e-02,-5.655935896550788600e-02
-4.933296150931355817e-02,-4.565661995513285026e-02,1.522851637110632893e-02
-2.481527214430299944e-02,5.107604103618661878e-02,-8.088139019385458262e-02
6.165336172954478944e-02,4.356919026417633428e-02,-3.874223583593879722e-02
8.874693466900952787e-02,8.183420530044178964e-02,-1.589228863485462120e-02
-1.515765810344241876e-02,2.938295834966045753e-02,1.601721468815834118e-02
-9.106945086331821870e-03,-6.353455895682236232e-02,-3.713152865202340447e-02
-1.692192944516959438e-02,1.891695893698668723e-02,-6.012305791072381639e-02
1.927820484627605201e-03,-7.149044801553514072e-02,-4.490134982423946153e-02
-8.982861886788691408e-02,1.883214875259573221e-02,-2.534359717359848090e-03
5.263251614350813318e-02,1.962409923119577335e-02,9.863577862262565277e-03
3.887007704130560071e-02,1.200391030758653568e-02,-1.850760868748657639e-02
-8.171918807843613422e-03,3.961535508127445038e-02,3.739383532067062921e-02
-2.453475449211105913e-03,1.019116971777837832e-02,-9.522043878592699462e-03
-3.041435012658316381e-02,-7.607283853531035533e-02,4.953888788832142009e-03
1.340426947206942512e-02,3.064494724110038842e-02,4.114316101012738258e-02
-6.480636341011715429e-02,-1.214716961054398796e-02,-5.408331274427390783e-02
2.635965852205463325e-02,-5.943479710637679381e-02,3.684073847150975967e-02
-3.933555506813760788e-02,9.191793986400539559e-03,-5.512098935608979872e-02
1.832989169946439359e-02,1.357447572121905574e-02,-5.935004948449963680e-02
3.671562058007230706e-02,-4.620207642532942610e-02,-1.546729652095959681e-02
-4.715720791680114848e-02,2.148724530464930435e-02,2.624305863672338895e-02
1.554769342635162893e-02,3.774033771919241276e-02,-3.203643632225706972e-02
4.189727040047697831e-02,-3.142482827196328710e-02,5.615743834329315785e-04
-2.347312732317347744e-02,2.148757370445829665e-02,-1.205533087732864328e-02
-3.112390557415645187e-02,-5.866167141118844297e-02,-7.670441498437964578e-02
-4.606958158628608052e-02,4.885233979983289593e-02,-3.569586355689832735e-02
4.387160393812492704e-02,2.678188022016869674e-02,-5.834271746392467178e-02
