accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
5.156848704586277895e-04,-3.447520856261269712e-03,-9.796779853544565597e+00
-2.268314281065492936e-03,7.027401883879559781e-03,-9.794596215044830245e+00
4.180745395819395090e-03,1.010251582134983218e-03,-9.795491400415837546e+00
-7.960622593271621163e-04,-2.805756424117980714e-03,-9.793068698747260825e+00
-7.649236332569888741e-04,-2.673379994271330449e-04,-9.780422620442861259e+00
1.899400728205423894e-04,7.158086915107475176e-03,-9.793609977245520071e+00
7.560291048937089857e-03,1.209890004757199333e-03,-9.801084982229559373e+00
-9.284951443439984006e-03,-3.467370833157271039e-03,-9.793031785959795954e+00
3.767952549268508908e-03,-3.816394489455199974e-04,-9.794282073644231090e+00
1.005136014932090510e-03,5.123588797530232927e-03,-9.783249021276647639e+00
-1.517106208996863922e-03,5.363236910923231335e-03,-9.803008263738172801e+00
-2.847981725787365401e-03,3.905537638336012245e-03,-9.789972597757580886e+00
4.699629645270977582e-03,-1.776077103634461293e-03,-9.783035265978478279e+00
-3.938545762882323178e-03,-2.848244592065912132e-03,-9.802300437160587521e+00
4.559548733292360066e-03,-5.383741227765470594e-03,-9.785940545655776646e+00
-4.350907592134804942e-03,-1.962281586749351761e-04,-9.794392932674778507e+00
-3.415396172242848687e-03,1.810930156503560203e-04,-9.795787577263702417e+00
4.525549245404454808e-03,1.839166226253016690e-03,-9.800703756088852359e+00
6.922997293664205111e-03,2.345988854161259324e-03,-9.792406237513990419e+00
6.091300190258984795e-03,-7.825841230429743042e-03,-9.794059518432701950e+00
-1.866588287063150348e-03,3.773298162981443896e-03,-9.789530161541394548e+00
4.181659203492027813e-03,1.051011038521360887e-02,-9.791711553161349002e+00
-1.278336567394740275e-02,5.218650946846622833e-04,-9.791523504750095697e+00
-1.715099259760460577e-04,4.498054827499974387e-03,-9.793195039681210190e+00
-2.686701806616706260e-03,5.252185233257650535e-03,-9.791359866542311607e+00
-3.118564873478502520e-03,3.462756550174843611e-03,-9.798430067284497724e+00
3.772185478242894019e-03,6.802644923200814459e-03,-9.794732384695283400e+00
3.170517234191431739e-03,-9.237107054204588127e-04,-9.795380860756493391e+00
-4.724394471966418887e-03,-8.061507733705971721e-03,-9.791798919392848077e+00
-4.014941566887730504e-03,-3.294936660106708055e-04,-9.795586546280821594e+00
