Yaw (deg),Pitch (deg),Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.574281717088688616e-05,-5.109810711489380652e-04,4.074304037492401708e-04
5.951766907645988361e-04,-3.209735553039944696e-04,3.278634887997376257e-04
2.785797742181348510e-04,-9.059208511600390975e-04,2.957898811059866983e-04
2.696334926249211871e-04,-7.427882089130123005e-04,-1.556223387931511483e-04
1.333379005122786514e-04,-1.108862985428645974e-03,-3.654642254950362409e-04
2.400921943384060662e-06,-1.451770783586502772e-03,-4.935174274329260334e-04
-4.143025836276155471e-04,-1.432056053559899698e-03,-4.030987543844923829e-04
-1.546718881964244461e-04,-2.029664501576021636e-03,-3.534996943423053431e-04
-4.767532858410602472e-04,-1.792492939437504698e-03,-4.701594864329004114e-04
-1.091425707254046161e-03,-2.305552307691973238e-03,-9.805197964377423709e-04
-1.299057112706298450e-03,-2.695617409170072368e-03,-1.520184232729078141e-03
-1.561092311642226817e-03,-2.445340265131954426e-03,-2.059712538605354762e-03
-1.470721844506821165e-03,-2.918903059206847794e-03,-1.982157452910266165e-03
-6.777015756005865714e-04,-3.698089645929972594e-03,-2.770776547430856690e-03
-4.963312069527921720e-04,-3.984488171261777768e-03,-2.747515370656187887e-03
-9.056025977173049390e-04,-3.653620618353770316e-03,-2.368478364554775940e-03
-1.610639524362350063e-03,-3.321082729156832510e-03,-2.639325435476310051e-03
-2.184164668459446373e-03,-3.102707774458091528e-03,-3.403614894218626348e-03
-2.319752628035123918e-03,-2.835079757023586944e-03,-2.618485897766168087e-03
-2.391408428756654127e-03,-2.483420561859173842e-03,-3.479648293080240748e-03
-3.182642598747795985e-03,-3.438825209535334784e-03,-2.980131080623471887e-03
-3.073357802173058966e-03,-3.516202496433184881e-03,-3.302039235019700852e-03
-2.788930304972864465e-03,-3.704184543729501216e-03,-3.692098923769042591e-03
-2.357800815569949856e-03,-3.341678305720675174e-03,-3.923616228581017391e-03
-1.926636714174648907e-03,-3.777749425467013134e-03,-4.489934338172751199e-03
-1.653401039183140546e-03,-3.976946136599926983e-03,-4.445737842288111606e-03
-1.280408157618067276e-03,-4.200759838068775925e-03,-3.930821116029539417e-03
-1.143842644453863487e-03,-4.720389740093007894e-03,-3.286380011619569226e-03
-3.941106035643115730e-04,-4.017474744644543121e-03,-3.197524618303858833e-03
1.259259278216857036e-04,-3.700149923940382335e-03,-3.425545451427338978e-03
-2.496562172029661263e-04,-4.647530063944719722e-03,-3.082492384671058506e-03
6.126711963597340988e-04,-4.736329759807042863e-03,-3.649725403357549983e-03
9.110145848860417553e-04,-4.178950574276620901e-03,-3.121580190558408997e-03
1.347817553945276220e-03,-4.409442980889211397e-03,-2.939933867606105491e-03
1.223079268253521789e-03,-4.206294206211796081e-03,-3.086383248076962019e-03
8.098222082122567616e-04,-3.911347090479552584e-03,-3.665163543356036308e-03
