accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.309406027516742512e-03,-7.778983167133561062e-03,-9.798863159198250017e+00
4.110751165313158290e-03,-4.120739854655975330e-03,-9.786749332186309047e+00
-7.842896626314896022e-03,-3.100664830238305126e-03,-9.798368800747899954e+00
1.232195821389209418e-03,-4.152879617887109479e-03,-9.787460065561532474e+00
-4.005833831976559137e-03,1.997181827427411526e-03,-9.797261342364887327e+00
-4.500541278551735760e-03,-4.166131444971155409e-03,-9.788861348414075181e+00
-1.148905007711032919e-02,5.315643091366240199e-03,-9.789268386983598802e+00
-4.918873432928138473e-03,-5.292090245119728496e-03,-9.793384145883480940e+00
5.966059589412855448e-03,-6.411575413204451644e-03,-9.791976530011027080e+00
-2.121751351884350930e-03,5.382130025759281587e-03,-9.776155751541452332e+00
-1.941591760316727002e-04,-5.604170235922244746e-03,-9.796791231836579072e+00
8.161879266497371402e-03,-4.702083454359834826e-04,-9.793760442769642083e+00
-1.815228915912508220e-05,-3.118217203787277368e-03,-9.794185479870925803e+00
1.804082085100634260e-03,8.470836785628273191e-03,-9.787757269197912890e+00
-4.203987202265373896e-03,5.685128687953221096e-04,-9.803907671237082511e+00
-3.512711956453594669e-03,-5.744452397496743572e-03,-9.788004581175677288e+00
-6.057726027996089210e-03,5.812105531771340206e-03,-9.797652990516251492e+00
-4.936816658606374419e-03,7.344812781940049211e-03,-9.792935252460692297e+00
1.219215468816359487e-03,-1.926398949778343386e-03,-9.791431931460692795e+00
1.299884657230950501e-02,-1.846574024223861330e-03,-9.789682225776854096e+00
2.122945392500982451e-03,-7.433328672139616431e-04,-9.796444794948929058e+00
-2.877206909816728241e-03,-3.563252000735183007e-03,-9.797144316023478794e+00
-7.171545452262795446e-03,1.843616799909340983e-03,-9.799767640451658934e+00
-2.987388257216760153e-03,7.378519584824339179e-03,-9.793173791704429476e+00
1.098362838360927689e-04,-3.747664487048499239e-04,-9.790750965771341185e+00
2.271736554000603695e-04,1.193423599199383350e-03,-9.786786657840936599e+00
7.042613893671193989e-03,5.361363131223179090e-03,-9.793957774220503509e+00
-2.338294216509513319e-03,-2.863616243849507245e-03,-9.809686973488142669e+00
3.177062605305807350e-04,8.441679159560783966e-04,-9.784023174747330742e+00
-1.314441688372737158e-02,1.936665283169002310e-03,-9.787375372779033356e+00
-1.455625944567555787e-03,-6.003582050155253360e-04,-9.799784332176880497e+00
-2.631426662616202870e-03,4.248992723946731602e-03,-9.798378731696397281e+00
8.719744191701308666e-05,1.922775634618947719e-03,-9.788891175703783532e+00
-5.221635127588004910e-03,-2.138458844217114383e-03,-9.797375974849799718e+00
9.852721648864254042e-04,7.404473126061713976e-03,-9.793103622487349114e+00
4.650876860032120141e-03,5.969090644770241351e-03,-9.798186907380113553e+00
-5.958724178471658771e-03,-1.300597203717317012e-02,-9.796145592580540296e+00
-8.621266252202714267e-03,4.307492343428430230e-03,-9.793589200688053609e+00
-6.637451050498060535e-03,9.229839938924028903e-04,-9.790865653406344293e+00
-5.033387156293108941e-03,-4.524218709425552147e-03,-9.793394986745877162e+00
-4.869998465643002837e-03,-9.081592458807041064e-04,-9.799145649718743911e+00
-1.460605833163041399e-03,-3.891708737694407963e-04,-9.793407787181749313e+00
-2.511711826454883067e-03,1.479226056061105346e-03,-9.799709998034638048e+00
-1.315974020100666927e-03,-8.813168147471369882e-04,-9.791258556913689404e+00
-2.203778284135022789e-03,-4.296647682256407412e-03,-9.793909634639012651e+00
-1.302711183426334034e-03,-5.443200022003538783e-04,-9.799298587506411806e+00
-6.700558899115903813e-03,3.979916847583774009e-03,-9.789695567041068358e+00
5.792892902823842602e-03,-2.486471440480096922e-03,-9.791039820283929274e+00
6.439721366752023312e-04,-2.413349602697191596e-03,-9.796650999949580552e+00
6.190105803158576754e-04,-8.190067520708218390e-03,-9.787308104796409225e+00
-3.351270374040944428e-03,5.459364259778132569e-04,-9.792620614291804415e+00
5.828295989146251715e-03,5.752771406121890731e-03,-9.797859502404490328e+00
-4.826812146849047448e-03,9.681354797760716949e-04,-9.792579621295859127e+00
9.040798263246442937e-03,1.727995786274913849e-03,-9.799892711562335990e+00
5.352152075207115486e-03,5.782517056648318020e-04,-9.792579782728184412e+00
-1.209931405671126276e-03,9.825949730977812189e-04,-9.797991199414431307e+00
3.247260935126388727e-03,1.875859032089011581e-04,-9.790075004891171773e+00
3.880344505937799882e-03,4.879700185753688309e-03,-9.797865159954923797e+00
-8.723252647553211489e-03,-8.168114822001797115e-03,-9.790895033837445638e+00
3.325696239834279987e-03,-4.324767483950907321e-03,-9.793693206524567429e+00
