accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.054519730597966998e+00,7.946747237715638956e-01,-3.460307595704939843e+00
9.040567093327435799e+00,8.203643678708186782e-01,-3.316237634581473248e+00
9.052635293055041998e+00,8.542105301120024308e-01,-3.187981292037022740e+00
9.025664900359272380e+00,8.777804288962320900e-01,-3.090039639679303285e+00
8.990629616682399572e+00,9.318792582496433496e-01,-3.020914867376515378e+00
8.974503526675185583e+00,9.589549668248058545e-01,-2.975966729145590683e+00
8.940409673394073664e+00,9.957810648907645668e-01,-2.954118612952339351e+00
8.901320050346722468e+00,1.037577761483400529e+00,-2.938130859180169807e+00
8.864717788734456150e+00,1.076883610588410534e+00,-2.939243717445515269e+00
8.821040308948953523e+00,1.125990999772011225e+00,-2.952579448101491533e+00
8.767915728153411692e+00,1.136541838436029517e+00,-3.170075646857074769e+00
8.714880152640620992e+00,1.138963020877267862e+00,-3.377331664685626400e+00
8.679145199638970354e+00,1.131121422672787924e+00,-3.548249640619183243e+00
8.647362908082373067e+00,1.129363981784704096e+00,-3.707058583980006539e+00
8.609885421600958821e+00,1.129152623513545173e+00,-3.853476702082779592e+00
8.577485764274117130e+00,1.125589215807000443e+00,-3.978408007850912309e+00
8.560496084157627195e+00,1.127607917512038149e+00,-4.090380193445352752e+00
8.518630892037929669e+00,1.120621847087914569e+00,-4.191407779233705888e+00
8.499266602807836080e+00,1.121532379489877274e+00,-4.285195856978292639e+00
8.478240020587998416e+00,1.115769272921273592e+00,-4.365615193105090164e+00
8.459727256052399724e+00,1.112002667013454626e+00,-4.449293783684920456e+00
8.450147397189018861e+00,1.106809722452919420e+00,-4.512103980282480720e+00
8.431109208845199987e+00,1.107689129439010989e+00,-4.578447137793288491e+00
8.411399752400102514e+00,1.104711241320578852e+00,-4.631718651787406493e+00
8.395449316933039086e+00,1.097305619187835424e+00,-4.673355304633261653e+00
8.382217830881209863e+00,1.096227192079217261e+00,-4.722859559080582414e+00
8.368024822238556482e+00,1.093364589737817694e+00,-4.763368700153423063e+00
8.369315516030159330e+00,1.095919171343435305e+00,-4.801038982650763565e+00
8.366777333531313587e+00,1.091471554866364047e+00,-4.826260210183153987e+00
8.352195943578747617e+00,1.083008366803674738e+00,-4.860775947571046807e+00
8.340295100765317216e+00,1.087133672521193084e+00,-4.893828361961173101e+00
8.323064690761436069e+00,1.090093026085718897e+00,-4.914739248276001504e+00
8.327790819961455426e+00,1.086773348345959178e+00,-4.928566219929694014e+00
8.322245614009762704e+00,1.071226425127249415e+00,-4.951244895933453627e+00
8.314476310420019445e+00,1.076617877403716950e+00,-4.966283532180812088e+00
8.310489387612841838e+00,1.076658766536142009e+00,-4.986939947653035610e+00
8.313692468713341555e+00,1.081554226504104044e+00,-4.994996230179524765e+00
8.313485374277933104e+00,1.079710445026688559e+00,-5.007575949831100992e+00
8.306903825367333738e+00,1.071989959921777702e+00,-5.026360742670344273e+00
8.301887718450768006e+00,1.088151435930847732e+00,-5.026616534944163384e+00
8.294021763385664769e+00,1.082598484640723724e+00,-5.042898297348529013e+00
8.300933306540112966e+00,1.066575015913268309e+00,-5.048172442864743203e+00
