gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-9.293163394860640025e+00,-1.056048579503839591e+01,1.657573595733291771e+00
-1.754948586399897437e+01,-2.010426227230134799e+01,3.247168702487184699e+00
-2.502928153475394879e+01,-2.861485029663962365e+01,4.751670298436542872e+00
-3.174900969985979060e+01,-3.632487266938634463e+01,6.124768137189088080e+00
-3.756897170033776945e+01,-4.334800194091236847e+01,7.452459377822863829e+00
-4.290829203527569291e+01,-4.964627651264169828e+01,8.790690334015470953e+00
-4.765183585617683093e+01,-5.547479738449079889e+01,1.019651755917363012e+01
-5.179308443579468246e+01,-6.057492518870917309e+01,1.160472584573924415e+01
-5.539553930911925761e+01,-6.526183544126102731e+01,1.303179583917304107e+01
-5.856349184994073198e+01,-6.953409899323882826e+01,1.448049070884955114e+01
-5.250225724997356735e+01,-6.261737129753961284e+01,1.359511914641276498e+01
-4.698565586739071875e+01,-5.657621534192380608e+01,1.273331261263214742e+01
-4.213543093859091471e+01,-5.091493201204464469e+01,1.178370234610564538e+01
-3.781033703798664902e+01,-4.592202663025464204e+01,1.092675749363403526e+01
-3.381544562667360054e+01,-4.137906037601218401e+01,1.010672059261045241e+01
-3.033537392036668834e+01,-3.723644510087643766e+01,9.198052929124466814e+00
-2.724317880838878381e+01,-3.359897408692109622e+01,8.424259228745778927e+00
-2.439698045146711536e+01,-3.031439242366601405e+01,7.818685399146223070e+00
-2.187630500088318897e+01,-2.719857326516498475e+01,7.110601702363595678e+00
-1.964391495938459187e+01,-2.450813581329436630e+01,6.484913112688623471e+00
-1.771713269744935104e+01,-2.211707249329587555e+01,5.883295012502973265e+00
-1.587953823748551763e+01,-1.987155185908837751e+01,5.310321706639187234e+00
-1.424351468104817720e+01,-1.789634497322694173e+01,4.865231203920993508e+00
-1.268543264847420105e+01,-1.620977159057769157e+01,4.441871716622949329e+00
-1.154953644452044514e+01,-1.454896674901021036e+01,4.008856267879107982e+00
-1.038607540990410527e+01,-1.308331208434020176e+01,3.741460639327248927e+00
-9.252848751572061659e+00,-1.176867671678750504e+01,3.313656728508078242e+00
-8.329630367555584058e+00,-1.058510173514019392e+01,3.015070203136013927e+00
-7.477938930569964171e+00,-9.497178515905059015e+00,2.643204313701121411e+00
-6.727799142989214332e+00,-8.626492380776165092e+00,2.499222321179614514e+00
-6.145716861175296586e+00,-7.711735832481813269e+00,2.188323986196415660e+00
-5.441263386286266268e+00,-6.948728793081218491e+00,1.987868862807438575e+00
-4.919251006373380974e+00,-6.263031383937965657e+00,1.773779046428891837e+00
-4.445661398550941001e+00,-5.803773315020297474e+00,1.692166219744567934e+00
-3.961768442889535002e+00,-5.132033891592472585e+00,1.479802322780511714e+00
-3.574785832344187675e+00,-4.545205447652040931e+00,1.252212981710212558e+00
-3.202016054733847206e+00,-4.103324293457413674e+00,1.222728640802156708e+00
-2.900514136787807562e+00,-3.727174475478276960e+00,1.174660973105453809e+00
-2.607965256132013909e+00,-3.289673196656130560e+00,9.907754818556439025e-01
-2.377902519857907571e+00,-3.042011476815463134e+00,8.643149031974202146e-01
