ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.099029983307600133e+02,5.778612185067285623e+01,-1.178398773200002303e+01
1.099126960659140053e+02,5.777643019301557104e+01,-1.178398773200002303e+01
1.099214240275526038e+02,5.776770770112401721e+01,-1.178398773200002303e+01
1.099292791930273410e+02,5.775985745842162089e+01,-1.178398773200002303e+01
1.099363488419545973e+02,5.775279223998946065e+01,-1.178398773200002303e+01
1.099427115259891252e+02,5.774643354340051360e+01,-1.178398773200002303e+01
1.099484379416202131e+02,5.774071071647046693e+01,-1.178398773200002303e+01
1.099535917156881908e+02,5.773556017223341996e+01,-1.178398773200002303e+01
1.099582301123493693e+02,5.773092468242008124e+01,-1.178398773200002303e+01
1.099624046693444370e+02,5.772675274158807213e+01,-1.178398773200002303e+01
1.099661617706399852e+02,5.772299799483926108e+01,-1.178398773200002303e+01
1.099695431618059729e+02,5.771961872276533967e+01,-1.178398773200002303e+01
1.099725864138553817e+02,5.771657737789881537e+01,-1.178398773200002303e+01
1.099753253406998397e+02,5.771384016751893142e+01,-1.178398773200002303e+01
1.099777903748598504e+02,5.771137667817703232e+01,-1.178398773200002303e+01
1.099800089056038672e+02,5.770915953776933804e+01,-1.178398773200002303e+01
1.099820055832734624e+02,5.770716411140240609e+01,-1.178398773200002303e+01
1.099838025931761223e+02,5.770536822767217444e+01,-1.178398773200002303e+01
1.099854199020885090e+02,5.770375193231495814e+01,-1.178398773200002303e+01
1.099868754801096458e+02,5.770229726649347413e+01,-1.178398773200002303e+01
1.099881855003286830e+02,5.770098806725412288e+01,-1.178398773200002303e+01
1.099893645185258180e+02,5.769980978793871884e+01,-1.178398773200002303e+01
1.099904256349032323e+02,5.769874933655484739e+01,-1.178398773200002303e+01
1.099913806396429123e+02,5.769779493030935669e+01,-1.178398773200002303e+01
1.099922401439086173e+02,5.769693596468842145e+01,-1.178398773200002303e+01
1.099930136977477559e+02,5.769616289562958400e+01,-1.178398773200002303e+01
1.099937098962029722e+02,5.769546713347661893e+01,-1.178398773200002303e+01
1.099943364748126697e+02,5.769484094753895675e+01,-1.178398773200002303e+01
1.099949003955614018e+02,5.769427738019506080e+01,-1.178398773200002303e+01
1.099954079242352520e+02,5.769377016958555515e+01,-1.178398773200002303e+01
1.099958647000417216e+02,5.769331368003700078e+01,-1.178398773200002303e+01
1.099962757982675470e+02,5.769290283944329900e+01,-1.178398773200002303e+01
1.099966457866707970e+02,5.769253308290897309e+01,-1.178398773200002303e+01
1.099969787762337035e+02,5.769220030202807692e+01,-1.178398773200002303e+01
1.099972784668403278e+02,5.769190079923527037e+01,-1.178398773200002303e+01
1.099975481883862898e+02,5.769163124672174092e+01,-1.178398773200002303e+01
1.099977909377776655e+02,5.769138864945957579e+01,-1.178398773200002303e+01
1.099980094122298908e+02,5.769117031192362077e+01,-1.178398773200002303e+01
1.099982060392368908e+02,5.769097380814126552e+01,-1.178398773200002303e+01
1.099983830035431964e+02,5.769079695473713798e+01,-1.178398773200002303e+01
1.099985422714188701e+02,5.769063778667343456e+01,-1.178398773200002303e+01
1.099986856125069750e+02,5.769049453541609296e+01,-1.178398773200002303e+01
1.099988146194862679e+02,5.769036560928449120e+01,-1.178398773200002303e+01
1.099989307257676359e+02,5.769024957576604606e+01,-1.178398773200002303e+01
1.099990352214208684e+02,5.769014514559944473e+01,-1.178398773200002303e+01
1.099991292675087777e+02,5.769005115844950637e+01,-1.178398773200002303e+01
1.099992139089878975e+02,5.768996657001456185e+01,-1.178398773200002303e+01
1.099992900863191068e+02,5.768989044042310610e+01,-1.178398773200002303e+01
1.099993586459171979e+02,5.768982192379080232e+01,-1.178398773200002303e+01
1.099994203495554643e+02,5.768976025882172820e+01,-1.178398773200002303e+01
1.099994758828299126e+02,5.768970476034955652e+01,-1.178398773200002303e+01
1.099995258627769061e+02,5.768965481172460841e+01,-1.178398773200002303e+01
1.099995708447292060e+02,5.768960985796214658e+01,-1.178398773200002303e+01
1.099996113284862815e+02,5.768956939957593733e+01,-1.178398773200002303e+01
1.099996477638676424e+02,5.768953298702835042e+01,-1.178398773200002303e+01
