ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-7.272392564280157068e-02,-9.778534380891497346e-02,2.493737232208309215e-02
-6.533452525109774423e-02,-8.829799831656058584e-02,2.217217015262498703e-02
-5.868527552160422017e-02,-7.975899465866637117e-02,1.968160608075810933e-02
-5.270193169109213538e-02,-7.207357330904644310e-02,1.743857409756895821e-02
-4.731771702802135132e-02,-6.515643649806102111e-02,1.541861075922467891e-02
-4.247256777745551243e-02,-5.893080473724587182e-02,1.359964387179444026e-02
-3.811245517295043517e-02,-5.332756717760485377e-02,1.196176384480442285e-02
-3.418877651377483229e-02,-4.828451651605689815e-02,1.048701591564589822e-02
-3.065780816155618677e-02,-4.374566007442701188e-02,9.159211537347668533e-03
-2.748021407017294665e-02,-3.966059949783929534e-02,7.963757320639369350e-03
-2.462060413798705313e-02,-3.598397226247062458e-02,6.887500023606868589e-03
-2.204713727235990336e-02,-3.267494885374377239e-02,5.918586185539810932e-03
-1.973116459155393673e-02,-2.969678008193112062e-02,5.046335103571958185e-03
-1.764690866621234852e-02,-2.701638954896759537e-02,4.261123949821480489e-03
-1.577117512829273593e-02,-2.460400677365002370e-02,3.554283921846904462e-03
-1.408309335544315199e-02,-2.243283692743930705e-02,2.918006409616694195e-03
-1.256388327847320074e-02,-2.047876353442460579e-02,2.345258247407011349e-03
-1.119664566329296555e-02,-1.872008085087186607e-02,1.829705198871372975e-03
-9.966173490435619245e-03,-1.713725296598483591e-02,1.365642897909322877e-03
-8.858782298546643078e-03,-1.571269695952040926e-02,9.479345369601579726e-04
-7.862157576106851287e-03,-1.443058771685993766e-02,5.719546581095490134e-04
-6.965217480895852763e-03,-1.327668224088205534e-02,2.335384611284917406e-04
-6.157989341723579119e-03,-1.223816151508036812e-02,-7.106390348742230812e-05
-5.431498553913371649e-03,-1.130348816614069017e-02,-3.452285389745136154e-04
-4.777668620823800026e-03,-1.046227834873642709e-02,-5.919949415422035618e-04
-4.189231220049659775e-03,-9.705186432510606517e-03,-8.140994704231358696e-04
-3.659645286360514293e-03,-9.023801212799883315e-03,-1.014005507149356262e-03
-3.183024205268226037e-03,-8.410552494163078471e-03,-1.193930628246135835e-03
-2.754070302567467998e-03,-7.858627010597456913e-03,-1.355871084424673011e-03
-2.368015897340947865e-03,-7.361892749716532867e-03,-1.501623851106795391e-03
-2.020570259724496429e-03,-6.914830841256509181e-03,-1.632806489489964721e-03
-1.707871881045446363e-03,-6.512474254096878822e-03,-1.750875034135396593e-03
-1.426445523549146671e-03,-6.150352621444467489e-03,-1.857140102026947400e-03
-1.173163570500902449e-03,-5.824442581770251752e-03,-1.952781399009799598e-03
-9.452112456099804336e-04,-5.531123084252122409e-03,-2.038860782296457192e-03
-7.400553140206227523e-04,-5.267135162539174874e-03,-2.116334022158053267e-03
-5.554159160467279140e-04,-5.029545730220848915e-03,-2.186061391849499023e-03
-3.892412198358710467e-04,-4.815714996005015895e-03,-2.248817202108444741e-03
-2.396846106322647683e-04,-4.623267136775524415e-03,-2.305298385093018133e-03
-1.050841626244391553e-04,-4.450063902855784688e-03,-2.356132222265547478e-03
1.605583516788110555e-05,-4.294180862350548480e-03,-2.401883301383116870e-03
1.250815046041364200e-04,-4.153886020733208416e-03,-2.443059779324131733e-03
2.232043407591528957e-04,-4.027620578214934251e-03,-2.480119019875633938e-03
3.115146773752060423e-04,-3.913981611166733078e-03,-2.513472668749015034e-03
3.909938052419370557e-04,-3.811706485229101899e-03,-2.543491221909937629e-03
4.625248783114354820e-04,-3.719658826972837250e-03,-2.570508137736032643e-03
5.269027288560716249e-04,-3.636815898282081370e-03,-2.594823538494049706e-03
5.848427008304832959e-04,-3.562257233208620047e-03,-2.616707542102806889e-03
6.369885996705183275e-04,-3.495154411067462503e-03,-2.636403261071009266e-03
6.839198469285171812e-04,-3.434761852163531731e-03,-2.654129501825710190e-03
7.261579192962380443e-04,-3.380408533897599852e-03,-2.670083194338312982e-03
7.641721436049190002e-04,-3.331490535222710655e-03,-2.684441578974590577e-03
7.983849122276769333e-04,-3.287464326623392753e-03,-2.697364174810853131e-03
8.291763768625624691e-04,-3.247840731071433527e-03,-2.708994551240944976e-03
8.568886728732355226e-04,-3.212179488865366059e-03,-2.719461922521700797e-03
8.818297211436736290e-04,-3.180084365969244615e-03,-2.728882582944194401e-03
9.042766497053674954e-04,-3.151198751503974955e-03,-2.737361198552932997e-03
9.244788731677437916e-04,-3.125201695478514816e-03,-2.744991969745825752e-03
9.426608641779653025e-04,-3.101804342739032574e-03,-2.751859677656849201e-03
9.590246477124071993e-04,-3.080746723515954705e-03,-2.758040625935032335e-03
9.737520459208881150e-04,-3.061794864910447576e-03,-2.763603488373540286e-03
9.870066984718204369e-04,-3.044738191227528996e-03,-2.768610071798544882e-03
9.989358808509720810e-04,-3.029387184272028331e-03,-2.773116002687585780e-03
1.009672140820731248e-03,-3.015571277611843980e-03,-2.777171345140969343e-03
1.019334771225658852e-03,-3.003136961412360313e-03,-2.780821157068098272e-03
1.028031135511171508e-03,-2.991946076785393684e-03,-2.784105990764926958e-03
1.035857860685246434e-03,-2.981874280701578978e-03,-2.787062343441579302e-03
1.042901910979818648e-03,-2.972809664410187760e-03,-2.789723062703623139e-03
1.049241554142675992e-03,-2.964651510015884131e-03,-2.792117711490393287e-03
1.054947231097461569e-03,-2.957309171396923109e-03,-2.794272896523692078e-03
1.060082338635463372e-03,-2.950701067030820583e-03,-2.796212563915034637e-03
1.064703933836450402e-03,-2.944753773536883026e-03,-2.797958265214910058e-03
1.068863368045975615e-03,-2.939401209864011492e-03,-2.799529396859360298e-03
1.072606857453786830e-03,-2.934583903059356617e-03,-2.800943415673718285e-03
1.075975996613441144e-03,-2.930248327459793536e-03,-2.802216032827421072e-03
