q0 (),q1,q2,q3
4.632760402834174562e-01,-4.496913797375247657e-01,2.120964194307595752e-01,7.335994018220910462e-01
4.628758084454145383e-01,-4.491997761968478109e-01,2.110416086916467870e-01,7.344569329930431545e-01
4.625140453053596667e-01,-4.487554207618806856e-01,2.100931730592617286e-01,7.352279842783394637e-01
4.621872004760292363e-01,-4.483539533396274646e-01,2.092403081234450735e-01,7.359213393408724491e-01
4.618920219741385336e-01,-4.479913801772002491e-01,2.084733208201149102e-01,7.365448783541994615e-01
4.616255372215910535e-01,-4.476640505646397594e-01,2.077835126437126423e-01,7.371056729468151714e-01
4.613850338651113714e-01,-4.473686333069092358e-01,2.071630755528955370e-01,7.376100708273061191e-01
4.611680408336226722e-01,-4.471020934816804515e-01,2.066049991236139083e-01,7.380637712658089100e-01
4.609723099330628737e-01,-4.468616698522471231e-01,2.061029876774202463e-01,7.384718924659748884e-01
4.607957981857940810e-01,-4.466448531909950059e-01,2.056513862648690905e-01,7.388390317380700845e-01
4.606366510506493817e-01,-4.464493656813275368e-01,2.052451145168382729e-01,7.391693192757342601e-01
4.604931866054610690e-01,-4.462731414992067713e-01,2.048796074929378208e-01,7.394664662443569680e-01
4.603638807329962224e-01,-4.461143086251009304e-01,2.045507627579841725e-01,7.397338078062475342e-01
4.602473533207478429e-01,-4.459711718995758023e-01,2.042548930066918345e-01,7.399743416352964065e-01
4.601423554626885015e-01,-4.458421973082624112e-01,2.039886836349002475e-01,7.401907624102652683e-01
4.600477576351076348e-01,-4.457259974622193588e-01,2.037491547242491485e-01,7.403854927200916869e-01
4.599625388075692656e-01,-4.456213182260483907e-01,2.035336269674803411e-01,7.405607107655906018e-01
4.598857764427221051e-01,-4.455270264371057887e-01,2.033396911145521901e-01,7.407183751988494214e-01
4.598166373342772451e-01,-4.454420986536916094e-01,2.031651805664446142e-01,7.408602474036493080e-01
4.597543692302289986e-01,-4.453656108673185177e-01,2.030081467847082988e-01,7.409879114867750083e-01
