ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-2.136612864904670914e-04,-9.794032813166500873e+00
0.000000000000000000e+00,-2.136612880827498207e-04,-9.794032813371112312e+00
0.000000000000000000e+00,-2.136612896750324686e-04,-9.794032813575723750e+00
0.000000000000000000e+00,-2.136612912673151979e-04,-9.794032813780335189e+00
0.000000000000000000e+00,-2.136612928595978730e-04,-9.794032813984944852e+00
0.000000000000000000e+00,-2.136612944518805209e-04,-9.794032814189556291e+00
0.000000000000000000e+00,-2.136612960441632502e-04,-9.794032814394167730e+00
0.000000000000000000e+00,-2.136612976364459253e-04,-9.794032814598777392e+00
0.000000000000000000e+00,-2.136612992287286004e-04,-9.794032814803388831e+00
0.000000000000000000e+00,-2.136613008210112212e-04,-9.794032815008000270e+00
0.000000000000000000e+00,-2.136613024132938963e-04,-9.794032815212609933e+00
0.000000000000000000e+00,-2.136613040055765713e-04,-9.794032815417221371e+00
0.000000000000000000e+00,-2.136613055978592193e-04,-9.794032815621832810e+00
0.000000000000000000e+00,-2.136613071901418673e-04,-9.794032815826442473e+00
0.000000000000000000e+00,-2.136613087824245152e-04,-9.794032816031050359e+00
0.000000000000000000e+00,-2.136613103747071632e-04,-9.794032816235661798e+00
0.000000000000000000e+00,-2.136613119669898383e-04,-9.794032816440273237e+00
0.000000000000000000e+00,-2.136613135592724049e-04,-9.794032816644884676e+00
0.000000000000000000e+00,-2.136613151515550258e-04,-9.794032816849496115e+00
0.000000000000000000e+00,-2.136613167438376737e-04,-9.794032817054105777e+00
0.000000000000000000e+00,-2.136613183361203488e-04,-9.794032817258717216e+00
0.000000000000000000e+00,-2.136613199284029155e-04,-9.794032817463326879e+00
0.000000000000000000e+00,-2.136613215206855092e-04,-9.794032817667943647e+00
0.000000000000000000e+00,-2.136613231129681301e-04,-9.794032817872551533e+00
0.000000000000000000e+00,-2.136613247052507238e-04,-9.794032818077161195e+00
0.000000000000000000e+00,-2.136613262975332905e-04,-9.794032818281774411e+00
0.000000000000000000e+00,-2.136613278898159113e-04,-9.794032818486384073e+00
0.000000000000000000e+00,-2.136613294820985051e-04,-9.794032818690993736e+00
0.000000000000000000e+00,-2.136613310743810717e-04,-9.794032818895606951e+00
0.000000000000000000e+00,-2.136613326666636384e-04,-9.794032819100216614e+00
0.000000000000000000e+00,-2.136613342589462592e-04,-9.794032819304828053e+00
0.000000000000000000e+00,-2.136613358512288259e-04,-9.794032819509439491e+00
0.000000000000000000e+00,-2.136613374435114197e-04,-9.794032819714050930e+00
0.000000000000000000e+00,-2.136613390357939592e-04,-9.794032819918660593e+00
