gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-9.244067690761648137e+00,-1.067773690579805468e+01,1.700466987842887523e+00
-1.752372052542783365e+01,-2.010779919502449431e+01,3.228516509636905063e+00
-2.500230357127320246e+01,-2.867360687902072414e+01,4.702521058799872478e+00
-3.171063410614229028e+01,-3.635418273165633707e+01,6.083601674225479705e+00
-3.762127576023815578e+01,-4.337894814283411193e+01,7.493449509180170942e+00
-4.296782987658799868e+01,-4.963199318695765072e+01,8.844086286696921206e+00
-4.768354746264093791e+01,-5.536643632886762134e+01,1.023768218646138628e+01
-5.173764055141585771e+01,-6.064370184546084630e+01,1.161787586260069460e+01
-5.542018583101945239e+01,-6.520943372378522440e+01,1.297660797951117928e+01
-5.873064358789500972e+01,-6.945368097739698499e+01,1.447065739119457461e+01
-5.247526271847200263e+01,-6.274191022671256945e+01,1.361452277423221169e+01
-4.705583927320081727e+01,-5.646510351164656782e+01,1.265732956791413777e+01
-4.209158739600005816e+01,-5.089534313981189229e+01,1.183530841502027009e+01
-3.769005751458598041e+01,-4.592032898428213628e+01,1.093966446049969576e+01
-3.384246454613432320e+01,-4.136351475636266173e+01,1.003641124550917496e+01
-3.029878091631788095e+01,-3.729293509892577418e+01,9.267405976293996872e+00
-2.726021687753171463e+01,-3.357667076733115863e+01,8.515686234423434087e+00
-2.440001126643403495e+01,-3.025203964650690835e+01,7.868351808506705680e+00
-2.191644157091766942e+01,-2.726607655768766847e+01,7.140982965949797645e+00
-1.966239507702350764e+01,-2.455094631295074592e+01,6.497725937796984930e+00
-1.770543996998676306e+01,-2.204203371701933278e+01,5.887439097603208715e+00
-1.586036938558713238e+01,-1.991475672486363990e+01,5.429665827299585246e+00
-1.423220818309413538e+01,-1.799551941284801160e+01,4.950519336870536691e+00
-1.274238301952686925e+01,-1.612622953254945557e+01,4.478297915300952781e+00
-1.146020497228489710e+01,-1.455228160921269698e+01,3.960430313925380919e+00
-1.034132524939259135e+01,-1.306512496239140297e+01,3.566481278369488361e+00
-9.292484771647455233e+00,-1.179297656016447782e+01,3.343434020344532520e+00
-8.341112291333354634e+00,-1.058749967929310287e+01,2.931675336586918146e+00
-7.479730358068061413e+00,-9.535315664118204637e+00,2.704610080344226564e+00
-6.708036697223382916e+00,-8.631793988756200520e+00,2.415116026970554497e+00
-6.101258490946110946e+00,-7.797925143484782495e+00,2.165246827142579544e+00
