ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.999998416211241903e+01,1.200000523910391621e+02,8.791458043417726742e+00
2.999998399719896724e+01,1.200000529116041861e+02,8.875974338379924333e+00
2.999998383228527388e+01,1.200000534321694374e+02,8.960490615289577576e+00
2.999998366737136024e+01,1.200000539527348735e+02,9.045006875951932201e+00
2.999998350245726186e+01,1.200000544733004517e+02,9.129523121991713452e+00
2.999998333754298940e+01,1.200000549938661862e+02,9.214039354871172094e+00
2.999998317262855707e+01,1.200000555144320771e+02,9.298555575906334525e+00
2.999998300771398974e+01,1.200000560349980674e+02,9.383071786281629301e+00
2.999998284279929095e+01,1.200000565555641572e+02,9.467587987063039279e+00
2.999998267788448558e+01,1.200000570761303607e+02,9.552104179209949919e+00
2.999998251296957008e+01,1.200000575966966210e+02,9.636620363585809201e+00
2.999998234805456931e+01,1.200000581172629666e+02,9.721136540967721729e+00
2.999998218313948328e+01,1.200000586378293974e+02,9.805652712055080045e+00
2.999998201822432620e+01,1.200000591583958709e+02,9.890168877477339748e+00
2.999998185330909806e+01,1.200000596789623870e+02,9.974685037801009457e+00
2.999998168839382018e+01,1.200000601995289742e+02,1.005920119353594799e+01
2.999998152347848190e+01,1.200000607200955898e+02,1.014371734514102741e+01
2.999998135856310100e+01,1.200000612406622480e+02,1.022823349302923290e+01
2.999998119364767746e+01,1.200000617612289204e+02,1.031274963757225116e+01
2.999998102873220773e+01,1.200000622817956497e+02,1.039726577910460037e+01
2.999998086381671314e+01,1.200000628023623790e+02,1.048178191792734815e+01
2.999998069890117947e+01,1.200000633229291509e+02,1.056629805431145464e+01
2.999998053398562803e+01,1.200000638434959370e+02,1.065081418850078343e+01
2.999998036907004462e+01,1.200000643640627089e+02,1.073533032071481230e+01
2.999998020415444344e+01,1.200000648846295235e+02,1.081984645115107035e+01
2.999998003923882806e+01,1.200000654051963522e+02,1.090436257998733538e+01
2.999997987432318780e+01,1.200000659257631810e+02,1.098887870738360739e+01
2.999997970940753689e+01,1.200000664463300097e+02,1.107339483348388498e+01
2.999997954449186821e+01,1.200000669668968385e+02,1.115791095841776581e+01
2.999997937957618888e+01,1.200000674874636957e+02,1.124242708230189258e+01
2.999997921466050599e+01,1.200000680080305528e+02,1.132694320524123910e+01
2.999997904974480889e+01,1.200000685285974100e+02,1.141145932733028268e+01
2.999997888482910469e+01,1.200000690491642388e+02,1.149597544865405396e+01
2.999997871991338627e+01,1.200000695697310960e+02,1.158049156928908019e+01
2.999997855499767141e+01,1.200000700902979389e+02,1.166500768930423604e+01
2.999997839008194589e+01,1.200000706108647961e+02,1.174952380876150926e+01
2.999997822516621682e+01,1.200000711314316533e+02,1.183403992771668811e+01
2.999997806025048774e+01,1.200000716519985104e+02,1.191855604621998133e+01
2.999997789533475157e+01,1.200000721725653392e+02,1.200307216431657764e+01
2.999997773041900828e+01,1.200000726931321964e+02,1.208758828204714675e+01
2.999997756550327210e+01,1.200000732136990251e+02,1.217210439944829048e+01
2.999997740058753237e+01,1.200000737342658539e+02,1.225662051655295315e+01
2.999997723567178198e+01,1.200000742548326826e+02,1.234113663339078215e+01
2.999997707075603870e+01,1.200000747753995114e+02,1.242565274998846014e+01
2.999997690584029897e+01,1.200000752959663259e+02,1.251016886637000169e+01
2.999997674092454858e+01,1.200000758165331547e+02,1.259468498255702151e+01
2.999997657600880174e+01,1.200000763370999550e+02,1.267920109856897248e+01
2.999997641109305846e+01,1.200000768576667554e+02,1.276371721442336060e+01
2.999997624617730807e+01,1.200000773782335415e+02,1.284823333013594215e+01
2.999997608126156834e+01,1.200000778988003418e+02,1.293274944572089780e+01
2.999997591634582506e+01,1.200000784193671279e+02,1.301726556119099065e+01
2.999997575143008177e+01,1.200000789399338998e+02,1.310178167655770665e+01
2.999997558651433494e+01,1.200000794605006575e+02,1.318629779183138240e+01
2.999997542159859876e+01,1.200000799810674295e+02,1.327081390702132246e+01
2.999997525668285547e+01,1.200000805016341872e+02,1.335533002213590237e+01
2.999997509176711219e+01,1.200000810222009449e+02,1.343984613718265564e+01
2.999997492685137601e+01,1.200000815427676741e+02,1.352436225216836618e+01
2.999997476193564339e+01,1.200000820633343892e+02,1.360887836709913756e+01
2.999997459701990721e+01,1.200000825839011185e+02,1.369339448198046405e+01
2.999997443210417458e+01,1.200000831044678478e+02,1.377791059681729102e+01
2.999997426718844196e+01,1.200000836250345486e+02,1.386242671161406648e+01
2.999997410227270933e+01,1.200000841456012779e+02,1.394694282637479787e+01
2.999997393735698736e+01,1.200000846661679645e+02,1.403145894110308767e+01
2.999997377244125829e+01,1.200000851867346654e+02,1.411597505580218126e+01
2.999997360752553632e+01,1.200000857073013378e+02,1.420049117047499720e+01
2.999997344260981080e+01,1.200000862278680103e+02,1.428500728512416451e+01
2.999997327769409594e+01,1.200000867484346969e+02,1.436952339975204751e+01
2.999997311277837042e+01,1.200000872690013409e+02,1.445403951436077428e+01
2.999997294786265556e+01,1.200000877895679992e+02,1.453855562895226150e+01
2.999997278294694425e+01,1.200000883101346432e+02,1.462307174352823225e+01
2.999997261803122584e+01,1.200000888307012730e+02,1.470758785809023728e+01
2.999997245311551808e+01,1.200000893512679312e+02,1.479210397263967458e+01
2.999997228819981387e+01,1.200000898718345468e+02,1.487662008717780004e+01
2.999997212328410257e+01,1.200000903924011482e+02,1.496113620170574521e+01
2.999997195836839836e+01,1.200000909129677495e+02,1.504565231622452792e+01
2.999997179345270126e+01,1.200000914335343509e+02,1.513016843073506479e+01
2.999997162853699706e+01,1.200000919541009523e+02,1.521468454523818004e+01
2.999997146362129996e+01,1.200000924746675253e+02,1.529920065973461618e+01
2.999997129870559931e+01,1.200000929952341124e+02,1.538371677422504114e+01
2.999997113378990932e+01,1.200000935158006854e+02,1.546823288871005531e+01
2.999997096887421932e+01,1.200000940363672584e+02,1.555274900319020048e+01
2.999997080395852578e+01,1.200000945569338029e+02,1.563726511766596339e+01
2.999997063904284289e+01,1.200000950775003616e+02,1.572178123213778278e+01
2.999997047412715645e+01,1.200000955980668778e+02,1.580629734660605301e+01
2.999997030921147001e+01,1.200000961186334365e+02,1.589081346107112758e+01
2.999997014429579423e+01,1.200000966391999242e+02,1.597532957553332800e+01
2.999996997938011489e+01,1.200000971597664545e+02,1.605984568999294027e+01
2.999996981446443556e+01,1.200000976803329564e+02,1.614436180445022373e+01
2.999996964954875622e+01,1.200000982008994583e+02,1.622887791890541109e+01
2.999996948463308399e+01,1.200000987214659460e+02,1.631339403335871197e+01
2.999996931971741887e+01,1.200000992420324479e+02,1.639791014781031464e+01
2.999996915480174664e+01,1.200000997625989214e+02,1.648242626226038965e+01
2.999996898988608152e+01,1.200001002831653949e+02,1.656694237670908976e+01
2.999996882497041994e+01,1.200001008037318400e+02,1.665145849115655352e+01
2.999996866005475482e+01,1.200001013242982992e+02,1.673597460560290173e+01
2.999996849513910036e+01,1.200001018448647443e+02,1.682049072004824808e+01
2.999996833022344234e+01,1.200001023654311894e+02,1.690500683449269204e+01
2.999996816530778787e+01,1.200001028859976202e+02,1.698952294893632242e+01
2.999996800039213696e+01,1.200001034065640368e+02,1.707403906337922450e+01
2.999996783547648249e+01,1.200001039271304535e+02,1.715855517782146578e+01
2.999996767056083513e+01,1.200001044476968559e+02,1.724307129226311730e+01
2.999996750564518777e+01,1.200001049682632583e+02,1.732758740670423592e+01
2.999996734072954041e+01,1.200001054888296466e+02,1.741210352114487492e+01
2.999996717581390016e+01,1.200001060093960490e+02,1.749661963558508049e+01
2.999996701089825990e+01,1.200001065299624230e+02,1.758113575002489881e+01
2.999996684598262675e+01,1.200001070505287970e+02,1.766565186446436897e+01
2.999996668106698650e+01,1.200001075710951426e+02,1.775016797890352294e+01
2.999996651615135690e+01,1.200001080916614882e+02,1.783468409334239269e+01
2.999996635123572375e+01,1.200001086122278338e+02,1.791920020778101019e+01
2.999996618632009771e+01,1.200001091327941793e+02,1.800371632221939677e+01
2.999996602140446811e+01,1.200001096533604965e+02,1.808823243665757730e+01
2.999996585648884562e+01,1.200001101739268137e+02,1.817274855109557308e+01
2.999996569157321957e+01,1.200001106944931450e+02,1.825726466553340188e+01
2.999996552665760419e+01,1.200001112150594622e+02,1.834178077997107792e+01
2.999996536174198170e+01,1.200001117356257510e+02,1.842629689440861895e+01
2.999996519682636631e+01,1.200001122561920539e+02,1.851081300884603920e+01
2.999996503191075092e+01,1.200001127767583284e+02,1.859532912328334930e+01
2.999996486699514264e+01,1.200001132973245888e+02,1.867984523772055994e+01
2.999996470207953436e+01,1.200001138178908633e+02,1.876436135215768175e+01
2.999996453716392608e+01,1.200001143384571378e+02,1.884887746659472541e+01
2.999996437224832491e+01,1.200001148590233839e+02,1.893339358103169801e+01
2.999996420733272018e+01,1.200001153795896158e+02,1.901790969546860310e+01
2.999996404241711900e+01,1.200001159001558619e+02,1.910242580990545136e+01
2.999996387750152493e+01,1.200001164207220796e+02,1.918694192434224632e+01
2.999996371258592731e+01,1.200001169412883115e+02,1.927145803877899510e+01
2.999996354767032969e+01,1.200001174618545292e+02,1.935597415321570125e+01
2.999996338275474272e+01,1.200001179824207185e+02,1.944049026765236832e+01
2.999996321783915221e+01,1.200001185029869362e+02,1.952500638208899986e+01
2.999996305292356169e+01,1.200001190235531112e+02,1.960952249652560297e+01
2.999996288800797828e+01,1.200001195441193005e+02,1.969403861096217767e+01
2.999996272309239487e+01,1.200001200646854613e+02,1.977855472539872750e+01
2.999996255817681146e+01,1.200001205852516364e+02,1.986307083983525246e+01
2.999996239326123515e+01,1.200001211058177972e+02,1.994758695427175965e+01
2.999996222834565884e+01,1.200001216263839439e+02,2.003210306870824908e+01
2.999996206343008964e+01,1.200001221469500905e+02,2.011661918314472075e+01
2.999996189851450978e+01,1.200001226675162371e+02,2.020113529758117821e+01
2.999996173359894058e+01,1.200001231880823553e+02,2.028565141201762145e+01
2.999996156868337849e+01,1.200001237086484736e+02,2.037016752645405404e+01
2.999996140376781284e+01,1.200001242292145776e+02,2.045468364089047597e+01
2.999996123885224719e+01,1.200001247497806958e+02,2.053919975532688724e+01
2.999996107393668510e+01,1.200001252703467998e+02,2.062371586976328786e+01
2.999996090902112655e+01,1.200001257909128896e+02,2.070823198419968136e+01
2.999996074410556801e+01,1.200001263114789509e+02,2.079274809863606777e+01
2.999996057919001657e+01,1.200001268320450407e+02,2.087726421307244706e+01
2.999996041427446514e+01,1.200001273526111163e+02,2.096178032750882281e+01
2.999996024935891370e+01,1.200001278731771492e+02,2.104629644194519145e+01
2.999996008444336937e+01,1.200001283937432248e+02,2.113081255638155653e+01
2.999995991952782504e+01,1.200001289143092578e+02,2.121532867081791807e+01
2.999995975461228070e+01,1.200001294348753049e+02,2.129984478525427605e+01
2.999995958969673282e+01,1.200001299554413094e+02,2.138436089969063048e+01
2.999995942478119559e+01,1.200001304760073282e+02,2.146887701412698135e+01
2.999995925986566192e+01,1.200001309965733469e+02,2.155339312856332867e+01
2.999995909495012469e+01,1.200001315171393657e+02,2.163790924299967244e+01
2.999995893003459102e+01,1.200001320377053560e+02,2.172242535743601621e+01
2.999995876511906445e+01,1.200001325582713463e+02,2.180694147187235643e+01
2.999995860020353433e+01,1.200001330788373082e+02,2.189145758630869665e+01
2.999995843528800776e+01,1.200001335994032985e+02,2.197597370074503331e+01
2.999995827037248830e+01,1.200001341199692604e+02,2.206048981518136998e+01
2.999995810545696173e+01,1.200001346405352223e+02,2.214500592961770664e+01
2.999995794054144227e+01,1.200001351611011700e+02,2.222952204405403975e+01
2.999995777562592991e+01,1.200001356816671034e+02,2.231403815849037287e+01
2.999995761071041045e+01,1.200001362022330511e+02,2.239855427292670598e+01
2.999995744579490164e+01,1.200001367227989562e+02,2.248307038736303554e+01
2.999995728087938929e+01,1.200001372433649038e+02,2.256758650179936510e+01
2.999995711596388048e+01,1.200001377639307805e+02,2.265210261623569465e+01
2.999995695104837523e+01,1.200001382844966997e+02,2.273661873067202421e+01
2.999995678613286643e+01,1.200001388050625906e+02,2.282113484510835377e+01
2.999995662121736828e+01,1.200001393256284814e+02,2.290565095954467978e+01
2.999995645630186658e+01,1.200001398461943722e+02,2.299016707398100579e+01
2.999995629138637199e+01,1.200001403667602347e+02,2.307468318841733179e+01
2.999995612647087739e+01,1.200001408873260971e+02,2.315919930285365780e+01
2.999995596155538280e+01,1.200001414078919595e+02,2.324371541728998380e+01
2.999995579663989176e+01,1.200001419284578219e+02,2.332823153172630981e+01
2.999995563172440072e+01,1.200001424490236559e+02,2.341274764616263582e+01
2.999995546680891323e+01,1.200001429695894899e+02,2.349726376059896182e+01
2.999995530189343285e+01,1.200001434901553097e+02,2.358177987503528783e+01
2.999995513697795246e+01,1.200001440107211153e+02,2.366629598947161384e+01
2.999995497206246853e+01,1.200001445312869350e+02,2.375081210390793984e+01
2.999995480714699525e+01,1.200001450518527406e+02,2.383532821834426585e+01
2.999995464223151842e+01,1.200001455724185320e+02,2.391984433278059186e+01
2.999995447731604514e+01,1.200001460929843091e+02,2.400436044721691786e+01
2.999995431240056831e+01,1.200001466135501005e+02,2.408887656165324387e+01
2.999995414748510214e+01,1.200001471341158634e+02,2.417339267608956632e+01
2.999995398256963952e+01,1.200001476546816264e+02,2.425790879052588878e+01
2.999995381765416980e+01,1.200001481752473893e+02,2.434242490496221123e+01
2.999995365273870718e+01,1.200001486958131380e+02,2.442694101939853368e+01
2.999995348782325166e+01,1.200001492163788868e+02,2.451145713383485614e+01
2.999995332290778904e+01,1.200001497369446213e+02,2.459597324827117859e+01
2.999995315799233353e+01,1.200001502575103274e+02,2.468048936270750104e+01
2.999995299307688157e+01,1.200001507780760619e+02,2.476500547714382350e+01
2.999995282816143316e+01,1.200001512986417680e+02,2.484952159158014595e+01
2.999995266324598475e+01,1.200001518192074599e+02,2.493403770601646841e+01
2.999995249833053279e+01,1.200001523397731660e+02,2.501855382045279086e+01
2.999995233341509149e+01,1.200001528603388579e+02,2.510306993488911331e+01
2.999995216849964663e+01,1.200001533809045071e+02,2.518758604932543577e+01
2.999995200358420533e+01,1.200001539014701990e+02,2.527210216376175822e+01
2.999995183866876758e+01,1.200001544220358625e+02,2.535661827819808067e+01
2.999995167375332983e+01,1.200001549426015117e+02,2.544113439263440313e+01
2.999995150883789918e+01,1.200001554631671468e+02,2.552565050707072558e+01
2.999995134392246143e+01,1.200001559837328102e+02,2.561016662150704803e+01
2.999995117900703789e+01,1.200001565042984453e+02,2.569468273594337049e+01
2.999995101409160725e+01,1.200001570248640519e+02,2.577919885037969294e+01
2.999995084917618371e+01,1.200001575454296585e+02,2.586371496481601540e+01
2.999995068426076017e+01,1.200001580659952651e+02,2.594823107925233785e+01
2.999995051934534018e+01,1.200001585865608718e+02,2.603274719368866030e+01
2.999995035442992375e+01,1.200001591071264784e+02,2.611726330812498276e+01
2.999995018951450731e+01,1.200001596276920708e+02,2.620177942256130521e+01
2.999995002459908733e+01,1.200001601482576206e+02,2.628629553699762766e+01
2.999994985968367800e+01,1.200001606688232130e+02,2.637081165143395012e+01
2.999994969476827222e+01,1.200001611893887628e+02,2.645532776587027257e+01
2.999994952985285934e+01,1.200001617099543267e+02,2.653984388030659503e+01
2.999994936493745357e+01,1.200001622305198765e+02,2.662435999474291748e+01
2.999994920002204779e+01,1.200001627510854121e+02,2.670887610917923993e+01
2.999994903510664912e+01,1.200001632716509476e+02,2.679339222361556239e+01
2.999994887019125045e+01,1.200001637922164548e+02,2.687790833805188484e+01
2.999994870527585178e+01,1.200001643127819904e+02,2.696242445248820729e+01
2.999994854036046021e+01,1.200001648333474975e+02,2.704694056692452975e+01
2.999994837544506865e+01,1.200001653539130047e+02,2.713145668136085220e+01
2.999994821052967708e+01,1.200001658744784834e+02,2.721597279579717465e+01
2.999994804561428907e+01,1.200001663950439621e+02,2.730048891023349711e+01
2.999994788069890461e+01,1.200001669156094408e+02,2.738500502466981956e+01
2.999994771578352371e+01,1.200001674361749195e+02,2.746952113910614202e+01
2.999994755086813925e+01,1.200001679567403841e+02,2.755403725354246447e+01
2.999994738595275834e+01,1.200001684773058344e+02,2.763855336797878692e+01
2.999994722103738454e+01,1.200001689978712704e+02,2.772306948241510938e+01
2.999994705612201074e+01,1.200001695184367208e+02,2.780758559685143183e+01
2.999994689120663693e+01,1.200001700390021568e+02,2.789210171128775428e+01
2.999994672629126313e+01,1.200001705595675503e+02,2.797661782572407674e+01
2.999994656137589644e+01,1.200001710801329864e+02,2.806113394016039919e+01
2.999994639646052974e+01,1.200001716006983941e+02,2.814565005459672165e+01
2.999994623154517015e+01,1.200001721212637733e+02,2.823016616903304410e+01
2.999994606662980345e+01,1.200001726418291810e+02,2.831468228346936655e+01
2.999994590171444742e+01,1.200001731623945602e+02,2.839919839790568901e+01
2.999994573679908783e+01,1.200001736829599395e+02,2.848371451234201146e+01
2.999994557188373534e+01,1.200001742035253187e+02,2.856823062677833391e+01
2.999994540696837930e+01,1.200001747240906695e+02,2.865274674121465637e+01
2.999994524205303037e+01,1.200001752446560204e+02,2.873726285565097882e+01
2.999994507713768499e+01,1.200001757652213570e+02,2.882177897008730127e+01
2.999994491222233606e+01,1.200001762857867078e+02,2.890629508452362373e+01
2.999994474730699423e+01,1.200001768063520302e+02,2.899081119895994618e+01
2.999994458239164530e+01,1.200001773269173668e+02,2.907532731339626864e+01
2.999994441747631058e+01,1.200001778474826608e+02,2.915984342783259109e+01
2.999994425256096875e+01,1.200001783680479690e+02,2.924435954226891354e+01
2.999994408764563403e+01,1.200001788886132772e+02,2.932887565670523600e+01
2.999994392273030641e+01,1.200001794091785428e+02,2.941339177114155845e+01
2.999994375781497169e+01,1.200001799297438509e+02,2.949790788557788090e+01
2.999994359289964052e+01,1.200001804503091307e+02,2.958242400001420336e+01
2.999994342798432001e+01,1.200001809708743821e+02,2.966694011445052581e+01
2.999994326306898884e+01,1.200001814914396334e+02,2.975145622888684827e+01
2.999994309815366833e+01,1.200001820120048848e+02,2.983597234332317072e+01
2.999994293323835137e+01,1.200001825325701361e+02,2.992048845775949317e+01
2.999994276832303441e+01,1.200001830531353733e+02,3.000500457219581563e+01
2.999994260340772101e+01,1.200001835737006246e+02,3.008952068663213808e+01
2.999994243849240405e+01,1.200001840942658191e+02,3.017403680106846053e+01
2.999994227357709420e+01,1.200001846148310420e+02,3.025855291550478299e+01
2.999994210866178435e+01,1.200001851353962508e+02,3.034306902994110544e+01
2.999994194374647449e+01,1.200001856559614453e+02,3.042758514437742789e+01
2.999994177883117175e+01,1.200001861765266256e+02,3.051210125881375035e+01
2.999994161391586900e+01,1.200001866970918201e+02,3.059661737325007280e+01
2.999994144900056980e+01,1.200001872176570004e+02,3.068113348768639526e+01
2.999994128408527416e+01,1.200001877382221522e+02,3.076564960212271771e+01
2.999994111916997852e+01,1.200001882587873325e+02,3.085016571655904016e+01
2.999994095425467933e+01,1.200001887793524844e+02,3.093468183099536262e+01
2.999994078933939079e+01,1.200001892999176079e+02,3.101919794543168507e+01
2.999994062442409870e+01,1.200001898204827597e+02,3.110371405986800752e+01
2.999994045950881372e+01,1.200001903410478832e+02,3.118823017430432998e+01
2.999994029459352873e+01,1.200001908616130066e+02,3.127274628874065243e+01
2.999994012967824730e+01,1.200001913821781017e+02,3.135726240317697489e+01
2.999993996476296232e+01,1.200001919027432109e+02,3.144177851761329734e+01
2.999993979984768444e+01,1.200001924233083059e+02,3.152629463204961979e+01
2.999993963493241012e+01,1.200001929438734010e+02,3.161081074648594225e+01
2.999993947001713224e+01,1.200001934644384818e+02,3.169532686092226470e+01
2.999993930510186146e+01,1.200001939850035484e+02,3.177984297535858715e+01
2.999993914018659780e+01,1.200001945055686292e+02,3.186435908979490961e+01
2.999993897527132702e+01,1.200001950261336816e+02,3.194887520423123206e+01
2.999993881035605980e+01,1.200001955466987198e+02,3.203339131866755451e+01
2.999993864544079614e+01,1.200001960672637722e+02,3.211790743310388052e+01
2.999993848052553602e+01,1.200001965878287962e+02,3.220242354754020653e+01
2.999993831561027591e+01,1.200001971083938486e+02,3.228693966197653253e+01
2.999993815069502645e+01,1.200001976289588441e+02,3.237145577641285854e+01
2.999993798577976634e+01,1.200001981495238681e+02,3.245597189084918455e+01
2.999993782086451333e+01,1.200001986700888637e+02,3.254048800528551055e+01
2.999993765594926742e+01,1.200001991906538592e+02,3.262500411972183656e+01
