ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.581308542666095281e-03,-1.803923211460628441e-05,-2.151867230273105721e-03
3.581308535891070295e-03,-1.803923211410182886e-05,-2.151867241548641348e-03
3.581308529116045743e-03,-1.803923211359737669e-05,-2.151867252824175673e-03
3.581308522341019891e-03,-1.803923211309292114e-05,-2.151867264099710433e-03
3.581308515565995339e-03,-1.803923211258847236e-05,-2.151867275375245192e-03
3.581308508790970353e-03,-1.803923211208401342e-05,-2.151867286650780819e-03
3.581308502015946235e-03,-1.803923211157955786e-05,-2.151867297926315144e-03
3.581308495240920382e-03,-1.803923211107510231e-05,-2.151867309201849904e-03
3.581308488465895831e-03,-1.803923211057064676e-05,-2.151867320477384229e-03
3.581308481690870845e-03,-1.803923211006619459e-05,-2.151867331752919422e-03
3.581308474915845426e-03,-1.803923210956173904e-05,-2.151867343028453748e-03
3.581308468140820440e-03,-1.803923210905729026e-05,-2.151867354303988941e-03
3.581308461365795455e-03,-1.803923210855283132e-05,-2.151867365579522833e-03
3.581308454590770036e-03,-1.803923210804837576e-05,-2.151867376855057593e-03
3.581308447815745050e-03,-1.803923210754392021e-05,-2.151867388130591918e-03
3.581308441040719198e-03,-1.803923210703946804e-05,-2.151867399406126678e-03
3.581308434265694646e-03,-1.803923210653501588e-05,-2.151867410681661437e-03
3.581308427490668793e-03,-1.803923210603055694e-05,-2.151867421957195763e-03
3.581308420715644241e-03,-1.803923210552610816e-05,-2.151867433232730088e-03
3.581308413940618388e-03,-1.803923210502165260e-05,-2.151867444508265281e-03
3.581308407165592969e-03,-1.803923210451719705e-05,-2.151867455783799607e-03
3.581308400390567116e-03,-1.803923210401273811e-05,-2.151867467059333933e-03
3.581308393615541697e-03,-1.803923210350828594e-05,-2.151867478334868258e-03
3.581308386840515844e-03,-1.803923210300383378e-05,-2.151867489610402584e-03
3.581308380065490425e-03,-1.803923210249938161e-05,-2.151867500885937777e-03
3.581308373290464572e-03,-1.803923210199492944e-05,-2.151867512161471235e-03
3.581308366515439153e-03,-1.803923210149047050e-05,-2.151867523437005561e-03
3.581308359740414168e-03,-1.803923210098601495e-05,-2.151867534712540320e-03
3.581308352965387881e-03,-1.803923210048155939e-05,-2.151867545988074212e-03
3.581308346190362028e-03,-1.803923209997710723e-05,-2.151867557263608972e-03
3.581308339415336609e-03,-1.803923209947265168e-05,-2.151867568539143297e-03
3.581308332640310756e-03,-1.803923209896819951e-05,-2.151867579814677189e-03
3.581308325865284470e-03,-1.803923209846374396e-05,-2.151867591090211081e-03
3.581308319090258617e-03,-1.803923209795929179e-05,-2.151867602365745407e-03
3.581308312315233198e-03,-1.803923209745483624e-05,-2.151867613641278865e-03
3.581308305540206911e-03,-1.803923209695038068e-05,-2.151867624916813625e-03
3.581308298765181058e-03,-1.803923209644592513e-05,-2.151867636192347517e-03
3.581308291990154772e-03,-1.803923209594146957e-05,-2.151867647467881842e-03
3.581308285215128485e-03,-1.803923209543701402e-05,-2.151867658743415734e-03
3.581308278440102633e-03,-1.803923209493256524e-05,-2.151867670018950060e-03
3.581308271665076346e-03,-1.803923209442810969e-05,-2.151867681294483952e-03
3.581308264890050060e-03,-1.803923209392365413e-05,-2.151867692570018278e-03
3.581308258115024207e-03,-1.803923209341919519e-05,-2.151867703845552170e-03
3.581308251339997920e-03,-1.803923209291474641e-05,-2.151867715121086495e-03
3.581308244564971634e-03,-1.803923209241029086e-05,-2.151867726396620387e-03
3.581308237789944914e-03,-1.803923209190583531e-05,-2.151867737672154279e-03
3.581308231014918627e-03,-1.803923209140137975e-05,-2.151867748947688171e-03
3.581308224239892340e-03,-1.803923209089692759e-05,-2.151867760223221630e-03
3.581308217464865620e-03,-1.803923209039246864e-05,-2.151867771498755522e-03
3.581308210689840201e-03,-1.803923208988801648e-05,-2.151867782774288980e-03
3.581308203914813047e-03,-1.803923208938356431e-05,-2.151867794049822872e-03
3.581308197139786761e-03,-1.803923208887910876e-05,-2.151867805325357198e-03
3.581308190364760041e-03,-1.803923208837465321e-05,-2.151867816600890656e-03
3.581308183589732887e-03,-1.803923208787019765e-05,-2.151867827876424548e-03
3.581308176814706600e-03,-1.803923208736574549e-05,-2.151867839151958006e-03
3.581308170039680314e-03,-1.803923208686129332e-05,-2.151867850427491898e-03
3.581308163264653160e-03,-1.803923208635683438e-05,-2.151867861703025357e-03
3.581308156489626440e-03,-1.803923208585238221e-05,-2.151867872978559682e-03
3.581308149714599286e-03,-1.803923208534792666e-05,-2.151867884254093140e-03
3.581308142939572999e-03,-1.803923208484347449e-05,-2.151867895529626599e-03
3.581308136164546713e-03,-1.803923208433902233e-05,-2.151867906805160057e-03
3.581308129389519559e-03,-1.803923208383456338e-05,-2.151867918080693515e-03
3.581308122614492405e-03,-1.803923208333011122e-05,-2.151867929356226974e-03
3.581308115839465685e-03,-1.803923208282565228e-05,-2.151867940631760432e-03
3.581308109064438531e-03,-1.803923208232120011e-05,-2.151867951907294758e-03
3.581308102289411377e-03,-1.803923208181674456e-05,-2.151867963182828216e-03
3.581308095514384223e-03,-1.803923208131229239e-05,-2.151867974458361241e-03
3.581308088739357069e-03,-1.803923208080784023e-05,-2.151867985733894699e-03
3.581308081964329915e-03,-1.803923208030338128e-05,-2.151867997009427724e-03
3.581308075189302761e-03,-1.803923207979892912e-05,-2.151868008284961616e-03
3.581308068414275608e-03,-1.803923207929447018e-05,-2.151868019560495074e-03
3.581308061639248454e-03,-1.803923207879001801e-05,-2.151868030836028532e-03
3.581308054864221300e-03,-1.803923207828556584e-05,-2.151868042111561557e-03
3.581308048089194146e-03,-1.803923207778111029e-05,-2.151868053387094581e-03
3.581308041314166992e-03,-1.803923207727666151e-05,-2.151868064662628040e-03
3.581308034539138971e-03,-1.803923207677219918e-05,-2.151868075938162365e-03
3.581308027764111817e-03,-1.803923207626774702e-05,-2.151868087213695390e-03
3.581308020989084663e-03,-1.803923207576329146e-05,-2.151868098489228415e-03
3.581308014214056642e-03,-1.803923207525883930e-05,-2.151868109764761439e-03
3.581308007439029488e-03,-1.803923207475438374e-05,-2.151868121040294464e-03
