gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-9.672369124696164958e-03,7.980143981113432122e-03,5.008195194219129676e-02
4.363060760025162799e-02,6.117279977690002341e-02,-5.651903116914007430e-02
-5.150197079513967741e-02,9.025037494848704711e-02,-2.702714493770756038e-02
-6.569931842966217350e-02,3.124419707693106354e-02,8.562120490281785457e-02
-6.787009644102918668e-03,1.646723466187889270e-02,1.922904343387371595e-02
-1.205036957318245810e-02,-1.004097004160722367e-01,-7.364225734957552567e-03
-3.076570758518003615e-02,-3.613530983218096130e-03,-8.036395383059193043e-02
-1.006708469206104781e-02,-4.190094545741492038e-03,-1.796474690761461213e-02
5.028330464044174913e-02,-6.629533899477552117e-02,4.180422136925306120e-02
-4.869784353209786337e-02,2.229813156958564721e-04,-6.054992821955506449e-02
-7.390844201298660265e-02,-1.500088689177610755e-02,-9.636890868786485154e-02
-3.741832486853255250e-03,1.163292721008254982e-02,7.177107487534655286e-03
-5.653440592338084686e-02,4.447277298421842967e-02,-9.444903372427074228e-02
1.053368352476569819e-02,5.432785875855926372e-02,4.251590009581099339e-03
-3.245458776986910598e-02,3.584446960763419676e-02,1.010838212143490115e-02
1.029574549391166702e-02,-6.923712344237701113e-03,-3.297846106078099193e-02
4.597986932840495561e-02,1.589309221037098208e-02,-4.688591021598662728e-02
6.536229836010717942e-02,3.046601442813650154e-02,3.512264735478800443e-02
-1.024836009252501866e-02,-3.283518282204085648e-02,1.516272402487208772e-02
5.039278168393439977e-02,7.161396646960638268e-02,-5.946374987743432983e-03
-6.891783106016372180e-03,-1.392049944942216726e-03,-4.902666672237435130e-02
-1.061021478670613055e-02,6.229372167613655975e-02,-3.462280035954844182e-02
4.978788440129069265e-02,-5.122026374377454394e-02,-4.793792085639878714e-02
2.564805764155383971e-02,-4.076056535829326172e-02,5.812897232559398331e-02
7.404243667288436248e-02,-7.727805235645222870e-02,-5.446291180508999047e-02
2.320964085581852382e-02,-8.705484357760974803e-03,2.767020377271671439e-02
6.538151810995378177e-02,4.719346557413790777e-02,7.699636129753224811e-02
1.557214279979040640e-02,3.555436417262670956e-02,-2.331399626734326214e-02
-3.499984305911642279e-02,-2.746801332746549602e-03,1.151111862111554515e-02
-1.603224403207460444e-02,-6.048453096196807974e-03,-2.110004436081922008e-02
2.953851520741730338e-02,-2.144826440369310139e-02,-6.033790571698419321e-03
2.448146156447150029e-02,-3.017305652667184174e-02,3.714327675974391061e-04
-1.395361444674248289e-02,-2.035680735104166664e-04,-3.211161235359799582e-02
-2.518500667218773539e-02,1.456479254839898423e-02,-1.161626992508824237e-02
1.425824354211521414e-02,4.867664749177179340e-02,-1.439940540869225766e-02
2.218655811298148386e-02,3.746314915666854126e-03,-1.249392897521747411e-02
-7.432521626746500798e-02,6.468509376551963980e-03,-5.922432881093449980e-02
-1.150772547244096472e-02,2.895685067644109337e-02,-4.059381689250805142e-02
2.653160218783665383e-02,-2.348038691994871682e-02,-1.086103601723001355e-02
4.211892969952055893e-02,-1.619805811904300591e-02,-1.506439271706046159e-03
3.108845045447913499e-02,6.252984115361540085e-02,-3.796298773084151590e-02
-9.500092323401360117e-02,5.959801416946517577e-02,-4.004272454483743734e-03
1.944822523104415557e-02,-3.556601272198564589e-02,-5.028165577316152934e-02
-1.051302178360388195e-01,-1.718090411223584593e-02,-2.484037397385060672e-02
8.515837961781305698e-03,3.344584182816874585e-02,1.427064607056196741e-02
1.734591183558203964e-02,-1.143505626159355658e-02,-4.235960196200925718e-03
-8.243099487217830923e-02,-2.214175760079009278e-02,-2.629367783645234977e-02
3.935835007553997733e-02,2.230678625852489105e-02,2.782498201234578222e-02
-9.010514565696172914e-03,-1.580714160710194188e-02,5.654812730676743449e-03
-3.175497932380814958e-02,3.727966951068310830e-02,-4.769989667273795420e-02
-3.464441969413126210e-02,6.630588307162138539e-02,-1.084492242374256703e-04
-6.710780054486902013e-02,4.324596813009200236e-02,1.562410081265622544e-02
1.120224936270022668e-02,-3.073904006968060376e-02,-2.064815157605387128e-02
-5.848881590288964628e-03,6.166883936545660555e-02,1.524855998087927501e-04
5.575872891973387979e-02,-3.534178508911658273e-02,-1.175372918843098444e-03
1.891292637530974860e-02,1.631423699092980628e-02,2.186004710687223379e-02
1.795789631389249630e-02,3.303344632851639567e-02,3.051654732580322358e-03
1.799477571401104925e-02,-3.371345834273498793e-02,-4.388362025888561252e-02
-2.755070714951168148e-02,1.605643994985220604e-02,6.165740012500468825e-03
7.340581941323888731e-04,2.042413703619219353e-02,2.710383208462690749e-02
-4.037048395314260518e-02,1.518757042194022328e-02,-1.977263883400424797e-03
7.172994649237951492e-02,-4.655226373729964839e-02,2.541947097408188416e-02
8.558578778604225210e-03,-7.350119917558975424e-02,1.028524873374605728e-02
8.972032449245850860e-02,3.204513042539555018e-02,-4.755631926053219272e-02
-3.095699044769139111e-02,-1.530194392126747391e-02,-6.022356799717190623e-02
-3.966414474078709673e-02,5.467480800551175954e-03,-8.304733896432442419e-02
2.976583635464847069e-02,1.621716601786861098e-02,-3.513765946002573443e-02
-4.144024782217468894e-02,-9.653472002188655254e-03,-6.400495085341065780e-03
4.588606805772464658e-03,-3.534384615452632744e-02,-5.145247189710643043e-02
7.522139272426969780e-02,7.059493854523543610e-02,-1.462824186591426059e-02
-3.481779979415215720e-02,-6.909124099145011466e-02,-6.868141401463531692e-02
-4.930304776891274859e-02,-4.019505909480367706e-02,4.216626849365733010e-02
1.580472590940502561e-02,-8.092096620569587048e-03,4.785003032050799687e-02
-6.087244236188301023e-03,9.440693712673986493e-02,-3.089397183019909274e-02
-1.045744145705778394e-01,5.964703833497415897e-02,-1.219447881815025753e-03
1.742154557024594777e-02,3.289230448850800209e-02,-1.458705886955813900e-02
-2.983090827667244163e-02,-1.794165095537894605e-02,-3.862057604374449782e-02
2.600856528372431226e-02,6.222033094668229236e-02,3.334022364051461573e-02
2.310813271992594176e-02,-2.384090974207890568e-02,1.643548931004443908e-02
1.953830255242100522e-02,-2.835345208294758751e-02,-7.026525615815081699e-03
-3.478764305702997800e-02,-2.207935395782640794e-02,1.026266846805928834e-02
-2.116921806380566914e-02,-2.252788478811959538e-02,1.098222883086440345e-02
-1.015553679112027735e-01,3.679379647276427578e-02,-2.117689890300451100e-02
-2.252777058845372663e-03,2.341177391622178972e-02,4.678801706067202415e-02
-3.501114397005570394e-02,-5.660796439355669785e-02,-5.380708211611103658e-02
5.191922338911716256e-02,9.859797290995080468e-03,2.182569638127326503e-02
3.306928036497402967e-02,6.801230924528869903e-02,1.354850523498982509e-02
1.941022663495429665e-02,-4.776020208449966581e-02,-3.820810877416803975e-02
3.789463838892540015e-02,-3.413404492364549569e-02,-2.074597541419066424e-02
1.914513189184821607e-02,-2.576271455863238594e-02,-3.486721189593570275e-02
2.298788504920300235e-02,5.067025972775760639e-02,2.996287674779007579e-02
3.569879182795944461e-02,-3.294965691751390070e-03,7.732026146075289368e-03
-2.159591785796908647e-03,3.300295134764349991e-02,3.737412740075280859e-03
-6.163512935734392212e-03,2.127965686649900545e-02,-9.120187675340720064e-04
7.051143796493156146e-02,8.267435761413307466e-03,1.434794111816421920e-02
2.503133257659230851e-02,6.173503447351155575e-03,-2.033655417169545968e-02
-7.849643870134354051e-02,1.911650075762311163e-02,3.809024837595877122e-02
6.806220343173176313e-02,4.791566889349950509e-02,-1.531592044607024000e-02
3.132330779402418830e-02,-4.115898716530843986e-03,3.890557276180085788e-02
-2.197406393153691906e-02,-1.145430414368508489e-02,-5.862577307177495138e-03
