accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.438798820629623530e-03,5.947401416709822627e-03,-9.788309290826459730e+00
4.251111464161442047e-03,-3.260258864949839869e-03,-9.795450909313382581e+00
7.413499345144678072e-03,3.369400504499458528e-03,-9.793285751368598469e+00
-2.227881783402629792e-03,-1.346507869247321083e-03,-9.794157511382266534e+00
4.072854201129154882e-03,4.182931024574822187e-03,-9.791700115123388670e+00
-5.297399401829203970e-03,3.360778289009551129e-03,-9.790995955066851053e+00
-1.145550806604669902e-02,6.904632841717644543e-04,-9.784535658489332377e+00
-9.225262094841075663e-03,-2.082679478699923058e-03,-9.792663499723552434e+00
5.341599715331026010e-03,1.296887752434482490e-04,-9.791461185988016069e+00
-2.974664809275702135e-03,-5.166298896288815459e-03,-9.789300329672748546e+00
-6.048368437535392612e-03,7.894545624601324862e-03,-9.797000247965716113e+00
2.902060197196497122e-03,6.762428223102389009e-03,-9.786930212136743634e+00
1.772001517531114363e-03,-2.105717261087775537e-03,-9.797385832167163855e+00
3.912878515279837738e-03,5.170103457455828971e-03,-9.791772319143010606e+00
2.122383185186590222e-04,-1.984887160657504510e-03,-9.792998483900495543e+00
2.295466345549853401e-03,9.287639389448496983e-04,-9.801882248329761183e+00
3.217451086375049986e-03,5.140650713768192201e-03,-9.798749626489843934e+00
3.237158305108843968e-03,1.140238122473130784e-02,-9.797383126926497710e+00
2.998342779706034741e-03,-3.015916560344697288e-04,-9.789401237928041510e+00
6.065915957562210796e-03,8.647554299167773892e-03,-9.796381507099638952e+00
-5.376520426176479173e-04,-5.128594397568186913e-04,-9.797496076899403050e+00
1.339553650289575714e-03,-1.000315264797202496e-03,-9.797400826363434234e+00
1.188968315892406993e-02,-3.588683745550955238e-03,-9.785889629334011630e+00
1.117912141852211386e-03,4.563458447145760793e-03,-9.795466268824142730e+00
-4.800877964990938988e-03,6.227387716401779939e-03,-9.793260466313041590e+00
-7.198563351593821602e-03,5.380301415537334670e-04,-9.795226045060726250e+00
7.771737591157380776e-04,1.150801596597456674e-03,-9.793005072972485792e+00
1.748340083042420191e-04,2.627972755107908613e-03,-9.793218770882576862e+00
7.909116458445768650e-04,3.404226147786139443e-03,-9.790840530628642568e+00
1.724133271792416353e-03,1.273694666840433044e-03,-9.789764698286024469e+00
-3.902820031541825562e-03,-7.215878176854079347e-03,-9.801932772393024962e+00
3.625130031200901517e-03,1.198331813964988168e-02,-9.800568624589041988e+00
5.441355595222195467e-03,2.074825956707594850e-03,-9.787830391553459464e+00
-1.208208010697734043e-02,-2.079479269145705252e-03,-9.800125054964377469e+00
1.145720629615471116e-02,-1.058477574043053225e-02,-9.785031068870521764e+00
1.096265808044926239e-03,-1.975572776012553787e-03,-9.795348711231874006e+00
3.201113982351703243e-03,-2.820985498136706609e-03,-9.783657091625901359e+00
-6.453852998580572771e-04,1.834793339241000453e-03,-9.796685198712788534e+00
4.954912695147994407e-03,2.135876431696273874e-03,-9.794532884524825178e+00
-3.697154546561332022e-03,1.982178682768599330e-04,-9.787297052338603365e+00
-2.019428744969978696e-03,-5.362139591929936631e-03,-9.796332243938094209e+00
4.057946182008060308e-03,1.932815691460722067e-03,-9.797455442975513407e+00
-1.618762706759475098e-03,-3.323629343191181022e-03,-9.793496839362497042e+00
-1.085673949282420355e-03,8.353606050195582682e-04,-9.796966035214426327e+00
1.477116088521443320e-03,-8.545900566968299070e-03,-9.791821207401572025e+00
-2.591673616803243964e-03,5.648498338715918221e-03,-9.797252892106831368e+00
-1.375391496500505536e-03,-2.423185645788156900e-03,-9.788342075447701518e+00
-4.931418237573545818e-03,4.714041658802702039e-03,-9.790208515329499761e+00
-4.676000543791834947e-03,-4.306819275388021990e-04,-9.793001368260114248e+00
-1.354021786686039446e-02,-3.116653319015916159e-03,-9.794188321900314520e+00
1.765774315234877167e-03,-6.424921702305196741e-03,-9.787918650151771871e+00
-4.305718993617860778e-03,1.079423020156821886e-03,-9.793675061821332406e+00
-1.536058134998685492e-03,-2.946961545984349640e-04,-9.792600222052925574e+00
-3.980326445946176864e-03,7.863389693533331601e-03,-9.789851569667494147e+00
2.808821997441216835e-03,1.347216325938153567e-04,-9.796439428710819186e+00
3.414622073061273147e-03,-6.733100259311962203e-03,-9.799963390230489679e+00
-3.470373530444959779e-03,-3.354294447360116251e-04,-9.796693503137264614e+00
-3.700153687500058481e-03,-6.422270530807534100e-03,-9.793972232426950697e+00
-1.770404104129469328e-05,5.098246496124334178e-03,-9.797234021950332661e+00
-1.013411493311185824e-02,-2.854303362063346193e-03,-9.796307604277538772e+00
-8.183420960423209989e-03,2.741663439469039804e-03,-9.791141066189512188e+00
1.450471897413063834e-03,1.054382654665914770e-03,-9.789360232521495675e+00
5.326943132303033274e-05,2.553350978037326711e-03,-9.796244462433786993e+00
-2.487682581744156060e-03,1.381983998012373954e-03,-9.788347633662660030e+00
1.109488672129607233e-03,-5.801035671062829829e-03,-9.789826256396713333e+00
1.461804331459053054e-03,-1.399061365938799228e-04,-9.792020115205630759e+00
2.531851184465028215e-03,4.188053345855013640e-03,-9.794192871746972173e+00
-1.149322884036800942e-03,1.588006077858366985e-03,-9.793183089134975816e+00
7.258428597349004391e-04,-7.568141374358782272e-03,-9.803893607293309387e+00
-2.816424741866775140e-03,-1.297579662300854661e-03,-9.791968858548901977e+00
-9.592947615240919081e-05,2.147180344374811489e-03,-9.796181260617336406e+00
-2.150620394429727383e-03,-3.552307324857170451e-03,-9.793196240180693124e+00
5.107488981496452127e-03,-4.440625237690166071e-04,-9.802698066476073890e+00
-1.128770188762667250e-03,3.376052614039174588e-03,-9.788030944782958542e+00
2.273755903414045529e-03,1.805998122993723127e-03,-9.802844980432112720e+00
1.111430737106153949e-03,3.246865794675747770e-03,-9.795933451764145872e+00
-9.087952854193706922e-03,7.551609263183535654e-04,-9.789266304758763582e+00
2.122428872387276556e-03,-3.242715183620651417e-03,-9.790932478356987545e+00
-4.332581350999407770e-03,-5.102079719563069535e-03,-9.799754264857307717e+00
1.005697655280017415e-02,-4.168385051868931171e-03,-9.785756140550116555e+00
-4.696071423520247964e-03,5.968745958996831726e-04,-9.803186662796148809e+00
1.963120467098238616e-03,-2.202102702482782066e-03,-9.796086206330086199e+00
2.004854001063625241e-03,-4.030451103815871588e-04,-9.795922354623323614e+00
-8.780318049799814076e-03,4.823183978045363432e-03,-9.795801521112410981e+00
-6.084613968546314332e-03,-2.727750713418297234e-03,-9.792083811798722337e+00
-7.777971993265747706e-04,4.790366523611581939e-03,-9.800838449320275814e+00
3.572447591371369705e-03,-6.610098287550440939e-03,-9.789926784643718349e+00
2.521831636136206631e-03,3.122298366684934934e-03,-9.800538422671873917e+00
2.531958924098360285e-03,2.492605949885163315e-03,-9.793252606959796935e+00
8.071569286732921920e-04,5.777763709456437170e-03,-9.791477212171097122e+00
-1.788377045451557080e-03,-7.395650503146652954e-03,-9.792028593177748874e+00
-1.935886101869985915e-03,3.012013148693018418e-03,-9.803844502077751599e+00
2.167835319481333650e-03,2.355626805414642790e-04,-9.800756411882765917e+00
-6.777243517854162833e-03,3.178980010501098775e-03,-9.791747472277720021e+00
-2.349480019600941241e-03,-1.679427841361388375e-03,-9.794306281959244131e+00
1.709637103457770308e-03,3.972280160730432995e-04,-9.794176096272490639e+00
-7.762650040197079451e-03,8.615770447405697585e-03,-9.800433450017946413e+00
2.991078566176321417e-03,-2.537318427305676732e-03,-9.798752588292970245e+00
-5.815691736320516281e-03,-2.000191908282417282e-03,-9.794708527036506851e+00
-1.832520968018426727e-03,4.905797806986784623e-03,-9.789395374291835594e+00
