gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
8.545803709952051741e-02,-4.958304439633394976e-03,-3.752392390249966597e-02
-2.839114495930041004e-02,7.165909759103868126e-02,9.097723032024851442e-02
6.918044992929808790e-02,1.741382853378523748e-02,1.871324181755198990e-02
-5.874257374824374406e-02,2.092482426492521877e-02,-4.668476027156548414e-02
-1.996907917736118199e-02,-4.196203827713114454e-02,-4.832066069226660654e-02
1.260065311480316162e-02,-2.018809249167989595e-02,-3.719679303124032166e-02
6.794939676702321796e-02,-4.258725809790039202e-02,-5.488599683612006841e-02
-3.501891885373908941e-02,-2.567737030463840622e-02,1.931957861557867875e-02
6.195034474105739347e-02,-2.330084878385556627e-02,1.995670630093440701e-02
-1.684348255744234912e-02,3.636767521032692463e-02,-4.830000361658684516e-02
1.043022473448910747e-01,-4.016529367066638497e-04,2.421373903407636127e-03
-5.019655997244564655e-02,4.264563867079380899e-02,5.882696060579275729e-03
2.457627087906742031e-02,-1.623766862052366741e-02,-8.705486503193683723e-02
4.308345584460321169e-03,1.758808656994043790e-02,-3.216625268157775885e-02
8.058313535365532743e-02,2.359717907038954079e-02,4.591756512270179190e-03
1.386108695588076332e-02,-1.726594440401886532e-02,2.736689210722900722e-02
1.944828196388563926e-02,-6.307174467152408537e-02,-7.800531699207457863e-03
-2.691271886298270480e-02,-3.408864938345278900e-02,-2.117876027502990297e-02
-2.676847443530851536e-02,4.242113755988582285e-02,-1.152040200935611474e-03
-8.430171429166506344e-03,-5.040273884362633794e-02,2.492095303753703167e-02
-3.815123585277577223e-02,-3.269462598744517223e-02,9.299594814190396963e-03
-1.081182649577281940e-01,1.867473310298766939e-02,2.993900672882571223e-02
6.227324938439250668e-02,-4.671825175401193853e-02,-1.207313748980390171e-02
-9.768405559101576985e-02,1.301215939924620221e-03,2.414674772755535589e-02
-2.075677256086997519e-02,-4.265093292773392691e-02,-4.046027664162189785e-02
-1.958891629146630037e-02,-7.642322944727327622e-03,3.762902453080863713e-02
4.392746235708951813e-02,5.006494401943820810e-02,3.030802813652947250e-02
2.634452759538942479e-02,-5.565819685949373319e-02,2.083064004304951977e-02
5.459500242480977428e-02,-3.327205906063451443e-03,2.790149058434316428e-03
5.687745061325348572e-02,2.811078437930819053e-03,-4.458349508945809447e-02
-2.221350346884967339e-02,-5.183162526701192568e-02,-7.833160887224380198e-02
1.952414174495289284e-02,-2.112708532725935447e-03,-1.803455284573660805e-02
-1.309036160099501592e-02,7.662541906375308631e-02,1.381347405332196757e-02
1.451002489713981367e-02,1.560893999990139482e-02,-7.908837144242812645e-02
3.243262115847848903e-02,6.865197694362891456e-02,-4.027643820246902540e-02
-3.823416638774342763e-02,-1.278698776721125252e-02,-9.899889948040480059e-02
3.724043790275314431e-02,3.346472498170557919e-02,2.127045799227538295e-02
-5.428925326340978963e-02,3.663761486882138180e-02,8.302993136617449477e-02
-1.674814792620159124e-03,-3.541607379001727313e-02,-7.786178552412763298e-02
2.933604432900595652e-02,2.223695660622651993e-03,1.415192342432667651e-02
4.444944758323858547e-02,-3.760472191570595618e-02,-5.916455048579673942e-02
2.899365644986861765e-02,-7.054900910124653479e-02,3.652057933571221937e-02
4.539839549141287678e-02,8.859288320818248241e-02,8.637549348009782024e-03
4.108491184197769763e-02,-1.985978706909921274e-02,-3.215077037959612055e-02
1.496558266454575681e-02,-2.637305607914703157e-02,3.206309414052991441e-02
2.909108952958016411e-03,-2.624224773441340836e-02,4.863866326582510363e-02
-8.340716445012864855e-03,-8.284726680241516830e-03,4.618064687854923217e-02
-3.490992771260279653e-02,7.981073147205140772e-02,-1.863413228236515673e-02
-4.670916248622982575e-02,-4.190179565983013533e-03,3.400874898841831084e-02
4.343525356601370124e-02,-8.398433250735453520e-03,-1.887554141001310595e-02
-3.893722146037049275e-02,3.861834384066881783e-03,1.698005054937381034e-02
-6.239734082072150717e-02,2.233611012639424853e-02,-4.116158294822461206e-02
2.689008865663752162e-03,-1.582333751713366037e-03,3.622118690726516821e-02
3.920190624184223538e-02,3.199300573449398400e-04,-8.793899139959331437e-03
-2.499523484389995151e-03,8.533535161264135804e-02,4.489653425928046872e-03
-7.379488500766086603e-03,-7.625266567402447238e-02,3.703522395046527499e-02
-2.974166893230578701e-02,-1.693739579535519582e-02,-4.065756370536517499e-03
2.569046210809872513e-02,2.227024661000077607e-02,1.911987040584498670e-02
-4.152143248364177641e-02,6.299309057784172050e-02,-4.785110319891484887e-02
-1.764196292886849315e-02,-3.772212921567320160e-02,8.392052616829820400e-03
1.845055189621608999e-02,-2.572698085100259824e-02,1.611166596270423995e-02
1.847753822043343708e-02,-3.346645941633051569e-03,8.987772883962068249e-02
1.672871607580395104e-03,-2.471836524791696035e-02,-2.930885679168597491e-02
-4.929565015750915491e-02,1.189993761392263080e-02,-5.583459013922282416e-04
3.422341188584088201e-02,-4.697782255841741195e-02,2.399190528215685431e-03
-3.813376497977035567e-02,5.574697138490739001e-02,3.690983331381448435e-02
1.868014209991500363e-02,-2.737556795235531262e-02,1.541927026812796829e-02
-5.189962834862367480e-02,3.521354702927855657e-02,8.639946474684363775e-03
