q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999844338960e-01,4.602100302272424417e-06,3.086820904823968504e-06,-6.515546124502416689e-07
9.999999999767961167e-01,6.313714915515554441e-06,-2.354776208811951359e-06,-9.998747187786023543e-07
9.999999999912901893e-01,2.728712027263406840e-06,-3.082993459541607744e-06,-6.848360736713189060e-07
9.999999999828919073e-01,5.053280582048072128e-06,-2.105233751033156165e-06,-2.061168451826475318e-06
9.999999999640105663e-01,-6.558521820591025847e-07,-5.445542892488972584e-06,-6.472619928020227944e-06
9.999999999756389313e-01,-6.183020552029201399e-06,1.373417282843199765e-06,-2.933586523975141691e-06
9.999999998983523097e-01,-1.271481504479516631e-05,-6.073161932998121723e-06,-2.178413391195273442e-06
9.999999998983736260e-01,-9.426138941489568913e-06,-9.385471499553370249e-06,-5.129688194323561865e-06
9.999999999012518792e-01,-1.005619747180012701e-05,-7.872329157001329620e-06,-5.864773767636911574e-06
9.999999999271372841e-01,-9.201298069648704400e-06,-6.864111941695827474e-06,-3.734383275739049568e-06
9.999999999485873481e-01,-6.848211754896475954e-06,-7.419249260491914823e-06,-9.392733189503888982e-07
9.999999998841860860e-01,-1.065095412191588411e-05,-1.010456132279388659e-05,4.010344091959028828e-06
9.999999999210700263e-01,-5.432607765397622238e-06,-1.131612370524413933e-05,5.403429467745166294e-07
9.999999999579497478e-01,-5.395603103525077829e-06,-6.929255288741404866e-06,-2.640727191630426755e-06
9.999999999725638355e-01,8.397377009715988255e-07,-6.340780917426387541e-06,-3.736523498234801808e-06
9.999999999668552908e-01,3.668834962959276788e-07,-7.497643641095720045e-06,-3.152817330973755098e-06
9.999999999594196831e-01,3.182389233170117701e-06,-8.300937449660763850e-06,-1.458560947802190811e-06
9.999999999023384545e-01,4.326844926325611681e-06,-1.328879448171919485e-05,9.813645985063000187e-08
9.999999998616315722e-01,4.077305866486112009e-06,-1.575870836795957648e-05,3.431532011741700442e-06
9.999999998730451090e-01,6.450615981543421578e-06,-1.457032620654586154e-05,6.931167370146776491e-08
9.999999998942227242e-01,6.947168190180613863e-06,-1.162674701877745352e-05,-5.301896635023770899e-06
9.999999998524197187e-01,1.211614361816384705e-05,-1.203233912870533835e-05,-1.892741134917259421e-06
9.999999997748226788e-01,1.400343994822438084e-05,-1.587701567323657057e-05,1.476033650775995068e-06
9.999999997097297477e-01,1.618607792490574915e-05,-1.622534376451623041e-05,7.435680922530498275e-06
9.999999995005562914e-01,2.255814789736742474e-05,-2.102085596188709888e-05,6.938375254095894875e-06
9.999999995892868698e-01,2.247817913572042482e-05,-1.647878382880936781e-05,6.678890830129251827e-06
9.999999996560704485e-01,2.266890258477073812e-05,-1.295964480240007322e-05,2.455135255240437601e-06
9.999999996896518084e-01,2.172463786418950800e-05,-1.126307372549922013e-05,-4.677553504752076119e-06
9.999999995229584826e-01,2.777562329985970414e-05,-1.335189409478685801e-05,2.079564034331179020e-06
9.999999995884972792e-01,2.759325862638106508e-05,-7.598655689306081571e-06,-1.969302967319100818e-06
9.999999995725546986e-01,2.698861176746153158e-05,-1.119812553394595175e-05,1.052345865142839936e-06
9.999999995856192481e-01,2.109071979812966928e-05,-1.910820803228407090e-05,-4.338149518009796224e-06
9.999999995045824042e-01,2.153024594251402038e-05,-2.081574675824858725e-05,-9.694769607269852296e-06
9.999999995169784883e-01,1.789969481713064219e-05,-2.374162001059940561e-05,-9.054251691489051474e-06
9.999999993911975471e-01,1.813008250475523948e-05,-2.828827029482353528e-05,-9.416952283247461970e-06
9.999999993732867631e-01,1.922783431689676259e-05,-2.900620827693636036e-05,-6.508217375905001163e-06
9.999999993924865160e-01,1.997209650119104540e-05,-2.791945974819484488e-05,-6.053592512471107753e-06
9.999999994226425049e-01,1.272118739608353172e-05,-3.132219054654535533e-05,-3.436085435049607983e-06
9.999999994152491967e-01,1.725224222632848979e-05,-2.899008233236133190e-05,-5.606857914774616777e-06
9.999999993139231380e-01,1.482180329510946959e-05,-3.352250742284535465e-05,-5.358121348307868880e-06
9.999999993491701655e-01,2.238019641901617268e-05,-2.823272512918192310e-05,-1.923459076509095259e-06
9.999999993810358978e-01,2.115312680950059575e-05,-2.768676644788576832e-05,-4.890439708407684000e-06
9.999999995963387844e-01,2.115454279048391338e-05,-1.892054105672894576e-05,1.349467298926217523e-06
9.999999996460070539e-01,2.028791696309767390e-05,-1.715077712995494803e-05,1.495675280344072659e-06
9.999999996722280793e-01,2.180252498076969421e-05,-1.330141419531365054e-05,1.807197186556310268e-06
9.999999996255823920e-01,2.575988252046925854e-05,-9.117064878525003085e-06,-1.463761731228382164e-06
9.999999998649543587e-01,1.636748421842111823e-05,-4.538522118157748152e-07,1.410921377865288892e-06
9.999999998645994204e-01,1.644468278725877682e-05,-3.279168936614046641e-07,5.157581626958826281e-07
9.999999998365732834e-01,1.807704208855375212e-05,2.432800668893083284e-07,1.213160039113155847e-07
9.999999998489851327e-01,1.559439671985144492e-05,5.929250006679933934e-06,-4.867064768670026406e-06
9.999999998564761405e-01,1.625639031621612038e-05,3.423774792488075820e-06,-3.324921366235537339e-06
9.999999998314219596e-01,1.538995554475045311e-05,9.913824254857584386e-06,1.421784789972264728e-06
9.999999998346656982e-01,1.471740083882147519e-05,8.427239261495989017e-06,6.561111387532588557e-06
9.999999999079569601e-01,1.186586090504369433e-05,6.353759470445474733e-06,1.707954174041032385e-06
9.999999999208515344e-01,8.587491761471868098e-06,6.890444166441018334e-06,6.088811367275848443e-06
9.999999997707299526e-01,8.363804786101346295e-06,1.206024647806086651e-05,1.559286077886166041e-05
9.999999998787504341e-01,4.061012533629220327e-06,9.017249924314428878e-06,1.202898686305011961e-05
9.999999999160238406e-01,7.534281765282189703e-06,7.016167056180510960e-06,7.871502651905104174e-06
9.999999999356840030e-01,9.974189450601495668e-06,4.560582244496929216e-06,2.889388511316746024e-06
9.999999999367662484e-01,1.043359681813037747e-05,3.466667946799539988e-06,2.364277279809094151e-06
9.999999999634776593e-01,4.535210515019964069e-06,2.225716828962484156e-06,6.893694614280858237e-06
9.999999999528367267e-01,9.323861347799967001e-06,2.535316451211763489e-06,9.820309869735049615e-07
9.999999999500035486e-01,8.142543645097076964e-06,5.328358761279206095e-06,2.302279076643025780e-06
9.999999999316226962e-01,1.025658818099063392e-05,-4.625365940862805033e-06,3.187963073219988430e-06
9.999999999046748078e-01,1.150730046590720217e-05,-4.373388501690856195e-06,6.253464633134404077e-06
9.999999998335941109e-01,1.328564090108059639e-05,-6.267762214049021914e-06,1.081752726027048682e-05
9.999999998822608482e-01,9.277609304035322745e-06,-9.274679399565451907e-06,7.961448234069370275e-06
9.999999999128424966e-01,6.917138901832098693e-06,-9.708670910502278296e-06,5.675390042684693994e-06
9.999999999364609371e-01,8.691809085470489715e-06,-2.533628712556779052e-06,6.716489004236869705e-06
