accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-2.348218318253695973e-03,-4.753089212670706838e-03,-9.791390748335627947e+00
-2.463756894406895007e-03,-1.060110942154199667e-02,-9.792883848312767370e+00
9.418035623272639177e-06,-9.155908981164717977e-03,-9.785052548929787264e+00
-7.928313250340247864e-03,-3.630729062715190320e-03,-9.801385227977164050e+00
-3.040227744481985555e-03,-2.267369565283732999e-03,-9.787937541151096710e+00
-7.896008721251708898e-03,-7.563102498590487622e-04,-9.798689054248631791e+00
2.130615549089312413e-03,3.651354926521524318e-03,-9.792247450235056050e+00
-8.051975176714312732e-03,-2.512199673635814347e-03,-9.795145902124748005e+00
6.582244842715865955e-04,3.767489021485960748e-03,-9.793682292205279083e+00
8.431164747379456606e-03,-2.897613824680330265e-04,-9.795865399348565816e+00
-5.218882295877339331e-03,5.457875573196852882e-03,-9.787776947332870847e+00
-2.237499949624955492e-03,6.859086950718556314e-03,-9.799003283159040123e+00
-1.862023612589890683e-03,1.603656536328182565e-03,-9.794638471309115246e+00
9.503409918436603668e-03,-1.946902177765853174e-03,-9.795692844584815262e+00
7.392193443519279924e-04,7.547851236309592073e-03,-9.794042209909118668e+00
1.072301794110171527e-02,-1.823108473151052126e-03,-9.793484799911732708e+00
-4.278090794858108170e-03,1.431610386093854414e-03,-9.784798144179811530e+00
-9.121837832869125057e-03,6.143214159722978039e-03,-9.793108340478966056e+00
1.665048803952011219e-03,-1.282362662330458923e-03,-9.802524728213672489e+00
4.846957463236655460e-03,-9.819510002178724259e-03,-9.798337499271189799e+00
-3.428400073365351838e-03,-5.159509552485380852e-03,-9.804590387683079555e+00
1.095089520010445990e-03,-8.253479342551366430e-05,-9.789451896451803137e+00
9.353268825022591562e-03,-1.019076208703117471e-02,-9.788887123858240003e+00
5.391313369699776877e-03,-5.133154796037093896e-03,-9.793619628582144188e+00
8.401819760203329526e-05,-3.454535219312492543e-03,-9.786819756239191648e+00
2.246259087694818871e-03,-1.022706734534482680e-02,-9.802440292413274747e+00
-1.558416095895241585e-03,7.100555404088227003e-03,-9.793257955320635588e+00
3.664541065216335696e-03,-3.057060507345675244e-04,-9.796347142384453477e+00
2.607190825095714523e-03,-3.498376008293558638e-04,-9.795585039770370983e+00
2.484364501029607750e-03,-7.488235657899964745e-03,-9.800079083874786434e+00
-1.119374326170227522e-02,1.635919504464770522e-03,-9.792298167985718393e+00
1.061662745502467593e-03,5.295774172688868034e-04,-9.787770017603047989e+00
1.433572639470881774e-03,-6.163419479353945268e-04,-9.789424014482513314e+00
2.598008662916562205e-04,5.116227465512160170e-03,-9.787891319960275283e+00
7.803593367213867982e-03,5.996803242566532167e-03,-9.792981495366806399e+00
6.246578611798250108e-03,2.553926926606061611e-03,-9.792397695013036696e+00
-1.122057202219170101e-03,3.508449388962838790e-03,-9.795720261927902683e+00
-3.564809255966728228e-03,-1.916510870258920224e-03,-9.798564963447516263e+00
-8.258714322650682546e-03,1.821498976086229375e-03,-9.799179358947439411e+00
8.975567349095860126e-03,2.393234517627561633e-03,-9.793353007976778102e+00
6.028223307092990015e-03,-5.404509246420267053e-03,-9.791086758488644293e+00
4.131030790459961320e-03,6.386647318913493340e-03,-9.798226464501277988e+00
-4.642442160762721049e-04,7.539823619738228802e-03,-9.792508672323826602e+00
1.627225697774533622e-03,-3.175179024328790046e-03,-9.803709137335660628e+00
-9.213185026916834901e-04,-8.335559375921980374e-03,-9.802752578661745986e+00
9.582036223160407193e-03,1.629203156033321971e-03,-9.791111289216120284e+00
-1.248540711247144103e-03,-3.036691573855356300e-05,-9.790069439089757353e+00
-3.675455761757461578e-03,-2.013817213250081867e-03,-9.794723779579920020e+00
5.364701065509966957e-04,-2.695002959884509278e-03,-9.798848190415263559e+00
1.503198777406216735e-03,-6.185447561158933724e-03,-9.792198167994483171e+00
-2.079520762542124996e-03,2.275170290245687697e-03,-9.797569984948619748e+00
-4.738935862600092593e-04,-6.357286467191147067e-03,-9.793523060750265685e+00
3.002822857848618139e-03,-5.366778285931782591e-03,-9.797161649345326850e+00
3.037135915713269803e-03,6.023908142417400483e-03,-9.787124952828435198e+00
-6.662368577486026990e-03,5.304279281584288290e-03,-9.792797467306067816e+00
-4.080192044368920710e-03,-2.347536659614790199e-03,-9.792731847080034413e+00
6.962749782889093896e-04,-6.141281577696903506e-03,-9.790100166320176100e+00
