accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-4.625452245062109877e-03,-1.680659160536320060e-03,-9.795877988740627984e+00
-4.513395813739912166e-03,3.977912397435856041e-03,-9.793390526342124147e+00
-1.315299272461742039e-02,9.110978748011042475e-03,-9.794421783053300246e+00
-9.165577258959528573e-04,-6.343132076453223333e-04,-9.796480833280448053e+00
6.813309169828703216e-03,1.170315876895670990e-03,-9.791974706069195733e+00
-4.775037201009500049e-03,-7.885553820708334632e-03,-9.789119125919269138e+00
2.654316672079701234e-03,7.488128787189862051e-03,-9.791425592942058387e+00
4.068122051697856470e-03,1.484373017609359920e-03,-9.792489686351418143e+00
-2.350593315508609036e-03,7.325982072873648068e-03,-9.802639106189504403e+00
2.752542795195182888e-03,3.534929835911040062e-03,-9.792195772639919582e+00
-6.928106384147463687e-03,7.979801627598160849e-03,-9.787374214111444815e+00
4.634231401267752256e-04,-1.494508840757270956e-03,-9.808624850063841549e+00
-1.926579196002948342e-03,-3.985341765883203095e-03,-9.785394702387275601e+00
-9.510553795951122436e-03,3.046704759881318798e-03,-9.794512370362520315e+00
1.992595116907668225e-03,8.840151010361976119e-03,-9.792844419220445573e+00
1.718994341224181453e-03,3.645319659076732589e-03,-9.798868291978894973e+00
-9.123655938532523879e-03,-1.803258275548010048e-03,-9.791907240553118896e+00
9.131618957652460136e-03,2.118657898645182926e-03,-9.798508815132272787e+00
6.284843542021759100e-03,1.001982008312172785e-03,-9.791352902800211311e+00
3.479890503709798396e-04,-3.820280760453640713e-03,-9.796368710886824260e+00
6.205756659203263796e-03,6.696762916871766211e-03,-9.799195313000078400e+00
-6.062163767527682656e-03,4.548868782450814392e-03,-9.800399599912116955e+00
-7.017956109828266814e-03,2.794835470142894521e-03,-9.799335250891168414e+00
-2.678519858857000575e-03,3.054958486990463126e-03,-9.804022446816714975e+00
4.568027318881370856e-04,-1.236729544051454492e-03,-9.790928324747916633e+00
-4.525966396064094038e-03,2.467852507316230671e-03,-9.801252395224526737e+00
7.136310010025281696e-03,-1.130587388401428292e-02,-9.802724861952244240e+00
-6.164904714511673482e-03,-4.896163775762816216e-03,-9.792456754945094488e+00
1.428569343831594899e-03,-3.063793159521198753e-03,-9.800542570740176984e+00
1.381475903665046936e-03,-2.985854619798916643e-03,-9.791531492993247099e+00
