ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.502286739005279906e-04,-9.794033565028641419e+00
0.000000000000000000e+00,-1.502286746877087224e-04,-9.794033565172508560e+00
0.000000000000000000e+00,-1.502286754748894000e-04,-9.794033565316372147e+00
0.000000000000000000e+00,-1.502286762620701319e-04,-9.794033565460235735e+00
0.000000000000000000e+00,-1.502286770492508366e-04,-9.794033565604102876e+00
0.000000000000000000e+00,-1.502286778364315414e-04,-9.794033565747968240e+00
0.000000000000000000e+00,-1.502286786236122732e-04,-9.794033565891830051e+00
0.000000000000000000e+00,-1.502286794107929779e-04,-9.794033566035697191e+00
0.000000000000000000e+00,-1.502286801979736284e-04,-9.794033566179560779e+00
0.000000000000000000e+00,-1.502286809851543874e-04,-9.794033566323426143e+00
0.000000000000000000e+00,-1.502286817723350921e-04,-9.794033566467291507e+00
0.000000000000000000e+00,-1.502286825595157698e-04,-9.794033566611155095e+00
0.000000000000000000e+00,-1.502286833466964745e-04,-9.794033566755022235e+00
0.000000000000000000e+00,-1.502286841338771792e-04,-9.794033566898885823e+00
0.000000000000000000e+00,-1.502286849210578298e-04,-9.794033567042751187e+00
0.000000000000000000e+00,-1.502286857082385345e-04,-9.794033567186616551e+00
0.000000000000000000e+00,-1.502286864954192663e-04,-9.794033567330481915e+00
0.000000000000000000e+00,-1.502286872825998897e-04,-9.794033567474347279e+00
0.000000000000000000e+00,-1.502286880697805945e-04,-9.794033567618212643e+00
0.000000000000000000e+00,-1.502286888569612992e-04,-9.794033567762079784e+00
0.000000000000000000e+00,-1.502286896441419768e-04,-9.794033567905945148e+00
0.000000000000000000e+00,-1.502286904313226545e-04,-9.794033568049808736e+00
0.000000000000000000e+00,-1.502286912185033321e-04,-9.794033568193674100e+00
0.000000000000000000e+00,-1.502286920056840097e-04,-9.794033568337539464e+00
0.000000000000000000e+00,-1.502286927928647145e-04,-9.794033568481404828e+00
0.000000000000000000e+00,-1.502286935800453379e-04,-9.794033568625268416e+00
0.000000000000000000e+00,-1.502286943672260426e-04,-9.794033568769135556e+00
0.000000000000000000e+00,-1.502286951544067202e-04,-9.794033568912999144e+00
0.000000000000000000e+00,-1.502286959415873708e-04,-9.794033569056864508e+00
0.000000000000000000e+00,-1.502286967287680755e-04,-9.794033569200729872e+00
0.000000000000000000e+00,-1.502286975159487531e-04,-9.794033569344593460e+00
0.000000000000000000e+00,-1.502286983031293766e-04,-9.794033569488460600e+00
0.000000000000000000e+00,-1.502286990903100542e-04,-9.794033569632324188e+00
0.000000000000000000e+00,-1.502286998774907318e-04,-9.794033569776187775e+00
0.000000000000000000e+00,-1.502287006646713823e-04,-9.794033569920056692e+00
0.000000000000000000e+00,-1.502287014518520600e-04,-9.794033570063920280e+00
0.000000000000000000e+00,-1.502287022390326834e-04,-9.794033570207785644e+00
0.000000000000000000e+00,-1.502287030262133610e-04,-9.794033570351651008e+00
0.000000000000000000e+00,-1.502287038133940386e-04,-9.794033570495516372e+00
0.000000000000000000e+00,-1.502287046005746892e-04,-9.794033570639383512e+00
0.000000000000000000e+00,-1.502287053877553397e-04,-9.794033570783248877e+00
0.000000000000000000e+00,-1.502287061749359902e-04,-9.794033570927112464e+00
0.000000000000000000e+00,-1.502287069621166407e-04,-9.794033571070979605e+00
0.000000000000000000e+00,-1.502287077492973184e-04,-9.794033571214843192e+00
0.000000000000000000e+00,-1.502287085364779418e-04,-9.794033571358708556e+00
0.000000000000000000e+00,-1.502287093236585923e-04,-9.794033571502573920e+00
0.000000000000000000e+00,-1.502287101108392157e-04,-9.794033571646439285e+00
0.000000000000000000e+00,-1.502287108980198663e-04,-9.794033571790302872e+00
0.000000000000000000e+00,-1.502287116852005168e-04,-9.794033571934168236e+00
0.000000000000000000e+00,-1.502287124723811402e-04,-9.794033572078033600e+00
0.000000000000000000e+00,-1.502287132595617907e-04,-9.794033572221898964e+00
0.000000000000000000e+00,-1.502287140467424413e-04,-9.794033572365764329e+00
0.000000000000000000e+00,-1.502287148339230647e-04,-9.794033572509629693e+00
0.000000000000000000e+00,-1.502287156211036881e-04,-9.794033572653495057e+00
0.000000000000000000e+00,-1.502287164082843115e-04,-9.794033572797360421e+00
0.000000000000000000e+00,-1.502287171954649620e-04,-9.794033572941222232e+00
0.000000000000000000e+00,-1.502287179826456126e-04,-9.794033573085089373e+00
0.000000000000000000e+00,-1.502287187698262089e-04,-9.794033573228952960e+00
0.000000000000000000e+00,-1.502287195570068594e-04,-9.794033573372820101e+00
0.000000000000000000e+00,-1.502287203441874557e-04,-9.794033573516685465e+00
0.000000000000000000e+00,-1.502287211313681062e-04,-9.794033573660550829e+00
0.000000000000000000e+00,-1.502287219185487026e-04,-9.794033573804416193e+00
0.000000000000000000e+00,-1.502287227057293531e-04,-9.794033573948279781e+00
0.000000000000000000e+00,-1.502287234929099765e-04,-9.794033574092145145e+00
0.000000000000000000e+00,-1.502287242800905728e-04,-9.794033574236012285e+00
0.000000000000000000e+00,-1.502287250672712233e-04,-9.794033574379875873e+00
0.000000000000000000e+00,-1.502287258544517925e-04,-9.794033574523743013e+00
0.000000000000000000e+00,-1.502287266416324431e-04,-9.794033574667606601e+00
0.000000000000000000e+00,-1.502287274288130394e-04,-9.794033574811471965e+00
0.000000000000000000e+00,-1.502287282159936357e-04,-9.794033574955337329e+00
0.000000000000000000e+00,-1.502287290031742591e-04,-9.794033575099202693e+00
0.000000000000000000e+00,-1.502287297903548554e-04,-9.794033575243069834e+00
0.000000000000000000e+00,-1.502287305775354789e-04,-9.794033575386933421e+00
0.000000000000000000e+00,-1.502287313647160752e-04,-9.794033575530798785e+00
0.000000000000000000e+00,-1.502287321518966715e-04,-9.794033575674664149e+00
0.000000000000000000e+00,-1.502287329390772678e-04,-9.794033575818529513e+00
0.000000000000000000e+00,-1.502287337262578641e-04,-9.794033575962393101e+00
0.000000000000000000e+00,-1.502287345134384875e-04,-9.794033576106260242e+00
0.000000000000000000e+00,-1.502287353006190838e-04,-9.794033576250125606e+00
0.000000000000000000e+00,-1.502287360877996802e-04,-9.794033576393990970e+00
0.000000000000000000e+00,-1.502287368749802494e-04,-9.794033576537856334e+00
0.000000000000000000e+00,-1.502287376621608186e-04,-9.794033576681719921e+00
0.000000000000000000e+00,-1.502287384493414420e-04,-9.794033576825585286e+00
0.000000000000000000e+00,-1.502287392365220383e-04,-9.794033576969450650e+00
0.000000000000000000e+00,-1.502287400237026075e-04,-9.794033577113314237e+00
0.000000000000000000e+00,-1.502287408108832038e-04,-9.794033577257181378e+00
0.000000000000000000e+00,-1.502287415980637730e-04,-9.794033577401044965e+00
0.000000000000000000e+00,-1.502287423852443694e-04,-9.794033577544910329e+00
0.000000000000000000e+00,-1.502287431724249657e-04,-9.794033577688775694e+00
0.000000000000000000e+00,-1.502287439596055349e-04,-9.794033577832641058e+00
0.000000000000000000e+00,-1.502287447467861041e-04,-9.794033577976508198e+00
0.000000000000000000e+00,-1.502287455339666733e-04,-9.794033578120371786e+00
0.000000000000000000e+00,-1.502287463211472696e-04,-9.794033578264235373e+00
0.000000000000000000e+00,-1.502287471083278388e-04,-9.794033578408102514e+00
0.000000000000000000e+00,-1.502287478955084080e-04,-9.794033578551966102e+00
0.000000000000000000e+00,-1.502287486826889772e-04,-9.794033578695831466e+00
0.000000000000000000e+00,-1.502287494698695193e-04,-9.794033578839698606e+00
0.000000000000000000e+00,-1.502287502570501157e-04,-9.794033578983562194e+00
0.000000000000000000e+00,-1.502287510442306849e-04,-9.794033579127427558e+00
0.000000000000000000e+00,-1.502287518314112270e-04,-9.794033579271292922e+00
