pos_lat (deg),pos_lon (deg),pos_alt (m)
3.099999977900000303e+01,1.209999997790000066e+02,9.997743110000000266e-01
3.099999995939229791e+01,1.209999997790000066e+02,9.997743110000000266e-01
3.100000013978478464e+01,1.209999997790058330e+02,9.997743294567499328e-01
3.100000032018163054e+01,1.209999997790197170e+02,9.997751403635117828e-01
3.100000050057768064e+01,1.209999997790333026e+02,9.997759242388245537e-01
3.100000068097651962e+01,1.209999997790511230e+02,9.997765152755011542e-01
3.100000086137892907e+01,1.209999997790810227e+02,9.997769384227703782e-01
3.100000104178682392e+01,1.209999997791112492e+02,9.997784732175304390e-01
3.100000122219275056e+01,1.209999997791423851e+02,9.997799167065108961e-01
3.100000140259043491e+01,1.209999997791728532e+02,9.997810727724181223e-01
3.100000158299621589e+01,1.209999997792009054e+02,9.997819354028351091e-01
3.100000176340434521e+01,1.209999997792285740e+02,9.997838183513250154e-01
3.100000194381283691e+01,1.209999997792548498e+02,9.997855458690925179e-01
3.100000212421484136e+01,1.209999997792802162e+02,9.997875859058436010e-01
3.100000230462256212e+01,1.209999997793101159e+02,9.997895139128366582e-01
3.100000248502662004e+01,1.209999997793327680e+02,9.997913771445805509e-01
3.100000266543344907e+01,1.209999997793489968e+02,9.997934108709598533e-01
3.100000284584402621e+01,1.209999997793731978e+02,9.997966093876357041e-01
3.100000302625036852e+01,1.209999997794003264e+02,9.998007000665608546e-01
3.100000320665322562e+01,1.209999997794339777e+02,9.998051184907044142e-01
3.100000338705126524e+01,1.209999997794701159e+02,9.998100007399081113e-01
3.100000356745537289e+01,1.209999997795072062e+02,9.998153957923245905e-01
3.100000374785902224e+01,1.209999997795392659e+02,9.998212438016854664e-01
3.100000392825931073e+01,1.209999997795745657e+02,9.998264654744638547e-01
3.100000410866224598e+01,1.209999997795992215e+02,9.998313493477023473e-01
3.100000428906460570e+01,1.209999997796224989e+02,9.998357486342859257e-01
3.100000446945952959e+01,1.209999997796442841e+02,9.998404220740186865e-01
3.100000464985570048e+01,1.209999997796676610e+02,9.998442743077390338e-01
3.100000483024518871e+01,1.209999997796888636e+02,9.998481132726450005e-01
3.100000501063556513e+01,1.209999997797105067e+02,9.998513576001680780e-01
3.100000519102457730e+01,1.209999997797212501e+02,9.998546920954355377e-01
3.100000537140318357e+01,1.209999997797412306e+02,9.998579324843959171e-01
3.100000555178365502e+01,1.209999997797635132e+02,9.998609882486581002e-01
3.100000573216437516e+01,1.209999997797873590e+02,9.998639514338544254e-01
3.100000591254936211e+01,1.209999997798099258e+02,9.998669333267946602e-01
3.100000609294334453e+01,1.209999997798251599e+02,9.998695378066724260e-01
3.100000627334009806e+01,1.209999997798326774e+02,9.998714036812366146e-01
3.100000645373728503e+01,1.209999997798369975e+02,9.998738844372243584e-01
3.100000663413762325e+01,1.209999997798463340e+02,9.998761915495765207e-01
3.100000681453630946e+01,1.209999997798642966e+02,9.998780309126583665e-01
3.100000699493680045e+01,1.209999997798770721e+02,9.998799017572973513e-01
3.100000717534135219e+01,1.209999997798931304e+02,9.998821983932419943e-01
3.100000735574148081e+01,1.209999997799077534e+02,9.998843348087615990e-01
3.100000753614045479e+01,1.209999997799268669e+02,9.998868015461562786e-01
3.100000771653792242e+01,1.209999997799555445e+02,9.998886160214247587e-01
3.100000789693448056e+01,1.209999997799787224e+02,9.998909257540438134e-01
3.100000807733093211e+01,1.209999997800122316e+02,9.998929828752733950e-01
3.100000825772666602e+01,1.209999997800466360e+02,9.998953704463083847e-01
3.100000843812191675e+01,1.209999997800847780e+02,9.998977987313442117e-01
3.100000861851372846e+01,1.209999997801302953e+02,9.999005350128331582e-01
3.100000879890036742e+01,1.209999997801761253e+02,9.999036673124362951e-01
3.100000897929048804e+01,1.209999997802303966e+02,9.999061268790888635e-01
3.100000915967868664e+01,1.209999997802848668e+02,9.999090838633470923e-01
3.100000934006342845e+01,1.209999997803426481e+02,9.999122176709668297e-01
3.100000952043912861e+01,1.209999997803998752e+02,9.999141100872713794e-01
3.100000970081818608e+01,1.209999997804559655e+02,9.999161119621479132e-01
3.100000988119522916e+01,1.209999997805170295e+02,9.999182219848439246e-01
3.100001006157117445e+01,1.209999997805820584e+02,9.999194828839992333e-01
3.100001024194192567e+01,1.209999997806518053e+02,9.999215313133623662e-01
3.100001042230982762e+01,1.209999997807209127e+02,9.999235178196106411e-01
3.100001060267462449e+01,1.209999997807803567e+02,9.999250759162318092e-01
3.100001078304095969e+01,1.209999997808397865e+02,9.999260613692509958e-01
3.100001096340165319e+01,1.209999997809044885e+02,9.999264227856766718e-01
3.100001114375977807e+01,1.209999997809775891e+02,9.999266702834931353e-01
3.100001132411983562e+01,1.209999997810610779e+02,9.999265458885582269e-01
3.100001150447579690e+01,1.209999997811539032e+02,9.999268055724630511e-01
3.100001168482553737e+01,1.209999997812520576e+02,9.999278042305371761e-01
3.100001186517756935e+01,1.209999997813592643e+02,9.999278891910307054e-01
3.100001204553011291e+01,1.209999997814632309e+02,9.999272747606910983e-01
3.100001222588505811e+01,1.209999997815732939e+02,9.999256229548308950e-01
3.100001240624244758e+01,1.209999997816813391e+02,9.999242075473004920e-01
3.100001258659685988e+01,1.209999997817836999e+02,9.999223514779185251e-01
3.100001276694644048e+01,1.209999997818893434e+02,9.999206149185658754e-01
3.100001294729750967e+01,1.209999997819928979e+02,9.999196637137467425e-01
3.100001312764796779e+01,1.209999997820956708e+02,9.999186298036009113e-01
