vel_x (m/s),vel_y (m/s),vel_z (m/s)
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000032959915558184e+00,5.336459484330140041e-06,4.639970500119347887e-05
2.000025295259418190e+00,-1.321207272094871696e-05,1.208225658430054836e-04
2.000034151509102021e+00,-6.812109579051200438e-05,1.519264935710687089e-04
2.000073433761381914e+00,-1.748546207908992261e-05,1.084540578871418052e-04
2.000065105753192629e+00,-1.015338264838530407e-04,8.481913140511561854e-05
2.000073050843674594e+00,-4.445410963196858137e-05,6.789609953708041629e-05
1.999991002158215903e+00,-1.026240323445000966e-04,6.227356826344990508e-05
2.000032624925108582e+00,-4.110954277090004530e-05,5.068291456865624050e-05
1.999998255950668158e+00,-7.195961853992982626e-05,3.185864520557891798e-05
1.999986590310234069e+00,-1.092221401609549914e-04,8.191904470565462371e-05
2.000073941773022668e+00,-7.926424852832558319e-05,5.668738682216252554e-06
2.000089453720236499e+00,-1.024128519473301144e-04,-7.719555432357691710e-06
2.000125174027347796e+00,-6.707573652450229355e-05,6.177208513478572708e-05
2.000143154139179646e+00,-4.754673824585346840e-05,8.473357806819785940e-05
2.000142658188857503e+00,-6.034113834923994572e-05,9.040252866532788372e-05
2.000091880839371949e+00,-8.256367892062324099e-05,7.331102045486126461e-05
2.000135596608805244e+00,-8.384382963986771386e-05,3.913476070141428271e-05
2.000172660925671142e+00,-4.992067222612482500e-05,4.974167836754710972e-06
2.000218492455041908e+00,-4.126434896405448789e-06,7.441500854919513635e-05
2.000207639926337766e+00,-7.802641611624128512e-06,-4.640981941784363247e-05
2.000175152872996964e+00,8.948451438874301166e-05,3.012555862434968641e-05
2.000216709585960650e+00,2.228717919396804741e-04,-5.296349904810438271e-05
2.000221332339899405e+00,2.615253498714176185e-04,4.975524256954653513e-05
2.000259696424010247e+00,2.814081044881413108e-04,-1.053293800522401067e-05
2.000212571539876638e+00,2.159722333174666229e-04,3.916701171370804671e-05
2.000213737681602932e+00,3.009414478405399249e-04,8.553004255189107703e-05
2.000218417697853468e+00,2.099561236427740726e-04,8.045395340281550061e-05
2.000283881653600826e+00,1.240768346567549076e-04,7.292916284878750725e-05
2.000321024266855208e+00,1.398146612818315800e-04,8.117210936553286666e-05
2.000282244819563182e+00,1.454960172862377124e-04,1.500021232584776887e-04
2.000347912442597131e+00,1.341861737785988572e-04,1.623102986964344852e-04
2.000434750054262967e+00,1.108489112217052346e-04,2.207856111711997845e-04
2.000447972305157140e+00,1.464210528672650223e-04,1.984180780294142390e-04
2.000498642950713446e+00,2.181014332275259607e-04,2.642383318643438668e-04
2.000437342060505497e+00,1.998518653333793821e-04,2.870954262383766946e-04
2.000462517184167233e+00,1.999884179098203665e-04,3.068675971070434442e-04
2.000514808518690124e+00,2.365630373604271077e-04,2.814837505684835198e-04
2.000434877158320468e+00,2.580049557317810340e-04,2.574111853611250281e-04
2.000451871644277180e+00,2.488535854030004863e-04,2.579037125158508727e-04
2.000497496550275756e+00,2.044183289738814953e-04,2.771074887321942700e-04
2.000485117018347747e+00,1.411395090615125939e-04,2.438830573809813371e-04
2.000552581337402991e+00,1.362568219965600567e-04,2.393736011004406628e-04
2.000586769434875567e+00,2.054569896875973567e-04,2.962512405635449753e-04
2.000556676004189960e+00,2.051269943847932578e-04,2.924583325008326914e-04
