pos_lat (deg),pos_lon (deg),pos_alt (m)
3.099999977900000303e+01,1.209999997790000066e+02,9.999707509999999910e-01
3.099999995939229436e+01,1.209999997790000066e+02,9.999707509999999910e-01
3.100000013978215208e+01,1.209999997790055772e+02,9.999700830040948452e-01
3.100000032017280205e+01,1.209999997790180970e+02,9.999700559452332493e-01
3.100000050056456757e+01,1.209999997790405644e+02,9.999707858551973860e-01
3.100000068095728523e+01,1.209999997790511230e+02,9.999724658402129318e-01
3.100000086134901522e+01,1.209999997790626765e+02,9.999735950371040349e-01
3.100000104173928150e+01,1.209999997790731072e+02,9.999749948448731773e-01
3.100000122212969345e+01,1.209999997790876876e+02,9.999760399070308781e-01
3.100000140252271663e+01,1.209999997790978341e+02,9.999769290955160539e-01
3.100000158292075625e+01,1.209999997791163651e+02,9.999771069168179594e-01
3.100000176332209634e+01,1.209999997791302206e+02,9.999781955644154730e-01
3.100000194372839957e+01,1.209999997791389319e+02,9.999799315232187347e-01
3.100000212413788248e+01,1.209999997791472452e+02,9.999806167820233238e-01
3.100000230455223971e+01,1.209999997791723700e+02,9.999809865693982669e-01
3.100000248495594590e+01,1.209999997791989301e+02,9.999818150123167548e-01
3.100000266535916538e+01,1.209999997792271245e+02,9.999833400449225085e-01
3.100000284576440635e+01,1.209999997792539688e+02,9.999853349326176533e-01
3.100000302617136327e+01,1.209999997792862843e+02,9.999875545582705971e-01
3.100000320658845610e+01,1.209999997793125601e+02,9.999898720197420987e-01
3.100000338700463942e+01,1.209999997793428435e+02,9.999928763583113556e-01
3.100000356742117091e+01,1.209999997793891566e+02,9.999956772390804494e-01
3.100000374783884638e+01,1.209999997794363793e+02,9.999991185695313867e-01
3.100000392825326756e+01,1.209999997794897126e+02,1.000003095337463010e+00
3.100000410866798006e+01,1.209999997795425060e+02,1.000006222654883814e+00
3.100000428908391115e+01,1.209999997795984541e+02,1.000010390031832230e+00
3.100000446949660216e+01,1.209999997796589639e+02,1.000015304984235298e+00
3.100000464990749904e+01,1.209999997797228559e+02,1.000020266209836306e+00
3.100000483031768184e+01,1.209999997797899312e+02,1.000025282491734613e+00
3.100000501072252135e+01,1.209999997798590385e+02,1.000030012796658596e+00
3.100000519113255137e+01,1.209999997799250906e+02,1.000034772755310719e+00
3.100000537153897540e+01,1.209999997799861546e+02,1.000040495387781503e+00
3.100000555195055085e+01,1.209999997800440354e+02,1.000046513568406903e+00
3.100000573235907453e+01,1.209999997800979514e+02,1.000051901374007235e+00
3.100000591277109763e+01,1.209999997801500342e+02,1.000056564232957745e+00
3.100000609318820821e+01,1.209999997802124341e+02,1.000060346486405294e+00
3.100000627360736161e+01,1.209999997802729155e+02,1.000064700809494500e+00
3.100000645402954191e+01,1.209999997803428613e+02,1.000068839458506220e+00
3.100000663444651039e+01,1.209999997804164877e+02,1.000073008409034125e+00
3.100000681486232423e+01,1.209999997804967933e+02,1.000077288787999175e+00
3.100000699527899428e+01,1.209999997805786052e+02,1.000081169524581259e+00
3.100000717569555775e+01,1.209999997806626908e+02,1.000084111202137471e+00
3.100000735611816083e+01,1.209999997807366867e+02,1.000086754424785340e+00
3.100000753653853991e+01,1.209999997808122316e+02,1.000089739623485352e+00
3.100000771696547375e+01,1.209999997808821490e+02,1.000092067865279821e+00
3.100000789738952989e+01,1.209999997809567276e+02,1.000094952360612188e+00
3.100000807781653123e+01,1.209999997810285635e+02,1.000097765357856439e+00
3.100000825824082185e+01,1.209999997811047621e+02,1.000101321020790301e+00
3.100000843866332900e+01,1.209999997811832628e+02,1.000104453450807229e+00
3.100000861908922900e+01,1.209999997812575856e+02,1.000106751100142688e+00
3.100000879951376476e+01,1.209999997813287536e+02,1.000109990414513650e+00
3.100000897993826499e+01,1.209999997814003478e+02,1.000113141666159278e+00
3.100000916037133081e+01,1.209999997814695831e+02,1.000118006940728943e+00
3.100000934080098602e+01,1.209999997815303772e+02,1.000122497418496348e+00
3.100000952122289988e+01,1.209999997815952639e+02,1.000127212696415802e+00
3.100000970164001046e+01,1.209999997816692030e+02,1.000132666528935177e+00
3.100000988205125552e+01,1.209999997817488406e+02,1.000137585386130512e+00
3.100001006245505053e+01,1.209999997818367063e+02,1.000142383144115632e+00
3.100001024285901252e+01,1.209999997819269595e+02,1.000147462966303635e+00
3.100001042325919798e+01,1.209999997820211490e+02,1.000153110448005034e+00
3.100001060365736549e+01,1.209999997821298479e+02,1.000159622258793402e+00
3.100001078405805899e+01,1.209999997822302760e+02,1.000166072167231857e+00
3.100001096445549820e+01,1.209999997823339868e+02,1.000172898645434350e+00
3.100001114485229792e+01,1.209999997824413356e+02,1.000179746162567218e+00
3.100001132524934633e+01,1.209999997825411242e+02,1.000186381902876009e+00
3.100001150564388297e+01,1.209999997826430871e+02,1.000192326203976023e+00
3.100001168603954227e+01,1.209999997827441831e+02,1.000198928977639401e+00
3.100001186643634910e+01,1.209999997828421670e+02,1.000204714478211354e+00
3.100001204683107403e+01,1.209999997829403213e+02,1.000210194019338861e+00
3.100001222723240346e+01,1.209999997830358467e+02,1.000214732275777507e+00
3.100001240762809473e+01,1.209999997831242098e+02,1.000219224062546708e+00
3.100001258802150517e+01,1.209999997832072722e+02,1.000223169811132351e+00
3.100001276840529130e+01,1.209999997832886862e+02,1.000227253018698859e+00
3.100001294880061309e+01,1.209999997833576657e+02,1.000231435785597700e+00
3.100001312920016261e+01,1.209999997834268015e+02,1.000236529273114794e+00
3.100001330960119006e+01,1.209999997834921857e+02,1.000241462988829211e+00
3.100001348999984074e+01,1.209999997835580388e+02,1.000246301256029868e+00
3.100001367040168532e+01,1.209999997836169143e+02,1.000250926327818313e+00
3.100001385081204575e+01,1.209999997836754204e+02,1.000255550593099896e+00
3.100001403122867316e+01,1.209999997837324344e+02,1.000259700660701023e+00
3.100001421164551729e+01,1.209999997837878567e+02,1.000263435536288714e+00
3.100001439206033282e+01,1.209999997838486934e+02,1.000267122878509829e+00
3.100001457247772407e+01,1.209999997839118038e+02,1.000270488341353570e+00
3.100001475288850372e+01,1.209999997839798880e+02,1.000273138349441870e+00
3.100001493330153579e+01,1.209999997840561718e+02,1.000276326944682603e+00
3.100001511371451102e+01,1.209999997841346442e+02,1.000279879229809987e+00
3.100001529412438472e+01,1.209999997842118091e+02,1.000283219374498600e+00
3.100001547453604900e+01,1.209999997842947579e+02,1.000286471103954078e+00
3.100001565494431688e+01,1.209999997843902264e+02,1.000290027517063418e+00
3.100001583535702565e+01,1.209999997844939372e+02,1.000293481539329843e+00
3.100001601576204635e+01,1.209999997845954312e+02,1.000297045981556332e+00
3.100001619617099635e+01,1.209999997846949498e+02,1.000301416321711434e+00
3.100001637658415987e+01,1.209999997848007780e+02,1.000305931140348603e+00
3.100001655700022951e+01,1.209999997849112106e+02,1.000310315717683807e+00
3.100001673741471109e+01,1.209999997850251390e+02,1.000315061863720878e+00
3.100001691783163693e+01,1.209999997851428191e+02,1.000320046809211716e+00
3.100001709825066243e+01,1.209999997852623324e+02,1.000326197829789043e+00
3.100001727866601797e+01,1.209999997853761755e+02,1.000332933273352376e+00
3.100001745908878448e+01,1.209999997854953051e+02,1.000339457896946449e+00
3.100001763951716072e+01,1.209999997856125589e+02,1.000345563430593776e+00
