vel_x (m/s),vel_y (m/s),vel_z (m/s)
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.999968931313353293e+00,-4.875168729310031565e-05,-1.582771970419376598e-05
1.999906202552379275e+00,3.714300176307761925e-05,-3.814823908117819613e-05
1.999909216222071517e+00,2.184981195948970900e-05,-7.083665505279599305e-05
1.999958972026435911e+00,-4.877888815822007128e-05,-4.467177494906915544e-05
1.999873495857208860e+00,-9.747670314128993000e-05,-1.008957113958897626e-05
1.999862138133923217e+00,-9.779647266891423223e-05,1.975149729967868870e-05
1.999829414711986608e+00,-3.425093756838774634e-06,8.226926660746826088e-05
1.999851635554854790e+00,1.989166805813042828e-05,9.575125709343596208e-05
1.999888081005993579e+00,3.037748797658819123e-05,1.270069419428432062e-04
1.999860107167165779e+00,-5.904809098190860620e-06,1.122465658879808116e-04
1.999907994572003078e+00,-3.095338424479073658e-05,8.913108593154539202e-05
1.999958522312781817e+00,-5.876917921474130618e-06,1.635650167710409194e-04
1.999966181121373365e+00,4.148192837040238834e-06,1.449329728574251671e-04
2.000014278099547127e+00,6.278148512680666743e-05,1.673692540274557034e-04
1.999938181406846871e+00,5.384364371010657977e-05,1.431376092550306169e-04
1.999921401539876076e+00,9.482254150159805887e-05,1.476140448424011003e-04
1.999841028848490909e+00,1.068266336429265909e-04,1.250533309272587102e-04
1.999828627601727637e+00,6.061195163716182635e-05,1.170948309700447685e-05
1.999833511100169270e+00,5.278812975704049045e-05,-7.497439587978615072e-05
1.999819967946139920e+00,7.700250461250525630e-06,-7.029231042794150102e-05
1.999876579450489356e+00,-6.697854678586729715e-05,-4.010460636228843135e-05
1.999863844377369748e+00,-4.414593612822662456e-05,9.729400225682812743e-05
1.999833718899654222e+00,-4.134218145574003966e-05,1.381478474606019418e-04
1.999794372687681898e+00,-1.101940227686105399e-05,1.213632191189139821e-04
1.999751122288665917e+00,-1.981618425628972822e-05,1.312358797022293013e-04
1.999773159964952418e+00,-1.586083687569973734e-04,5.057905036963122739e-05
1.999801308381222498e+00,-1.125246031498381750e-04,2.728599945619515372e-06
1.999790232558992686e+00,-1.359121684019686351e-04,-6.365695611691219368e-05
1.999766463085565826e+00,-1.604105458763281796e-04,1.153384558859073792e-05
1.999748840950231754e+00,-2.192399907715465984e-04,-3.493975772414765986e-05
1.999707305141280811e+00,-1.198913917910486679e-04,-4.376413444599955678e-05
1.999708207749869571e+00,-5.758870328425699423e-05,8.431894518861967496e-05
1.999742685792291752e+00,-6.028678706531501343e-05,1.146454243897548084e-04
1.999753270933600335e+00,-3.448906569716980578e-05,3.483426242558213177e-05
1.999705997533914870e+00,-4.336714070950952122e-05,-1.281567596585560823e-05
1.999680476564972054e+00,1.261735011225677717e-06,1.127434040921699914e-04
1.999594689001057413e+00,-2.635160326619517929e-05,5.183421509673522855e-05
1.999586476105308375e+00,2.538910604772883306e-05,1.401908595919272853e-05
1.999612227065260539e+00,9.205516743674983424e-05,-8.424824048846527979e-05
1.999635859256884585e+00,1.416332421003995193e-04,-8.510159485417932571e-05
1.999670482585740094e+00,3.154999724571157921e-05,-3.015811323778044492e-05
1.999703650860381599e+00,2.616420986565126059e-05,-1.843790760546893656e-05
1.999604556042083425e+00,-3.799382462760291722e-05,6.150256802212912413e-05
1.999628711933681302e+00,-1.586300825643406631e-04,6.058452085639869604e-05
1.999601659332803649e+00,-2.078877750551055413e-04,5.668566181326174878e-05
1.999559049731861160e+00,-2.117021817820071718e-04,7.117490324946219751e-05
1.999538710196747671e+00,-2.941975682532805333e-04,8.232650026905304150e-05
1.999508826419548191e+00,-4.275821114983517027e-04,6.849845844960505449e-05
1.999535387196302194e+00,-4.470699549581536492e-04,1.011770627813980515e-05
1.999553074334415648e+00,-6.048961371453177296e-04,1.378394138167017707e-05
1.999554117512661211e+00,-5.638289687703220429e-04,-5.743776492853178324e-05
1.999591778973796030e+00,-5.668456006738184765e-04,-4.314729414723033479e-05
1.999626849711951371e+00,-6.896338713148809658e-04,-7.932070246492933048e-06
1.999541595716726183e+00,-6.885612771647949904e-04,2.749295520079160241e-06
1.999528834658824472e+00,-7.796017606470670262e-04,-2.355301550240964818e-05
1.999603908714358003e+00,-7.745717950982635358e-04,2.602063900884961004e-05
1.999613534341343035e+00,-7.773267912615981854e-04,5.421717969592950901e-05
1.999543941521902735e+00,-8.998476374918401924e-04,8.470453225389469316e-05
1.999562710532509335e+00,-8.617581624652138200e-04,3.452328313290187038e-05
1.999573894527868712e+00,-8.518108401126620998e-04,7.491480210129148145e-05
1.999510196079999913e+00,-9.047504951466878208e-04,1.886436407238147598e-05
1.999427415869829971e+00,-9.170982186697959008e-04,-3.325543119766973931e-06
1.999470273166675582e+00,-9.313579056469934413e-04,-7.040780419363231921e-05
1.999455762058467423e+00,-9.582921046159831053e-04,-1.332738345550011651e-04
1.999432876509739776e+00,-9.889853151695481796e-04,-1.669327898879060666e-04
1.999533337366459440e+00,-1.024864763413526085e-03,-1.490121815199457647e-04
1.999529163159971867e+00,-1.031405288695567231e-03,-1.166432777244031819e-04
1.999477336744839961e+00,-9.569630562366589037e-04,-3.655802376928013475e-05
1.999392862519381531e+00,-9.185134277754737142e-04,-1.247740902048239656e-06
1.999421346106156294e+00,-1.016067591888252658e-03,2.781257144302068049e-05
1.999456005588025054e+00,-9.942159848096690424e-04,4.600484210444915598e-05
1.999406265629432911e+00,-1.006319294971806623e-03,3.196328691802724525e-05
1.999387926812386196e+00,-1.008632302870900426e-03,7.757255488092233985e-06
1.999450084905304736e+00,-1.138091413363637736e-03,8.372347734517475144e-05
1.999437228349458584e+00,-1.067425395089258286e-03,9.197654504212379463e-05
1.999462089714531210e+00,-1.068032677015361750e-03,2.119097819685601962e-04
1.999433302771025822e+00,-1.078770736723821651e-03,1.782675456025259605e-04
1.999367740589040432e+00,-1.118508503212591217e-03,1.859993467602014778e-04
1.999373456617453249e+00,-1.126299010252707197e-03,1.726326495252076903e-04
1.999332854959747108e+00,-1.103374952560816098e-03,1.230016214472589653e-04
1.999305476709160256e+00,-1.094512154911737693e-03,1.294558753622331384e-04
1.999231000044825235e+00,-1.158928556207311587e-03,1.612517555697945610e-04
1.999195224424040962e+00,-1.132898352013096211e-03,7.531088474947956687e-05
1.999186095222039050e+00,-1.198525467654941879e-03,7.722256069370296062e-05
1.999150192614969068e+00,-1.163354671555579716e-03,4.328411636772637575e-05
1.999102648884181654e+00,-1.290674144581441555e-03,-1.492872692132145963e-05
1.999048165037326852e+00,-1.249496811374767400e-03,-4.815529354268209027e-06
1.999185182954008599e+00,-1.195662870680463171e-03,4.784601976356084638e-05
1.999083263720052406e+00,-1.266738048269573993e-03,-3.457528956245267644e-05
1.999052920804602396e+00,-1.259488371934250122e-03,-1.351959167286816089e-06
1.999079177521351003e+00,-1.332603674703101027e-03,6.096092448902486340e-05
1.998975035353314889e+00,-1.299590407383450531e-03,5.087773746878141660e-05
1.998938425062590118e+00,-1.363485012917462023e-03,9.639314044057142763e-05
1.998917608407918767e+00,-1.278636548235846139e-03,5.592963154114212850e-05
1.998795295909000957e+00,-1.330014259883555887e-03,2.663776487288374822e-05
1.998828486676013538e+00,-1.501028025391521088e-03,-1.814113735035749534e-05
1.998802950719568816e+00,-1.521324340979001441e-03,1.138918954777186398e-04
1.998745158643875364e+00,-1.444063822775153768e-03,1.593499955965556455e-04
