accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.164888967244189291e-02,5.611179727084896623e-03,-9.793358857768183157e+00
-3.687816220577540618e-03,-2.817005785556824481e-03,-9.795339665665180107e+00
-9.883472542208057016e-03,-2.282117844808989431e-03,-9.797544892824637586e+00
4.247560991104657596e-03,3.118868647554652596e-03,-9.790583513774864244e+00
4.719090601846632864e-03,-1.097048785795452092e-02,-9.784023814155057508e+00
8.235209197559711924e-03,3.343806881987232762e-03,-9.791700930360796917e+00
-1.260952935480500001e-03,-1.357899570440589598e-03,-9.793276894599312499e+00
-8.657268322914373274e-03,-6.495673535143755249e-03,-9.795178903295131079e+00
7.029493395383173623e-03,3.957430605105015202e-03,-9.792290204089182382e+00
3.388093902194124971e-03,-5.275616573251538585e-03,-9.789089970260492990e+00
2.450737120110406137e-03,1.665391228177959823e-03,-9.789596997944729040e+00
-1.492584355088954692e-03,2.632746816291454614e-03,-9.800578174421602284e+00
2.447683013915257378e-03,-5.822932282999750651e-03,-9.795677173673919214e+00
-9.272868185235428207e-04,4.263783601227002043e-04,-9.792234489056665936e+00
-6.830588876446047966e-03,-2.705936577416145211e-03,-9.790984375352698166e+00
-1.746859296956196957e-03,-6.359321093036575216e-03,-9.791706086150647081e+00
-5.423991305672340273e-03,5.646495059436779790e-03,-9.793144272214405532e+00
6.733598127143778506e-03,-3.501243633411135845e-03,-9.791860004908494730e+00
-6.106572579905964610e-03,-6.394385624072958501e-04,-9.798034246241920542e+00
4.214193971207121428e-03,6.616815526289630649e-03,-9.780260616154002662e+00
-7.098672993370325549e-03,-8.303371185369882784e-04,-9.792676067342240387e+00
-3.803335754906156385e-03,-1.654565309469748424e-03,-9.793288300381597367e+00
-2.880243320309590696e-03,6.601682787320342811e-03,-9.795662861634008678e+00
-1.607997417642010934e-03,9.254503688148290165e-04,-9.785332941402499429e+00
-2.277260731591852609e-04,-6.055056316913642531e-03,-9.802820648065377895e+00
2.476548435454341279e-03,-2.949050758057208087e-03,-9.797412549878353971e+00
3.427966308976101387e-03,1.090637872878720245e-03,-9.786670587291505186e+00
7.318196010872163315e-03,-4.621093022157456154e-03,-9.803364405567753792e+00
5.043943572904859354e-03,8.765333177133943082e-03,-9.793256131420587707e+00
3.773899530543887298e-03,-1.796170446365100409e-03,-9.792452850428048805e+00
