ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.581308739615870346e-03,-1.803923212927076254e-05,-2.151866902493596457e-03
3.581308732840846228e-03,-1.803923212876630360e-05,-2.151866913769131650e-03
3.581308726065822977e-03,-1.803923212826185143e-05,-2.151866925044667710e-03
3.581308719290798859e-03,-1.803923212775739927e-05,-2.151866936320202903e-03
3.581308712515774741e-03,-1.803923212725294032e-05,-2.151866947595738096e-03
3.581308705740750623e-03,-1.803923212674848816e-05,-2.151866958871273723e-03
3.581308698965727372e-03,-1.803923212624403599e-05,-2.151866970146808916e-03
3.581308692190703254e-03,-1.803923212573958044e-05,-2.151866981422344109e-03
3.581308685415679136e-03,-1.803923212523512150e-05,-2.151866992697879736e-03
3.581308678640655017e-03,-1.803923212473066933e-05,-2.151867003973414929e-03
3.581308671865630899e-03,-1.803923212422621716e-05,-2.151867015248950556e-03
3.581308665090606781e-03,-1.803923212372176161e-05,-2.151867026524485749e-03
3.581308658315582663e-03,-1.803923212321730606e-05,-2.151867037800020942e-03
3.581308651540558545e-03,-1.803923212271285050e-05,-2.151867049075557002e-03
3.581308644765534427e-03,-1.803923212220840850e-05,-2.151867060351091328e-03
3.581308637990509875e-03,-1.803923212170394278e-05,-2.151867071626626521e-03
3.581308631215485757e-03,-1.803923212119949062e-05,-2.151867082902162148e-03
3.581308624440461639e-03,-1.803923212069503506e-05,-2.151867094177696907e-03
3.581308617665436653e-03,-1.803923212019058290e-05,-2.151867105453232534e-03
3.581308610890412535e-03,-1.803923211968612734e-05,-2.151867116728767293e-03
3.581308604115388417e-03,-1.803923211918167179e-05,-2.151867128004302920e-03
3.581308597340363865e-03,-1.803923211867721624e-05,-2.151867139279837245e-03
3.581308590565338880e-03,-1.803923211817276068e-05,-2.151867150555372438e-03
3.581308583790314762e-03,-1.803923211766831190e-05,-2.151867161830907631e-03
3.581308577015290644e-03,-1.803923211716385635e-05,-2.151867173106442391e-03
3.581308570240266092e-03,-1.803923211665940080e-05,-2.151867184381977150e-03
3.581308563465241106e-03,-1.803923211615494524e-05,-2.151867195657512343e-03
