ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.502286739005279906e-04,-9.794033458781926882e+00
0.000000000000000000e+00,-1.502286746877087224e-04,-9.794033458925795799e+00
0.000000000000000000e+00,-1.502286754748894000e-04,-9.794033459069659386e+00
0.000000000000000000e+00,-1.502286762620701319e-04,-9.794033459213522974e+00
0.000000000000000000e+00,-1.502286770492508095e-04,-9.794033459357390115e+00
0.000000000000000000e+00,-1.502286778364315414e-04,-9.794033459501255479e+00
0.000000000000000000e+00,-1.502286786236122190e-04,-9.794033459645119066e+00
0.000000000000000000e+00,-1.502286794107929237e-04,-9.794033459788986207e+00
0.000000000000000000e+00,-1.502286801979736284e-04,-9.794033459932849794e+00
0.000000000000000000e+00,-1.502286809851543332e-04,-9.794033460076715158e+00
0.000000000000000000e+00,-1.502286817723350108e-04,-9.794033460220580523e+00
0.000000000000000000e+00,-1.502286825595157155e-04,-9.794033460364442334e+00
0.000000000000000000e+00,-1.502286833466963932e-04,-9.794033460508309474e+00
0.000000000000000000e+00,-1.502286841338770979e-04,-9.794033460652173062e+00
0.000000000000000000e+00,-1.502286849210577755e-04,-9.794033460796038426e+00
0.000000000000000000e+00,-1.502286857082384803e-04,-9.794033460939903790e+00
0.000000000000000000e+00,-1.502286864954191579e-04,-9.794033461083769154e+00
0.000000000000000000e+00,-1.502286872825998626e-04,-9.794033461227634518e+00
0.000000000000000000e+00,-1.502286880697805403e-04,-9.794033461371499882e+00
0.000000000000000000e+00,-1.502286888569612179e-04,-9.794033461515363470e+00
0.000000000000000000e+00,-1.502286896441418684e-04,-9.794033461659232387e+00
0.000000000000000000e+00,-1.502286904313226003e-04,-9.794033461803095975e+00
0.000000000000000000e+00,-1.502286912185032237e-04,-9.794033461946961339e+00
0.000000000000000000e+00,-1.502286920056839284e-04,-9.794033462090826703e+00
0.000000000000000000e+00,-1.502286927928645789e-04,-9.794033462234692067e+00
0.000000000000000000e+00,-1.502286935800452837e-04,-9.794033462378555654e+00
0.000000000000000000e+00,-1.502286943672259342e-04,-9.794033462522422795e+00
0.000000000000000000e+00,-1.502286951544066389e-04,-9.794033462666286383e+00
0.000000000000000000e+00,-1.502286959415872624e-04,-9.794033462810151747e+00
0.000000000000000000e+00,-1.502286967287679400e-04,-9.794033462954017111e+00
0.000000000000000000e+00,-1.502286975159486176e-04,-9.794033463097882475e+00
0.000000000000000000e+00,-1.502286983031292952e-04,-9.794033463241749615e+00
0.000000000000000000e+00,-1.502286990903099187e-04,-9.794033463385613203e+00
0.000000000000000000e+00,-1.502286998774905963e-04,-9.794033463529476791e+00
0.000000000000000000e+00,-1.502287006646712468e-04,-9.794033463673343931e+00
0.000000000000000000e+00,-1.502287014518518973e-04,-9.794033463817205742e+00
0.000000000000000000e+00,-1.502287022390325479e-04,-9.794033463961071106e+00
0.000000000000000000e+00,-1.502287030262131984e-04,-9.794033464104936471e+00
0.000000000000000000e+00,-1.502287038133938760e-04,-9.794033464248800058e+00
0.000000000000000000e+00,-1.502287046005745265e-04,-9.794033464392668975e+00
0.000000000000000000e+00,-1.502287053877551500e-04,-9.794033464536534339e+00
0.000000000000000000e+00,-1.502287061749358005e-04,-9.794033464680397927e+00
0.000000000000000000e+00,-1.502287069621164781e-04,-9.794033464824266844e+00
0.000000000000000000e+00,-1.502287077492971015e-04,-9.794033464968130431e+00
0.000000000000000000e+00,-1.502287085364777521e-04,-9.794033465111995795e+00
0.000000000000000000e+00,-1.502287093236584026e-04,-9.794033465255861159e+00
0.000000000000000000e+00,-1.502287101108390260e-04,-9.794033465399726524e+00
0.000000000000000000e+00,-1.502287108980196765e-04,-9.794033465543590111e+00
0.000000000000000000e+00,-1.502287116852003271e-04,-9.794033465687455475e+00
0.000000000000000000e+00,-1.502287124723809234e-04,-9.794033465831320839e+00
0.000000000000000000e+00,-1.502287132595616010e-04,-9.794033465975186203e+00
0.000000000000000000e+00,-1.502287140467421973e-04,-9.794033466119051567e+00
0.000000000000000000e+00,-1.502287148339228478e-04,-9.794033466262916932e+00
0.000000000000000000e+00,-1.502287156211034441e-04,-9.794033466406782296e+00
0.000000000000000000e+00,-1.502287164082841218e-04,-9.794033466550647660e+00
0.000000000000000000e+00,-1.502287171954647452e-04,-9.794033466694511247e+00
0.000000000000000000e+00,-1.502287179826453415e-04,-9.794033466838376611e+00
0.000000000000000000e+00,-1.502287187698259920e-04,-9.794033466982241976e+00
0.000000000000000000e+00,-1.502287195570065884e-04,-9.794033467126107340e+00
0.000000000000000000e+00,-1.502287203441872389e-04,-9.794033467269972704e+00
0.000000000000000000e+00,-1.502287211313678352e-04,-9.794033467413838068e+00
0.000000000000000000e+00,-1.502287219185484586e-04,-9.794033467557703432e+00
0.000000000000000000e+00,-1.502287227057290549e-04,-9.794033467701567020e+00
0.000000000000000000e+00,-1.502287234929097054e-04,-9.794033467845432384e+00
0.000000000000000000e+00,-1.502287242800903018e-04,-9.794033467989299524e+00
0.000000000000000000e+00,-1.502287250672709252e-04,-9.794033468133163112e+00
0.000000000000000000e+00,-1.502287258544515215e-04,-9.794033468277030252e+00
0.000000000000000000e+00,-1.502287266416321449e-04,-9.794033468420893840e+00
0.000000000000000000e+00,-1.502287274288127412e-04,-9.794033468564759204e+00
0.000000000000000000e+00,-1.502287282159933646e-04,-9.794033468708624568e+00
0.000000000000000000e+00,-1.502287290031739610e-04,-9.794033468852489932e+00
0.000000000000000000e+00,-1.502287297903545302e-04,-9.794033468996353520e+00
0.000000000000000000e+00,-1.502287305775351536e-04,-9.794033469140220660e+00
0.000000000000000000e+00,-1.502287313647157499e-04,-9.794033469284086024e+00
0.000000000000000000e+00,-1.502287321518963733e-04,-9.794033469427951388e+00
0.000000000000000000e+00,-1.502287329390769425e-04,-9.794033469571816752e+00
0.000000000000000000e+00,-1.502287337262575660e-04,-9.794033469715680340e+00
0.000000000000000000e+00,-1.502287345134381352e-04,-9.794033469859547480e+00
0.000000000000000000e+00,-1.502287353006187315e-04,-9.794033470003412845e+00
0.000000000000000000e+00,-1.502287360877993007e-04,-9.794033470147278209e+00
