vel_x (m/s),vel_y (m/s),vel_z (m/s)
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000072937382763705e+00,1.513562076070556606e-05,-4.368543625336868327e-06
2.000078251033158061e+00,8.997032397507386391e-06,-4.506404043148127040e-05
2.000060938586063486e+00,-4.435169740849246326e-05,-8.506665724322326678e-05
1.999982394567093369e+00,2.863270054189430972e-05,-1.709292112792793936e-04
2.000014591622233162e+00,3.169163899677102228e-05,-8.777874325912819319e-05
1.999890183144203748e+00,2.768419485396618831e-06,-9.211373677654521386e-05
1.999862712933794695e+00,5.364532419942458176e-05,-1.994640174551333672e-05
1.999851585547896216e+00,3.131864118080931390e-05,-7.859737338847024504e-06
1.999966381566866014e+00,3.112146681643313369e-05,4.600195027632775582e-05
1.999975842438319829e+00,5.103571626138221807e-05,8.019709036553450453e-05
1.999960120622996440e+00,5.412479503251694455e-05,1.897758568367578682e-04
2.000011077061397469e+00,4.095666318141599792e-05,2.771995906440207803e-04
1.999941272101328771e+00,1.208071243708180712e-04,2.834992553302652764e-04
1.999888556366765879e+00,2.197546577572154583e-04,2.974021494992992211e-04
1.999952293873690445e+00,2.823421460005928426e-04,2.797412649615399222e-04
1.999990445259134830e+00,2.424091713084489423e-04,3.378676816941912717e-04
2.000099286896990236e+00,2.770713184201164365e-04,3.117486305305009506e-04
2.000148325657673531e+00,3.271074176535135910e-04,2.757104497223796446e-04
2.000223459121284186e+00,3.061303105423730103e-04,3.555321979764397501e-04
2.000195743740172727e+00,2.371717546446600175e-04,3.654240629544252454e-04
2.000105640212095359e+00,1.040154758790894432e-04,3.841989021354569778e-04
2.000111038389894347e+00,8.090239263860703081e-05,3.984301211360302621e-04
2.000164634873943914e+00,6.877549777528461916e-05,3.671926865201145915e-04
2.000159125777627889e+00,-2.364027301885205734e-06,3.507197349476323623e-04
2.000165238253843292e+00,-4.601085685831528705e-05,3.358683217844789085e-04
2.000151197323093655e+00,-1.238717398902074043e-04,3.278679469697030890e-04
2.000227119599992331e+00,-9.740603758801784449e-05,3.841533419503906171e-04
2.000280888303036964e+00,1.190807771806101287e-05,3.406836507891219641e-04
2.000273973258388072e+00,1.818061307258378361e-05,2.588885227261156262e-04
2.000373417170342893e+00,1.024631865135281985e-04,2.866832938716938313e-04
2.000424795399175615e+00,1.192874462865319793e-04,3.053569086619509752e-04
2.000499383936425790e+00,1.365033406740868993e-04,3.351625266593088971e-04
2.000480974323826100e+00,1.714595436433826163e-04,3.330068939131989995e-04
2.000485369313588002e+00,1.358357779705677984e-04,3.371237522043485499e-04
2.000424833446441397e+00,1.742071662146359753e-04,3.122642479890747275e-04
2.000429112034386225e+00,2.166903221237956962e-04,2.666601566306713218e-04
2.000395151260757398e+00,2.512601633805168553e-04,2.585629503361757970e-04
2.000419738410142756e+00,2.641985321453176050e-04,2.487436862431596286e-04
2.000489313711657946e+00,2.506520912268023964e-04,2.381285259600905517e-04
2.000530006990891785e+00,2.892638384270220897e-04,2.233135231805381121e-04
2.000579340182903287e+00,3.031827885008703759e-04,1.894530345751949108e-04
2.000608252765534445e+00,1.829933262278513474e-04,1.860083477418411667e-04
2.000571904540900725e+00,2.408882180914471386e-04,1.170809863606648004e-04
2.000557426463451360e+00,2.552882028739542346e-04,1.484522713359150885e-04
2.000584424752073875e+00,1.688573016293043916e-04,1.268787012047730388e-04
2.000613992347447745e+00,1.526301077333000716e-04,7.482935819283538926e-05
2.000573114141093178e+00,1.172269374329062356e-04,1.162665120056312936e-04
2.000554722954358766e+00,2.717538601724468186e-05,5.104075270297759616e-05
2.000498907355461320e+00,3.852174735554156739e-05,7.349184011132971043e-05
2.000470484133292093e+00,5.565517309623437589e-05,5.189735724440579148e-05
2.000475075847630180e+00,-5.702076043892684071e-05,-5.711750181586352322e-05
2.000455624279280809e+00,-1.796765758677598554e-05,-5.164084990684035396e-05
2.000489646018074996e+00,-4.155095540099047537e-06,1.016185754310293388e-05
2.000453815599540608e+00,3.853749676255472338e-05,2.105759445424573123e-06
2.000501942943644362e+00,2.168209113669308845e-05,9.108545418711210028e-05
2.000524113587201835e+00,-2.533254088260611983e-05,2.437099485482575661e-05
2.000536306031631018e+00,-5.258377796155060233e-05,7.219768075024623989e-05
2.000609904310370446e+00,-1.440080011202593427e-05,1.259528346889540523e-04
2.000578916374618821e+00,-4.368275800109982794e-05,1.049385753399300123e-04
2.000534582460431476e+00,-4.638138954619153647e-05,1.730262108800473719e-04
2.000494359642714493e+00,-1.090654352729677210e-05,2.939979016469093133e-04
2.000467821813181502e+00,8.482540634791487226e-05,3.125003253426778807e-04
2.000435706916449785e+00,1.042429680198832010e-04,2.381814597969015776e-04
2.000461913624376198e+00,9.053648637313676791e-05,2.137816202729518622e-04
2.000493441102885850e+00,-3.378561818859105879e-05,2.899627427711372937e-04
2.000492982205424042e+00,-1.094050495023183146e-04,3.356161967856745678e-04
2.000473195462499465e+00,-1.738344220878645951e-04,4.069066739658419129e-04
2.000472638820062432e+00,-1.227445707908327737e-04,4.053725051373018680e-04
2.000461775729962532e+00,-5.700370199836824511e-05,4.237120863088438862e-04
2.000441405234358871e+00,-1.383488764608404795e-04,4.505052716793100410e-04
2.000417335807468611e+00,-1.332010537341282318e-04,4.436334151088828408e-04
2.000341472779884722e+00,-1.777708631088339975e-04,3.804213887352614646e-04
2.000322636077047633e+00,-1.803404403075552795e-04,3.638118210071065008e-04
2.000292896548097055e+00,-4.883313463358417302e-05,3.189144193870194731e-04
2.000277409228873982e+00,7.691518538784943146e-05,3.511112826428539253e-04
2.000296030383887036e+00,1.738288643924364293e-04,4.116734058535204827e-04
2.000301636218507984e+00,1.399697250107862303e-04,4.185849626423258267e-04
2.000268021672648722e+00,1.361594221285565922e-04,4.974887705311973642e-04
2.000263559923368906e+00,8.689791723896734751e-05,5.148910292651903827e-04
2.000259487631920852e+00,6.338886818690401127e-05,5.337524565888553422e-04
2.000255566568249321e+00,4.711318625125368554e-05,5.594592636570976715e-04
2.000238799938237833e+00,1.176060323882337222e-04,5.137012470042848439e-04
2.000238978695584091e+00,2.254001445901321343e-04,4.300599047504693106e-04
2.000171484088781870e+00,3.553198537520458299e-04,4.655306463064294597e-04
2.000148351173309358e+00,3.228923809120126231e-04,3.958431178173809034e-04
2.000115278344172687e+00,2.898845080729628432e-04,4.949307129925960410e-04
2.000075063433913947e+00,2.571392750498400874e-04,5.372870240955790553e-04
1.999980402250970180e+00,2.819663756058373165e-04,4.791767194111807410e-04
1.999916273766299657e+00,3.285957947923715049e-04,5.295244427827782915e-04
1.999967835067475219e+00,3.031768563224566276e-04,5.680366195846330100e-04
1.999908319264599665e+00,3.072697725557730318e-04,6.314643506386156740e-04
1.999959401747328336e+00,3.037218247179427700e-04,6.855097472215654917e-04
2.000026729574317041e+00,3.625274290054322735e-04,6.992542193793609877e-04
1.999977205199363617e+00,3.349027492091151978e-04,7.010752978970105588e-04
1.999938412924222808e+00,2.882439615836987186e-04,7.573094348433007540e-04
2.000026312515765792e+00,3.605835300248392715e-04,6.897075024631103054e-04
1.999964472446623454e+00,3.570154223362096476e-04,6.771478700390041799e-04
1.999933649609707542e+00,3.714050087868719452e-04,6.391063312503404877e-04
1.999921964385261264e+00,4.441299633605239245e-04,6.582800170664668575e-04
