Yaw (deg),Pitch (deg),Roll (deg)
4.191057569298918322e-04,9.380310629107014089e-03,-2.099329201591335677e-03
-2.580371280553092725e-04,9.331926470704821411e-03,-2.318035227927933012e-03
-1.225384208880474213e-04,8.974629132574948875e-03,-2.501844512628811391e-03
-9.870773326264930495e-05,9.523701162837766576e-03,-2.502673164048934123e-03
5.155495088410835466e-04,1.012170288317183232e-02,-2.006576001391859650e-03
9.431670907313026431e-04,1.006692264026477247e-02,-2.150056858750372477e-03
1.149477103322650877e-03,1.033114282255122134e-02,-2.407615164751323797e-03
1.279097127954832800e-03,1.034800652417789193e-02,-2.493491990018612686e-03
1.343140611476571029e-03,9.863883850354030619e-03,-2.337510247840077129e-03
1.983379515371852357e-03,9.065323032124173244e-03,-1.803788373955710761e-03
