vel_x (m/s),vel_y (m/s),vel_z (m/s)
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000016443537932620e+00,4.142330170084669848e-05,-6.429672218282650501e-07
2.000048429895374902e+00,-2.541525938428231571e-05,1.923800286531131509e-05
2.000150223448887488e+00,3.186246264397493618e-05,-9.050920734927187742e-06
2.000165807719158639e+00,2.157012802671550924e-06,2.816544943199094384e-05
2.000217589227434978e+00,-1.478199137325355257e-05,9.913177540854046024e-05
2.000351682539509568e+00,5.115751873549296733e-05,9.067265862142725509e-05
2.000342737285334849e+00,5.429190034982243988e-05,1.473425993691589186e-04
2.000348953292952814e+00,5.829876651992853373e-05,1.566081145524320767e-04
2.000267512867457409e+00,2.763965430164121238e-05,2.923836875452049148e-04
2.000277438603628610e+00,6.657184352755994572e-05,3.272311419474158828e-04
2.000271083945520001e+00,-4.697811278929936744e-05,3.644316092788881596e-04
2.000203400387368546e+00,-8.481546889811583103e-05,3.770383408190130983e-04
2.000191377783630653e+00,-8.700876706234570682e-05,3.932861290536619780e-04
2.000138344457174533e+00,-1.840632669787779958e-04,3.846784113817428583e-04
2.000150451841813837e+00,-1.808553018544424584e-04,3.113513277067160058e-04
2.000134760213709395e+00,-6.007514358779369697e-05,4.419776672596699083e-04
2.000061949161529906e+00,-1.771273252298737261e-05,4.464260110726948829e-04
2.000088943996855662e+00,-6.147181070565349952e-06,3.574699960523802398e-04
2.000058617705905650e+00,5.887139679108278483e-05,3.995679746309983892e-04
2.000095563498792917e+00,1.098239162102417846e-04,3.216882772164677586e-04
2.000159076202404851e+00,1.136165315951537382e-04,3.471506941165855608e-04
2.000139118180212616e+00,1.012601114480146111e-04,3.832879037399624278e-04
2.000149715688756213e+00,1.076456213214986216e-04,4.363136752141275792e-04
2.000131753646164690e+00,1.525733193866894092e-04,4.581271277923947352e-04
2.000134065780154291e+00,2.726340611713509764e-04,4.508118697004123991e-04
2.000139059987026791e+00,3.015098634043366223e-04,4.302254227677335899e-04
2.000149810675554196e+00,3.128609961903343621e-04,4.440311351719633624e-04
