Yaw (deg),Pitch (deg),Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.302555877324398663e-04,4.554929745242401631e-04,-2.634718745668139192e-04
-1.701385471984518500e-04,1.320322596480639479e-03,-3.586443641159646240e-04
7.149507206036182297e-04,1.616317898709684290e-03,-5.226868340717463106e-04
5.099787480997598895e-04,1.518667388390355921e-03,-9.976248043839087802e-04
4.018699324550036836e-04,1.802626239754059152e-03,-6.471301392176373023e-04
5.631133197128878514e-04,2.224587311757180493e-03,-2.115293058703373457e-04
8.023873364892556218e-04,2.260536775660510270e-03,-3.899149639958651692e-04
4.376040496237987971e-04,2.650422130912136100e-03,-1.792098652729233780e-04
7.696978732269099026e-04,2.138774185725500054e-03,1.223278822043667349e-06
8.643633650531851002e-04,2.413943429687829580e-03,8.595159182244649549e-05
2.344380353327057628e-04,2.438344331297566045e-03,1.399047954137040803e-04
-3.487398208923025750e-04,3.373750402449553296e-03,-3.335731060866581072e-04
-4.794525113356792596e-04,3.644113020251581701e-03,-5.375746088926846179e-04
-5.972269969758656509e-04,3.520728141378162961e-03,-8.241386701719403789e-04
-4.095654128224678059e-04,4.305290431308255415e-03,-8.481991511669396445e-04
-5.229341777523925216e-04,4.188974046715316334e-03,-1.061864827215726293e-03
6.263486716117406823e-05,4.220516033645620689e-03,-8.380454532125438186e-04
1.935973860057269989e-04,3.966924443638949506e-03,-5.556990619669712611e-04
3.145709367636574400e-04,4.346226603683893581e-03,-5.082560002756147163e-04
8.274762044044120740e-04,4.061232924015294524e-03,-5.364092406785892072e-04
9.025206557811736932e-04,4.157229915480270717e-03,-1.498789720566708235e-04
4.957008010140445502e-04,4.313968659089634054e-03,6.566242623036906971e-05
2.925727170230014692e-04,3.834852847591326691e-03,4.133678044141282323e-04
-3.656144704430561469e-04,4.254704284107299964e-03,-3.768882612709579670e-04
-4.401785226013788920e-04,4.139076218373364743e-03,-5.842598345763529632e-04
-1.364547787961777666e-04,4.329651838233718880e-03,-8.510485503940390752e-05
-2.133640258709202460e-04,4.739236052355592053e-03,-1.506111822645385704e-04
-4.883488684337091617e-04,5.302038591990227041e-03,1.066340376975921005e-04
5.550527773439115412e-05,5.179979962711013693e-03,3.401863277105358170e-04
3.561723978227312234e-04,5.231317799879955759e-03,4.270061205221754213e-04
1.840204361080225684e-04,5.689297594321434358e-03,1.048650542270088571e-03
8.895818000355441802e-04,5.163521181324175202e-03,8.814547588466910451e-04
5.023450491428659535e-04,4.757976884074695094e-03,7.139187002761501278e-04
7.054508838507274598e-04,4.926423061625462632e-03,4.928005373598554496e-04
6.307317442148463677e-04,4.664325830825499959e-03,3.742689933300753411e-04
1.090852478612836386e-04,4.689594002607839346e-03,8.395284347412258503e-04
-3.118347245292488217e-05,5.433691157553143317e-03,1.326044942436584682e-03
5.085608341019739282e-04,5.148515097896344886e-03,1.933157183385047183e-03
1.026914771983743289e-03,6.138149144623628907e-03,2.044721408699400490e-03
1.252029003715589457e-03,5.870096997808565802e-03,2.691193116443375485e-03
1.086295083650691117e-03,5.537467543703684415e-03,2.699066573718351437e-03
1.794814110807398458e-03,5.395565694635051472e-03,2.919604174730715263e-03
1.714013460887708331e-03,5.073526418070029194e-03,3.520005912728524367e-03
1.794767000034385102e-03,5.192122552223140015e-03,3.341442416923041253e-03
1.314554342758028453e-03,5.385073050673503357e-03,3.074480261096679528e-03
1.295579615415894071e-03,4.783963595041160893e-03,3.260096308980092034e-03
1.029432725828933462e-03,5.121385998690161818e-03,2.930425773401847730e-03
1.578258254062316242e-03,5.276867340506651710e-03,2.935955209850783093e-03
2.216517540051807407e-03,6.009723555593888406e-03,2.684134458510499446e-03
