pos_lat (deg),pos_lon (deg),pos_alt (m)
3.099999977900000303e+01,1.208963200000000171e+02,0.000000000000000000e+00
3.099999995939232278e+01,1.208963200000000171e+02,0.000000000000000000e+00
3.100000013978850077e+01,1.208963199999942617e+02,1.379726150320080083e-06
3.100000032018407836e+01,1.208963199999967628e+02,2.809920176965937217e-06
3.100000050058025636e+01,1.208963199999984823e+02,4.110444898059947578e-06
3.100000068098349360e+01,1.208963200000073925e+02,6.076047306988723994e-06
3.100000086138352984e+01,1.208963200000221008e+02,7.614750566879652992e-06
3.100000104178001692e+01,1.208963200000305704e+02,9.543326366871014883e-06
3.100000122218219190e+01,1.208963200000340663e+02,1.238108253790226077e-05
3.100000140258096337e+01,1.208963200000335263e+02,1.480009607726850355e-05
3.100000158298777464e+01,1.208963200000225839e+02,1.679274146747850832e-05
3.100000176340317637e+01,1.208963200000095810e+02,1.893814766022975057e-05
3.100000194381972562e+01,1.208963199999841578e+02,2.057503560523831339e-05
3.100000212423955404e+01,1.208963199999559492e+02,2.261817439526265486e-05
3.100000230466296003e+01,1.208963199999432021e+02,2.438869690251986472e-05
3.100000248508843015e+01,1.208963199999276554e+02,2.679667074430465423e-05
3.100000266551814931e+01,1.208963199999219285e+02,2.998253904062151109e-05
3.100000284594578659e+01,1.208963199999115403e+02,3.272464235045550101e-05
3.100000302637523930e+01,1.208963199998966900e+02,3.599098998112925193e-05
3.100000320680744892e+01,1.208963199998809586e+02,3.911423454908604383e-05
3.100000338724310822e+01,1.208963199998661224e+02,4.195308574866123315e-05
3.100000356767665721e+01,1.208963199998579796e+02,4.470382818633886657e-05
3.100000374811164150e+01,1.208963199998503768e+02,4.797893415436081302e-05
3.100000392854747844e+01,1.208963199998392071e+02,5.213020562006359594e-05
3.100000410897911962e+01,1.208963199998215003e+02,5.628855136528663230e-05
3.100000428941397246e+01,1.208963199998066074e+02,6.007043585155899914e-05
3.100000446984809699e+01,1.208963199997891849e+02,6.399037519177315991e-05
3.100000465028253060e+01,1.208963199997678402e+02,6.759758896790687163e-05
3.100000483072172486e+01,1.208963199997489255e+02,7.137415555478290625e-05
3.100000501115337670e+01,1.208963199997314462e+02,7.466980099749017763e-05
3.100000519157899248e+01,1.208963199997037918e+02,7.767599314479649492e-05
3.100000537200737583e+01,1.208963199996926647e+02,7.992613696425046783e-05
3.100000555244351830e+01,1.208963199996779423e+02,8.198466182384557066e-05
3.100000573287977801e+01,1.208963199996655504e+02,8.360414955758061547e-05
3.100000591331604838e+01,1.208963199996609177e+02,8.555287340636156775e-05
3.100000609376160909e+01,1.208963199996572797e+02,8.771190265076783926e-05
3.100000627420514476e+01,1.208963199996538975e+02,8.974592757495063460e-05
3.100000645465354765e+01,1.208963199996400562e+02,9.147670783561481810e-05
3.100000663509650067e+01,1.208963199996325244e+02,9.343898389359712444e-05
3.100000681553892434e+01,1.208963199996317570e+02,9.556257570086762433e-05
3.100000699597914533e+01,1.208963199996272095e+02,9.754318037508982134e-05
3.100000717642828363e+01,1.208963199996273090e+02,9.944687882337687357e-05
3.100000735687669717e+01,1.208963199996124445e+02,1.010575104749389223e-04
3.100000753732418701e+01,1.208963199995950362e+02,1.035341692697581105e-04
3.100000771776656450e+01,1.208963199995782531e+02,1.061779360306235585e-04
3.100000789820784064e+01,1.208963199995733930e+02,1.087743721007090902e-04
3.100000807864102015e+01,1.208963199995683055e+02,1.107919406277787686e-04
3.100000825907507007e+01,1.208963199995654207e+02,1.136152362178227568e-04
3.100000843950934382e+01,1.208963199995567521e+02,1.162769647940650156e-04
3.100000861994650947e+01,1.208963199995436639e+02,1.188788416914835557e-04
3.100000880038545148e+01,1.208963199995269804e+02,1.214255630446522131e-04
3.100000898082081946e+01,1.208963199995115332e+02,1.240923019345440347e-04
3.100000916126002082e+01,1.208963199994987860e+02,1.267782412838982685e-04
3.100000934169618461e+01,1.208963199994880995e+02,1.292713732282964160e-04
3.100000952213326855e+01,1.208963199994796724e+02,1.315713903836136236e-04
3.100000970256570199e+01,1.208963199994718849e+02,1.337116366175263352e-04
3.100000988299413152e+01,1.208963199994633442e+02,1.372241962021091921e-04
3.100001006343119059e+01,1.208963199994515918e+02,1.406423275064564023e-04
3.100001024387004378e+01,1.208963199994529134e+02,1.442903529754818129e-04
3.100001042431103926e+01,1.208963199994621931e+02,1.481495124506430981e-04
3.100001060475164749e+01,1.208963199994757787e+02,1.519534018961359186e-04
3.100001078519021291e+01,1.208963199994879432e+02,1.558238927087210208e-04
3.100001096562228042e+01,1.208963199994929028e+02,1.599908311387640591e-04
3.100001114605028718e+01,1.208963199994985587e+02,1.649133261855916779e-04
3.100001132647725655e+01,1.208963199995043851e+02,1.694624198474667680e-04
3.100001150690034635e+01,1.208963199995132385e+02,1.741650816160507473e-04
3.100001168731622414e+01,1.208963199995299078e+02,1.788225211233485513e-04
3.100001186772244566e+01,1.208963199995530289e+02,1.840958831376377858e-04
3.100001204813491640e+01,1.208963199995921087e+02,1.888414364767923483e-04
3.100001222854938732e+01,1.208963199996330502e+02,1.941324546720950219e-04
3.100001240895724308e+01,1.208963199996798750e+02,1.995720748645321281e-04
3.100001258935950688e+01,1.208963199997301530e+02,2.060345410077956232e-04
3.100001276975649134e+01,1.208963199997771483e+02,2.126086391850936694e-04
3.100001295015550440e+01,1.208963199998188998e+02,2.195142251226279496e-04
3.100001313056193553e+01,1.208963199998582070e+02,2.266078209218589539e-04
3.100001331097257662e+01,1.208963199998971874e+02,2.340059861553925010e-04
3.100001349137897932e+01,1.208963199999409852e+02,2.420902308377309369e-04
3.100001367178683154e+01,1.208963199999857352e+02,2.508714521613993639e-04
3.100001385219149697e+01,1.208963200000305704e+02,2.590677964590855646e-04
3.100001403259588528e+01,1.208963200000717677e+02,2.676143300906212892e-04
3.100001421300605742e+01,1.208963200001087586e+02,2.763411211955394873e-04
3.100001439342323906e+01,1.208963200001394966e+02,2.849406199606410576e-04
3.100001457384191994e+01,1.208963200001618219e+02,2.930038670889492658e-04
3.100001475426186204e+01,1.208963200001827545e+02,3.011601204961528470e-04
3.100001493468556646e+01,1.208963200002138194e+02,3.089176141561514148e-04
