vel_x (m/s),vel_y (m/s),vel_z (m/s)
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.999943315236329067e+00,-8.825144821793137707e-05,2.797198986191146630e-05
1.999948342452402716e+00,-1.663537263335100993e-04,5.252717984015288830e-05
1.999918906041135092e+00,-1.287072588453691156e-04,-1.246566095748137694e-05
1.999938249509565669e+00,-1.386077537767578722e-04,-1.050242922823385258e-04
1.999881090475976508e+00,-7.098944038713915744e-05,1.504934262926625169e-05
1.999953118003056307e+00,-8.866496906058624148e-06,-8.196482091575478318e-05
1.999972731632391421e+00,-4.596989709975078783e-05,-1.272536440644174362e-04
1.999974943679730943e+00,-1.924212035099684119e-05,-1.599513756660408373e-04
1.999972139562432139e+00,-8.948102373459685419e-05,-2.405370160937990139e-04
1.999858145923496089e+00,-5.153952212573288319e-05,-2.549067971625745594e-04
1.999818016382611585e+00,-1.446885557143082234e-04,-3.242850239324614301e-04
1.999845489819640720e+00,-5.439172377482380787e-05,-2.956748926458751332e-04
1.999842109660854739e+00,-9.449445376656057474e-05,-2.622946674555112637e-04
1.999758478501973302e+00,-7.433496076654306161e-05,-1.747443537142989050e-04
1.999722998674507535e+00,-3.601542502473768109e-05,-1.981363662140900469e-04
1.999728260368669464e+00,4.957137549162804230e-05,-3.697967314464443555e-04
1.999816001071211824e+00,3.742992227893145868e-05,-3.817840874404190301e-04
1.999774974190323906e+00,9.441761550050591025e-05,-3.122553290237099679e-04
1.999734693196011381e+00,8.162787234310085456e-05,-3.370416820867145843e-04
1.999643627498079779e+00,1.014428213285100544e-04,-4.062536037242851111e-04
1.999588058405512569e+00,7.135903398300078601e-05,-3.401648056784809123e-04
1.999637679272580293e+00,4.402176780814588382e-05,-3.700223088120626344e-04
1.999556092850001798e+00,2.745535915768628529e-05,-3.544780569617500716e-04
1.999482237955655384e+00,1.014076649225378738e-04,-3.195043718618608255e-04
1.999460815096055111e+00,1.762075864173412833e-04,-2.953850525656689994e-04
1.999438424905839229e+00,2.359564362847909572e-04,-2.872995559788765188e-04
1.999376429811990485e+00,2.227225533873116012e-04,-3.262975908921677388e-04
1.999286606738320149e+00,2.101445797390371034e-04,-3.319380738864999921e-04
1.999221769250043357e+00,2.083185424307313607e-04,-3.393359296039112800e-04
1.999197459920632136e+00,2.564151573627552767e-04,-2.183756225293544367e-04
1.999187795833944126e+00,2.288784906304204732e-04,-2.205605871533892115e-04
1.999183202353663980e+00,2.999584007245296936e-04,-1.945834019845261683e-04
1.999225040918643170e+00,3.619144158847146511e-04,-1.593071283538892284e-04
1.999288991936751358e+00,3.848646365831396698e-04,-2.260635643522720343e-04
1.999388346631133739e+00,3.593632999403691131e-04,-2.121033705186446542e-04
1.999476617586077420e+00,3.942775831156272964e-04,-1.974908508631928179e-04
1.999530550971830634e+00,4.734484702365350517e-04,-1.327864007445085398e-04
1.999576419654081061e+00,5.269011590940718762e-04,-1.380024770558736704e-04
1.999607017888445748e+00,5.645246808016346355e-04,-1.383062248087779981e-04
1.999581047136049561e+00,6.114142249567135331e-04,-6.643972545491314767e-05
1.999575302160279122e+00,6.071873082150367439e-04,-5.925876990534932024e-05
1.999527454801545812e+00,5.331077579390075668e-04,-2.123783393006076214e-05
1.999505153214625963e+00,5.491702919475508534e-04,6.833918432868470530e-05
1.999556765194147934e+00,5.225278191402925494e-04,5.396834280043556878e-05
1.999508643528628005e+00,4.202923165996800192e-04,4.964033369611141192e-05
1.999512455258954491e+00,4.589052776418113002e-04,-1.600549053674015421e-05
1.999542455642719041e+00,5.362484174558457359e-04,-7.621134341073521154e-05
1.999517323616634368e+00,5.308715257926225825e-04,-6.668239848512207938e-05
1.999523877795595261e+00,5.292160907845989103e-04,-8.938162996069916907e-06
