accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.258857964560071950e-03,1.610862606468677766e-02,-9.783923600029071466e+00
-1.532717212661527774e-03,-6.970762109274648496e-03,-9.789491684522186432e+00
-4.252048877919069499e-03,-1.937679252468209627e-03,-9.794145605318574255e+00
-4.879690125625097026e-03,3.279786367679845584e-03,-9.793268288115797304e+00
-3.540865807393712896e-03,7.036082519536082484e-03,-9.792952505417041209e+00
-9.099305037752069072e-03,-2.293339325842393139e-03,-9.794296880945935868e+00
-2.559956943610621014e-04,-4.451849207158465531e-04,-9.793436135277534760e+00
5.273186830728055809e-03,2.752408602291032610e-03,-9.787903982940814984e+00
3.741298075524718530e-03,8.728844351511493016e-03,-9.796244523080238409e+00
1.648588000725064416e-03,-2.967949610576106709e-03,-9.780331950027838062e+00
-1.540673027304700383e-03,7.571519586422768497e-03,-9.798721163712665216e+00
-8.296190775652490315e-03,7.936227822091093675e-03,-9.802033621255876739e+00
-1.732373946820988200e-04,7.186573504271900198e-04,-9.799064610349228488e+00
-5.823691113644397475e-03,-2.340496699699101246e-03,-9.795650946758795996e+00
3.163716993165537669e-03,4.984157361947953724e-03,-9.794976912499121724e+00
-7.280052479714780450e-03,1.372227128049398944e-03,-9.784737232092208359e+00
9.428514121523998148e-03,2.160983874827603155e-03,-9.787253039180047409e+00
3.137365634444442761e-03,5.183221850957799026e-03,-9.785923845433268653e+00
6.592713823758614535e-04,1.016775680619691176e-03,-9.794109887740244602e+00
-3.588291685408969995e-03,3.259402567132380340e-03,-9.780067825869824816e+00
6.410439999888687887e-03,-2.816883890066828895e-03,-9.792531583522400496e+00
-2.411257528040197488e-03,2.967018717407379899e-04,-9.793335554460652403e+00
2.056087273874481099e-03,-3.503068215134114323e-03,-9.787047850011310501e+00
-2.116266816281265565e-03,-5.502145329503947517e-03,-9.791639266327077706e+00
-5.423577190024841954e-03,6.467655154941125573e-04,-9.797589966218598789e+00
-2.269829708063192831e-03,-2.066380317360158592e-03,-9.800404922400229424e+00
-2.952122048736552720e-03,-4.709409508303199349e-03,-9.792719615558274526e+00
-7.512254822736099194e-03,3.683068759177237413e-03,-9.795955108102562647e+00
2.359448890366780405e-03,-7.190961878309666371e-03,-9.798504157729068353e+00
-1.273044860025016566e-03,-4.586293586958039431e-03,-9.790415384824266098e+00
9.024984621498644000e-03,-6.348469306453581075e-03,-9.795794941738494188e+00
8.963604902831286744e-04,9.558827392786864441e-03,-9.787990439034222945e+00
2.379464223111280724e-03,-2.372384936316366839e-03,-9.798647576722823160e+00
5.365572951313177198e-04,7.316614443389012718e-04,-9.792213004555984313e+00
1.164007846483248489e-02,4.039509083159809923e-03,-9.785791289494721212e+00
-3.632780245175994040e-03,-6.688069011307370450e-03,-9.785290016797157264e+00
4.000316558864350810e-04,3.292617852697324494e-03,-9.793478373646594903e+00
-1.259091250149339553e-03,3.071657213000067443e-03,-9.790310528241805699e+00
-2.396336588481215359e-03,1.043404706947030375e-03,-9.789119006030693626e+00
-8.289330850453678970e-03,9.530457010820178945e-03,-9.791314830822210880e+00
-4.611330348217384904e-03,3.565739238210231983e-03,-9.792276666888243497e+00
2.560243392313302745e-03,-2.310658291849588923e-03,-9.795452425555753351e+00
1.257687127737887062e-03,-6.324259941355091577e-03,-9.791123472439680953e+00
2.752597034558373814e-03,6.964884256195201517e-03,-9.793980281373677599e+00
-4.356843885056321092e-04,-5.737241243359727030e-03,-9.792594559599971049e+00
3.038046530473371802e-03,2.955476762773686077e-03,-9.786832138057935282e+00
-3.631839418456880245e-03,4.168195579379416378e-03,-9.790081377494345816e+00
7.538670507135998046e-03,-3.728222166463761398e-03,-9.792857809858730889e+00
-4.942805978749980136e-03,-1.656968992099719417e-03,-9.788216388754117148e+00
-8.102524691628471346e-03,-1.610135089570699117e-03,-9.788144562558452222e+00
