Yaw (deg),Pitch (deg),Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600942892622781513e-04,-6.853487460327358166e-04,-9.685069418364881944e-05
7.849072106720212218e-04,-1.139316525468492746e-03,-4.321828196317504134e-04
1.466056207470948060e-03,-1.035227405061315761e-03,-6.445338596001991575e-04
1.748623822101923360e-03,-1.267242947079306493e-03,-6.991168042295346991e-04
1.686108092718407569e-03,-1.331109313642305945e-03,-1.205544262900947556e-03
1.219628368982253117e-03,-1.080382439272655967e-03,-7.235938869789294544e-04
8.860143034271411241e-04,-1.066591245402113974e-03,-1.644997669413549371e-03
1.212861631263396347e-03,-1.208326233978939974e-03,-1.429310718046989748e-03
1.308841933871461756e-03,-4.439268758283625572e-04,-1.425239399035179919e-03
1.251345592365735518e-03,-2.709448665030701016e-04,-1.994803339137848734e-03
1.695866739802471103e-03,3.939311287428353553e-05,-2.354158518185231561e-03
2.254336483601434953e-03,3.422312815627652060e-04,-2.262128199341190225e-03
3.047273809974571437e-03,3.723901246656790426e-04,-2.859250653557450592e-03
2.417284412754593537e-03,1.337802954099300890e-04,-2.680063773365814854e-03
2.781222676105669575e-03,2.623993928583103356e-05,-2.557209122045834334e-03
2.586482603992754006e-03,3.304823725457681043e-04,-2.405572851350329562e-03
2.356639614953808144e-03,4.060758759243203171e-04,-2.145575008718204803e-03
1.756250359568851255e-03,5.450127496163510808e-04,-2.012139735216738647e-03
1.101950602820842484e-03,1.242909126376473897e-03,-2.424390629684277602e-03
1.662893610599067325e-03,5.807138204235577118e-04,-2.902099568610663760e-03
2.010938825017147356e-03,1.785091837457913769e-04,-3.607407567791092329e-03
1.823279358655561328e-03,3.619161625573341797e-04,-3.282111766351973083e-03
2.111577881341683127e-03,-5.334340198433000605e-05,-3.357460315235271525e-03
1.984936350595151514e-03,-6.408140325145908131e-04,-2.860534534853281102e-03
1.628898964264285324e-03,-8.535246114303754418e-04,-2.993445469449581165e-03
1.579654654834586509e-03,-4.612397973616563090e-04,-2.830919646902504538e-03
1.002911689473940824e-03,-2.305375915306547322e-04,-3.020187511448035964e-03
7.165524835685037819e-04,4.690833851914018001e-04,-4.096531784390315331e-03
6.368447657157295548e-04,6.945313401222427295e-04,-4.309440129778219740e-03
3.477227885116434733e-04,3.783770658918233012e-04,-4.054368046255156857e-03
-2.677525416039624778e-04,2.063482592884064570e-05,-3.941277450529848646e-03
-1.053384864078383155e-03,5.164892323688895052e-04,-4.048938824684257705e-03
-1.151457950657798187e-03,1.836341716625756798e-03,-3.675890417614844415e-03
-1.012791009580821895e-03,1.538225948924232429e-03,-3.648775354813619393e-03
-1.388651535970564233e-03,1.395522797527625489e-03,-3.707497654896068934e-03
-2.036988286883222032e-03,1.751415310161311654e-03,-3.628872075212755729e-03
-1.975647914797017731e-03,1.881558403106581940e-03,-3.899622499678955488e-03
-2.216719280248886405e-03,2.127946617000000488e-03,-4.755737093916501644e-03
-1.692301085628503858e-03,2.059788943896460455e-03,-5.067979971876123216e-03
-1.449963660459101982e-03,2.219411592304173717e-03,-4.402358994027699875e-03
-1.620158810880812164e-03,2.491720044019916404e-03,-4.538709428747962626e-03
-1.719682491900345264e-03,2.970640395248449507e-03,-3.767208165735944688e-03
-1.937689861957346896e-03,3.105711939485978311e-03,-3.457118392158310943e-03
-1.426685638315493363e-03,3.631258828059916264e-03,-2.956780072019031796e-03
-1.664358448152648785e-03,3.498120972962201654e-03,-3.866940103918098219e-03
-2.066795017403714064e-03,3.212273400962244608e-03,-3.177136212007133313e-03
-1.846564806893748190e-03,3.618223240278346103e-03,-2.986804831579982413e-03
-2.318364215258686151e-03,4.085118782775651151e-03,-2.520980956677478044e-03
-2.772697551105277047e-03,3.213680234530932010e-03,-2.769351482222574996e-03
-2.458934612789098837e-03,3.384415364153490341e-03,-2.824278356818856524e-03
-2.342539181048314181e-03,3.428910344780903771e-03,-3.425004531066078422e-03
-2.078498645244826557e-03,3.654010012947458714e-03,-3.348452605676405323e-03
-2.101702060947518297e-03,3.134315904902844428e-03,-2.800652424018034055e-03
-2.187286014379593527e-03,2.964056147573465236e-03,-3.038806356849706701e-03
-2.041377322491821043e-03,3.554536633725315781e-03,-3.501183474197750670e-03
-1.897785778853943936e-03,3.956017884008238179e-03,-3.933686859451194714e-03
-1.316012307025651081e-03,3.939535162065921532e-03,-3.390386640516164420e-03
-1.420394444968654975e-03,4.087648378887751184e-03,-2.822466569907706568e-03
-1.546590799261561046e-03,4.386087110059210328e-03,-3.445030995288833955e-03
-1.391787556306956029e-04,4.431009925463557861e-03,-3.580235373737276558e-03
4.909155569808455310e-04,3.982078243506675767e-03,-3.227608911689212705e-03
6.365965313874611753e-04,4.637596595859277623e-03,-3.309631823527242004e-03
9.693438152404540344e-04,5.071178167366220679e-03,-3.892464303677397024e-03
1.220791564235305980e-03,5.181422840777940957e-03,-3.894451522462964114e-03
1.523571271160578406e-03,4.625435945486161375e-03,-4.332321854014213602e-03
1.304498557398391188e-03,3.393047812327623734e-03,-3.873582424579315262e-03
4.872224634713875620e-04,3.133096235668529107e-03,-4.152424608924418746e-03
1.108880862852807455e-03,3.244141043476038606e-03,-4.079812830929375154e-03
1.531040059778867842e-03,3.627731305503799266e-03,-3.469359487593335484e-03
1.496109348089625290e-03,4.084543530589804239e-03,-3.241064696354633342e-03
1.838323792546838701e-03,4.395405898620667259e-03,-3.819309552385668355e-03
2.877982205169813280e-03,3.873500040579887314e-03,-3.915731827299406484e-03
2.404342744373956422e-03,3.805824007068278874e-03,-3.192812790370959820e-03
2.757294804240451990e-03,4.160193632419269261e-03,-3.025245353715758263e-03
2.242283664415573637e-03,4.084505170728048445e-03,-3.629882584066503569e-03
2.251271267296908133e-03,3.795725090414722377e-03,-4.485403787174587452e-03
1.577852985246966508e-03,4.132791684823547938e-03,-4.357509419785614985e-03
1.244343255968865863e-03,4.214567009998245947e-03,-3.996607719557923773e-03
1.817678583330432224e-03,4.489776758888671532e-03,-4.431397511003001312e-03
2.448140696849932484e-03,5.071616770118920169e-03,-4.940975292464447853e-03
1.921434165428879655e-03,5.943198210882903385e-03,-3.679236033310602332e-03
1.437947068487585144e-03,5.989597319660300116e-03,-3.499938138145529051e-03
1.199891584563229224e-03,5.768198073448509849e-03,-2.808435540238496484e-03
9.430498309974632816e-04,6.342781687655534538e-03,-3.073985725141451224e-03
