gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.827515745201715697e-02,1.085267326951464169e-02,-5.924621879710491312e-02
8.576913534441820905e-03,2.499615701318290070e-03,-5.231266973913350354e-02
-1.195341124552264447e-02,3.146639829412435641e-02,8.503998362340439363e-03
8.861414981936578889e-04,-6.758858416047167084e-02,2.014220433613711503e-02
-5.433903088194352339e-03,-1.211347260438955936e-02,8.978262831223642743e-03
-1.669878251003694553e-02,-4.695657786541900663e-02,-3.511991577746155502e-02
5.281602053941245045e-02,7.664755623039172516e-02,1.483439666443895841e-02
-6.120332017291404275e-02,-4.060799589037481644e-02,-4.489630962582791956e-02
1.909719293122895400e-02,2.037690497064927747e-02,-3.744009895147405731e-02
-7.936139116624973955e-02,1.075492743955761520e-02,7.799865288898483705e-03
-8.573174961038531119e-03,2.592376363063084513e-02,3.375334175449708901e-02
-5.326906415621398584e-03,2.281078191041448558e-02,-3.411358182083264190e-02
-4.382547795117071668e-03,-9.519026588324813742e-02,7.010750257324563361e-02
7.200170163548166857e-02,5.687374875350597464e-02,6.718285542119029063e-02
8.196666496340482624e-03,-3.884529751524038593e-02,1.607702568988897407e-02
1.143854284302271360e-02,-1.997852586073764480e-02,-3.932438856900283969e-02
3.088702268393475961e-02,-8.454983622253392159e-03,-7.256368248268685144e-03
1.159726418597393019e-02,-7.844465863213928580e-02,-7.831690101789834033e-03
1.678951380092252171e-02,5.284690044328375913e-02,1.499303914849618160e-03
3.381459322422549624e-02,-9.453144394720871353e-04,-1.520406198138332145e-02
3.773626199364357725e-02,-1.553440697786907451e-02,1.792725959544262671e-02
7.877004815045315911e-02,-2.310794945135700648e-02,-2.207455319832065527e-02
-9.755380329762877722e-02,3.310114807191519987e-02,-3.976946290320969302e-02
1.510192338862346648e-02,-1.746727632383062931e-02,6.397963923771859962e-02
-1.012236990890051647e-01,-2.964512162009954113e-02,-1.879305930192351481e-02
-5.328421965813590760e-02,-4.151650394519534187e-02,-3.117337681692514822e-02
-4.688399163352831474e-03,-4.720088778951971736e-02,5.886576896213659149e-02
1.544462565908750161e-02,-3.006879062644298578e-02,-1.950649756957041582e-03
2.470721694920083311e-02,-3.045105253752051697e-03,-3.050490876427169179e-02
2.555638094870246735e-02,-3.760560345123526577e-02,-7.511639439544350039e-02
2.461811590163568569e-02,-5.386937002897802806e-02,4.238532524088325926e-02
4.769522415311606978e-02,-2.770150268359047874e-02,-2.241427682077530570e-02
4.932029685221343829e-02,-1.947081007836983998e-02,-2.299996382197596126e-02
1.910594881489195707e-02,1.063900566855347125e-02,-5.078494998882431000e-03
1.028362449232516490e-02,4.548963416441129462e-03,-2.851435979515853925e-02
4.206274747965828287e-02,-1.140577055792370981e-02,2.747884893754932306e-02
-2.099842231028423156e-02,-1.365065823471163509e-02,6.770488545947429826e-02
3.660307320087124311e-02,-1.611117146137089687e-02,1.499078481596847166e-02
-3.525705039121303230e-02,1.158167596376192925e-02,-8.882317861891736444e-02
-1.757955313152605474e-03,6.354231550818846379e-03,1.974717941948149827e-02
-2.195263119950832675e-02,3.932181334871220901e-02,-3.280419883860865703e-03
-3.559397542876546749e-02,-3.351179604726393230e-02,6.181581888216435700e-02
-1.277860009646058712e-02,6.886510027401447631e-03,-2.254455027515229505e-03
-4.274868210806502533e-02,2.048851234492252843e-02,-2.597121728512232983e-02
2.379709069809998745e-02,1.815773155569484418e-02,-2.124384394157828593e-02
1.421094428694834322e-02,7.474506646459493087e-02,3.448649178461195286e-02
-1.854638089116670066e-02,3.757914492527620470e-02,-1.173061406681191569e-02
-1.991139906019732606e-02,-4.196457224656713336e-02,4.721103248339571928e-02
2.879427648294537352e-03,3.655905014547464887e-02,5.975758495767830025e-02
1.174832412793843685e-02,4.819338790196298766e-02,-7.932894294803187474e-02
1.332479116587076060e-02,-1.773470807869582597e-02,2.854651419990118441e-02
4.860469171075390560e-02,-3.091582408184789105e-02,-8.610781404259393312e-02
6.074880422253315509e-02,-1.717142470730684961e-02,2.278793601205544167e-02
