ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.583642324753056642e-03,-1.803940594010985973e-05,-2.147978385071623933e-03
3.583642317990210716e-03,-1.803940593960598015e-05,-2.147978396354615401e-03
3.583642311227364357e-03,-1.803940593910210397e-05,-2.147978407637606869e-03
3.583642304464517998e-03,-1.803940593859822779e-05,-2.147978418920597904e-03
3.583642297701672072e-03,-1.803940593809434822e-05,-2.147978430203589806e-03
3.583642290938825713e-03,-1.803940593759047203e-05,-2.147978441486580840e-03
3.583642284175979353e-03,-1.803940593708659585e-05,-2.147978452769571875e-03
3.583642277413133428e-03,-1.803940593658271628e-05,-2.147978464052562909e-03
3.583642270650286201e-03,-1.803940593607884348e-05,-2.147978475335554811e-03
3.583642263887440275e-03,-1.803940593557496391e-05,-2.147978486618545846e-03
3.583642257124593916e-03,-1.803940593507108434e-05,-2.147978497901536880e-03
3.583642250361747123e-03,-1.803940593456721493e-05,-2.147978509184527915e-03
3.583642243598900764e-03,-1.803940593406332858e-05,-2.147978520467518949e-03
3.583642236836053971e-03,-1.803940593355945240e-05,-2.147978531750510418e-03
3.583642230073207612e-03,-1.803940593305557622e-05,-2.147978543033501019e-03
3.583642223310360819e-03,-1.803940593255170003e-05,-2.147978554316492053e-03
3.583642216547514459e-03,-1.803940593204782046e-05,-2.147978565599483521e-03
3.583642209784667666e-03,-1.803940593154394428e-05,-2.147978576882474989e-03
3.583642203021821307e-03,-1.803940593104006471e-05,-2.147978588165465590e-03
3.583642196258973647e-03,-1.803940593053618514e-05,-2.147978599448456625e-03
3.583642189496127287e-03,-1.803940593003231234e-05,-2.147978610731447226e-03
3.583642182733280494e-03,-1.803940592952843277e-05,-2.147978622014438260e-03
3.583642175970433701e-03,-1.803940592902455997e-05,-2.147978633297429295e-03
3.583642169207586475e-03,-1.803940592852067701e-05,-2.147978644580419896e-03
3.583642162444739682e-03,-1.803940592801680083e-05,-2.147978655863410930e-03
3.583642155681892889e-03,-1.803940592751292465e-05,-2.147978667146401965e-03
3.583642148919045662e-03,-1.803940592700904508e-05,-2.147978678429392566e-03
3.583642142156198869e-03,-1.803940592650516889e-05,-2.147978689712383600e-03
3.583642135393351642e-03,-1.803940592600129271e-05,-2.147978700995374201e-03
3.583642128630504849e-03,-1.803940592549741314e-05,-2.147978712278364802e-03
3.583642121867657189e-03,-1.803940592499354034e-05,-2.147978723561355836e-03
3.583642115104809962e-03,-1.803940592448966077e-05,-2.147978734844346437e-03
3.583642108341963169e-03,-1.803940592398578120e-05,-2.147978746127337472e-03
3.583642101579115509e-03,-1.803940592348190840e-05,-2.147978757410328073e-03
3.583642094816268282e-03,-1.803940592297802883e-05,-2.147978768693318673e-03
3.583642088053421489e-03,-1.803940592247414926e-05,-2.147978779976308841e-03
3.583642081290573829e-03,-1.803940592197027647e-05,-2.147978791259299875e-03
3.583642074527726169e-03,-1.803940592146639351e-05,-2.147978802542290476e-03
3.583642067764878075e-03,-1.803940592096251732e-05,-2.147978813825281077e-03
3.583642061002031282e-03,-1.803940592045864114e-05,-2.147978825108271244e-03
3.583642054239183621e-03,-1.803940591995476496e-05,-2.147978836391261845e-03
3.583642047476336395e-03,-1.803940591945088538e-05,-2.147978847674252446e-03
3.583642040713487867e-03,-1.803940591894700920e-05,-2.147978858957243480e-03
3.583642033950641074e-03,-1.803940591844312963e-05,-2.147978870240233647e-03
3.583642027187793414e-03,-1.803940591793925006e-05,-2.147978881523224248e-03
3.583642020424945753e-03,-1.803940591743537726e-05,-2.147978892806214415e-03
3.583642013662098093e-03,-1.803940591693149769e-05,-2.147978904089204583e-03
3.583642006899249999e-03,-1.803940591642762490e-05,-2.147978915372195183e-03
3.583642000136402338e-03,-1.803940591592374532e-05,-2.147978926655185351e-03
3.583641993373554678e-03,-1.803940591541986914e-05,-2.147978937938175951e-03
3.583641986610707018e-03,-1.803940591491598957e-05,-2.147978949221166119e-03
3.583641979847858490e-03,-1.803940591441211339e-05,-2.147978960504155852e-03
3.583641973085010830e-03,-1.803940591390823381e-05,-2.147978971787146887e-03
3.583641966322162302e-03,-1.803940591340435763e-05,-2.147978983070137054e-03
3.583641959559314208e-03,-1.803940591290047806e-05,-2.147978994353127221e-03
3.583641952796466548e-03,-1.803940591239659849e-05,-2.147979005636116955e-03
3.583641946033618020e-03,-1.803940591189272908e-05,-2.147979016919107122e-03
3.583641939270770359e-03,-1.803940591138884612e-05,-2.147979028202097723e-03
3.583641932507921832e-03,-1.803940591088497333e-05,-2.147979039485087890e-03
3.583641925745074171e-03,-1.803940591038109375e-05,-2.147979050768077623e-03
3.583641918982225644e-03,-1.803940590987721418e-05,-2.147979062051067790e-03
3.583641912219377983e-03,-1.803940590937333800e-05,-2.147979073334057958e-03
3.583641905456529456e-03,-1.803940590886946182e-05,-2.147979084617047691e-03
3.583641898693680928e-03,-1.803940590836558224e-05,-2.147979095900038292e-03
3.583641891930832400e-03,-1.803940590786170606e-05,-2.147979107183028459e-03
3.583641885167983872e-03,-1.803940590735782649e-05,-2.147979118466017759e-03
3.583641878405135345e-03,-1.803940590685394692e-05,-2.147979129749007926e-03
3.583641871642286817e-03,-1.803940590635007412e-05,-2.147979141031998093e-03
3.583641864879439157e-03,-1.803940590584619455e-05,-2.147979152314988260e-03
3.583641858116590629e-03,-1.803940590534231498e-05,-2.147979163597978428e-03
3.583641851353742101e-03,-1.803940590483844557e-05,-2.147979174880968595e-03
3.583641844590892706e-03,-1.803940590433456261e-05,-2.147979186163957895e-03
3.583641837828044178e-03,-1.803940590383068643e-05,-2.147979197446947628e-03
3.583641831065195651e-03,-1.803940590332681025e-05,-2.147979208729936928e-03
3.583641824302347123e-03,-1.803940590282293067e-05,-2.147979220012927529e-03
3.583641817539497728e-03,-1.803940590231905110e-05,-2.147979231295917262e-03
3.583641810776649200e-03,-1.803940590181517831e-05,-2.147979242578906562e-03
3.583641804013800673e-03,-1.803940590131129535e-05,-2.147979253861896295e-03
3.583641797250951711e-03,-1.803940590080742255e-05,-2.147979265144886029e-03
3.583641790488103183e-03,-1.803940590030354298e-05,-2.147979276427875762e-03
3.583641783725253788e-03,-1.803940589979966341e-05,-2.147979287710865496e-03
3.583641776962404393e-03,-1.803940589929579061e-05,-2.147979298993855229e-03
3.583641770199555866e-03,-1.803940589879191104e-05,-2.147979310276844529e-03
3.583641763436706471e-03,-1.803940589828803486e-05,-2.147979321559834263e-03
3.583641756673857943e-03,-1.803940589778415529e-05,-2.147979332842823563e-03
3.583641749911008981e-03,-1.803940589728027572e-05,-2.147979344125813296e-03
3.583641743148159586e-03,-1.803940589677639953e-05,-2.147979355408803030e-03
3.583641736385310191e-03,-1.803940589627252674e-05,-2.147979366691792763e-03
3.583641729622460796e-03,-1.803940589576864378e-05,-2.147979377974782063e-03
3.583641722859611835e-03,-1.803940589526477098e-05,-2.147979389257771363e-03
3.583641716096762440e-03,-1.803940589476089141e-05,-2.147979400540760662e-03
3.583641709333913912e-03,-1.803940589425701184e-05,-2.147979411823750830e-03
3.583641702571064517e-03,-1.803940589375313904e-05,-2.147979423106739696e-03
3.583641695808214688e-03,-1.803940589324925947e-05,-2.147979434389728996e-03
3.583641689045365293e-03,-1.803940589274537990e-05,-2.147979445672718729e-03
3.583641682282515898e-03,-1.803940589224150372e-05,-2.147979456955707595e-03
3.583641675519665636e-03,-1.803940589173762415e-05,-2.147979468238696895e-03
3.583641668756816674e-03,-1.803940589123374796e-05,-2.147979479521686628e-03
3.583641661993967279e-03,-1.803940589072987178e-05,-2.147979490804675495e-03
3.583641655231117017e-03,-1.803940589022599221e-05,-2.147979502087665228e-03
