ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.502287297903545302e-04,-9.794033464875514738e+00
0.000000000000000000e+00,-1.502287305775351265e-04,-9.794033465019380102e+00
0.000000000000000000e+00,-1.502287313647157499e-04,-9.794033465163247243e+00
0.000000000000000000e+00,-1.502287321518963462e-04,-9.794033465307112607e+00
0.000000000000000000e+00,-1.502287329390769425e-04,-9.794033465450977971e+00
0.000000000000000000e+00,-1.502287337262575117e-04,-9.794033465594841559e+00
0.000000000000000000e+00,-1.502287345134381352e-04,-9.794033465738708699e+00
0.000000000000000000e+00,-1.502287353006187044e-04,-9.794033465882574063e+00
0.000000000000000000e+00,-1.502287360877993007e-04,-9.794033466026439427e+00
0.000000000000000000e+00,-1.502287368749798970e-04,-9.794033466170304791e+00
0.000000000000000000e+00,-1.502287376621604662e-04,-9.794033466314168379e+00
0.000000000000000000e+00,-1.502287384493410625e-04,-9.794033466458035520e+00
0.000000000000000000e+00,-1.502287392365216588e-04,-9.794033466601900884e+00
0.000000000000000000e+00,-1.502287400237022552e-04,-9.794033466745764471e+00
0.000000000000000000e+00,-1.502287408108827973e-04,-9.794033466889631612e+00
0.000000000000000000e+00,-1.502287415980634207e-04,-9.794033467033495199e+00
0.000000000000000000e+00,-1.502287423852439899e-04,-9.794033467177360563e+00
0.000000000000000000e+00,-1.502287431724245591e-04,-9.794033467321225928e+00
0.000000000000000000e+00,-1.502287439596051283e-04,-9.794033467465091292e+00
0.000000000000000000e+00,-1.502287447467856975e-04,-9.794033467608956656e+00
0.000000000000000000e+00,-1.502287455339662938e-04,-9.794033467752820243e+00
0.000000000000000000e+00,-1.502287463211468359e-04,-9.794033467896683831e+00
0.000000000000000000e+00,-1.502287471083274051e-04,-9.794033468040550972e+00
0.000000000000000000e+00,-1.502287478955080015e-04,-9.794033468184414559e+00
0.000000000000000000e+00,-1.502287486826885707e-04,-9.794033468328279923e+00
0.000000000000000000e+00,-1.502287494698691128e-04,-9.794033468472147064e+00
0.000000000000000000e+00,-1.502287502570496820e-04,-9.794033468616010651e+00
0.000000000000000000e+00,-1.502287510442302512e-04,-9.794033468759876015e+00
0.000000000000000000e+00,-1.502287518314108204e-04,-9.794033468903741380e+00
