ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.581308534365960396e-03,-1.803922927866749131e-05,-2.151867244086849273e-03
3.581308527590936278e-03,-1.803922927816303915e-05,-2.151867255362382731e-03
3.581308520815913027e-03,-1.803922927765858359e-05,-2.151867266637915322e-03
3.581308514040888909e-03,-1.803922927715413143e-05,-2.151867277913448780e-03
3.581308507265865658e-03,-1.803922927664967926e-05,-2.151867289188981371e-03
3.581308500490841540e-03,-1.803922927614522371e-05,-2.151867300464514830e-03
3.581308493715817422e-03,-1.803922927564076815e-05,-2.151867311740047421e-03
3.581308486940793304e-03,-1.803922927513631260e-05,-2.151867323015580445e-03
3.581308480165769186e-03,-1.803922927463186043e-05,-2.151867334291113470e-03
3.581308473390745935e-03,-1.803922927412740488e-05,-2.151867345566646494e-03
3.581308466615720949e-03,-1.803922927362294933e-05,-2.151867356842179085e-03
3.581308459840697699e-03,-1.803922927311849716e-05,-2.151867368117712110e-03
3.581308453065673147e-03,-1.803922927261404499e-05,-2.151867379393244701e-03
3.581308446290649029e-03,-1.803922927210958944e-05,-2.151867390668777726e-03
3.581308439515624911e-03,-1.803922927160513389e-05,-2.151867401944310317e-03
3.581308432740600792e-03,-1.803922927110068172e-05,-2.151867413219843341e-03
3.581308425965576674e-03,-1.803922927059622617e-05,-2.151867424495375932e-03
3.581308419190551689e-03,-1.803922927009177061e-05,-2.151867435770908957e-03
3.581308412415527571e-03,-1.803922926958731845e-05,-2.151867447046441548e-03
3.581308405640503453e-03,-1.803922926908286628e-05,-2.151867458321973705e-03
3.581308398865478901e-03,-1.803922926857841412e-05,-2.151867469597506730e-03
3.581308392090454783e-03,-1.803922926807395517e-05,-2.151867480873039321e-03
3.581308385315429797e-03,-1.803922926756949962e-05,-2.151867492148571911e-03
3.581308378540405679e-03,-1.803922926706504407e-05,-2.151867503424104502e-03
3.581308371765380694e-03,-1.803922926656059529e-05,-2.151867514699637093e-03
3.581308364990357009e-03,-1.803922926605613973e-05,-2.151867525975169684e-03
3.581308358215332024e-03,-1.803922926555168418e-05,-2.151867537250702275e-03
3.581308351440307038e-03,-1.803922926504723201e-05,-2.151867548526234433e-03
3.581308344665282053e-03,-1.803922926454277646e-05,-2.151867559801767457e-03
